block,round,train_start,train_end,validation_start,validation_end,worst_month_count,recurring_rule_count,proposed_mutation_count,mutations,candidate_validation_return,accepted,best_update,best_validation_return
1,1,1994-07-31,1998-06-30,1998-07-31,1999-06-30,20,2,1,news_analyst_rating:1.30->1.40,0.12715428815218677,False,False,0.13264573673699775
1,2,1994-07-31,1998-06-30,1998-07-31,1999-06-30,20,2,1,news_analyst_rating:1.30->1.40,0.12715428815218677,False,False,0.13264573673699775
1,3,1994-07-31,1998-06-30,1998-07-31,1999-06-30,20,2,1,news_analyst_rating:1.30->1.40,0.12715428815218677,False,False,0.13264573673699775
1,4,1994-07-31,1998-06-30,1998-07-31,1999-06-30,20,2,1,news_analyst_rating:1.30->1.40,0.12715428815218677,False,False,0.13264573673699775
1,5,1994-07-31,1998-06-30,1998-07-31,1999-06-30,20,2,1,news_analyst_rating:1.30->1.40,0.12715428815218677,False,False,0.13264573673699775
2,1,1996-07-31,2000-06-30,2000-07-31,2001-06-30,20,2,1,news_analyst_rating:1.30->1.40,-0.38341396607899936,True,False,-0.3820099787432204
2,2,1996-07-31,2000-06-30,2000-07-31,2001-06-30,20,2,1,news_analyst_rating:1.40->1.50,-0.38275311844752014,True,False,-0.3820099787432204
2,3,1996-07-31,2000-06-30,2000-07-31,2001-06-30,20,2,1,news_analyst_rating:1.50->1.40,-0.38341396607899936,True,False,-0.3820099787432204
2,4,1996-07-31,2000-06-30,2000-07-31,2001-06-30,20,2,1,news_analyst_rating:1.40->1.50,-0.38275311844752014,True,False,-0.3820099787432204
2,5,1996-07-31,2000-06-30,2000-07-31,2001-06-30,20,2,1,news_analyst_rating:1.50->1.40,-0.38341396607899936,True,False,-0.3820099787432204
3,1,1998-07-31,2002-06-30,2002-07-31,2003-06-30,20,2,1,news_analyst_rating:1.30->1.40,0.05266060667007344,True,True,0.05266060667007344
3,2,1998-07-31,2002-06-30,2002-07-31,2003-06-30,20,2,0,,0.05266060667007344,False,False,0.05266060667007344
3,3,1998-07-31,2002-06-30,2002-07-31,2003-06-30,20,2,0,,0.05266060667007344,False,False,0.05266060667007344
