block,train_start,train_end,validation_start,validation_end,test_start,test_end,test_months,accepted_rounds,best_update_rounds,rule_count,best_validation_return,frozen_rubric,minimum_finite_scores
1,1994-07-31,1998-06-30,1998-07-31,1999-06-30,1999-07-31,2001-06-30,24,0,0,6,0.13264573673699775,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.30|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
2,1996-07-31,2000-06-30,2000-07-31,2001-06-30,2001-07-31,2003-06-30,24,5,0,6,-0.3820099787432204,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.30|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
3,1998-07-31,2002-06-30,2002-07-31,2003-06-30,2003-07-31,2005-06-30,24,1,1,6,0.05266060667007344,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.40|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
4,2000-07-31,2004-06-30,2004-07-31,2005-06-30,2005-07-31,2007-06-30,24,2,1,6,0.02529547561155332,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.40|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
5,2002-07-31,2006-06-30,2006-07-31,2007-06-30,2007-07-31,2009-06-30,24,2,0,6,-0.09047910766017775,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.30|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
6,2004-07-31,2008-06-30,2008-07-31,2009-06-30,2009-07-31,2011-06-30,24,0,0,6,-0.3583740107535466,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.30|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
7,2006-07-31,2010-06-30,2010-07-31,2011-06-30,2011-07-31,2013-06-30,24,0,0,6,0.06869140667460072,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.30|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
8,2008-07-31,2012-06-30,2012-07-31,2013-06-30,2013-07-31,2015-06-30,24,3,3,6,-0.0037643266221583094,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.60|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
9,2010-07-31,2014-06-30,2014-07-31,2015-06-30,2015-07-31,2017-06-30,24,2,1,6,0.03166660750828143,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.40|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
10,2012-07-31,2016-06-30,2016-07-31,2017-06-30,2017-07-31,2019-06-30,24,0,0,6,-0.09365143738605752,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.30|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
11,2014-07-31,2018-06-30,2018-07-31,2019-06-30,2019-07-31,2021-06-30,24,2,1,6,0.08753760725661985,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.50|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
12,2016-07-31,2020-06-30,2020-07-31,2021-06-30,2021-07-31,2023-06-30,24,0,0,6,-0.17749368318897618,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.30|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
13,2018-07-31,2022-06-30,2022-07-31,2023-06-30,2023-07-31,2024-11-30,17,0,0,6,-0.007085407499916818,temporal_priced_in=0.30|temporal_earnings_season=0.50|news_analyst_rating=1.30|news_generic_market=0.40|macro_high_vix=0.70|news_count_low=0.40,1000
