version,table,method,dataset,metric,statistic,rendered_value,treevo_output,native_pipeline_executed,paper_result_credit
v2,Table 1,XGBoost,CSI300,IC,mean,0.0197,False,False,False
v2,Table 1,XGBoost,CSI300,RankIC,mean,0.0221,False,False,False
v2,Table 1,XGBoost,CSI500,IC,mean,0.0169,False,False,False
v2,Table 1,XGBoost,CSI500,RankIC,mean,0.0209,False,False,False
v2,Table 1,XGBoost,CSI300,IC,std,0.0025,False,False,False
v2,Table 1,XGBoost,CSI300,RankIC,std,0.0013,False,False,False
v2,Table 1,XGBoost,CSI500,IC,std,0.0016,False,False,False
v2,Table 1,XGBoost,CSI500,RankIC,std,0.0021,False,False,False
v2,Table 1,LightGBM,CSI300,IC,mean,0.0165,False,False,False
v2,Table 1,LightGBM,CSI300,RankIC,mean,0.0244,False,False,False
v2,Table 1,LightGBM,CSI500,IC,mean,0.0172,False,False,False
v2,Table 1,LightGBM,CSI500,RankIC,mean,0.0241,False,False,False
v2,Table 1,LightGBM,CSI300,IC,std,0.0012,False,False,False
v2,Table 1,LightGBM,CSI300,RankIC,std,0.0025,False,False,False
v2,Table 1,LightGBM,CSI500,IC,std,0.0022,False,False,False
v2,Table 1,LightGBM,CSI500,RankIC,std,0.0017,False,False,False
v2,Table 1,GP,CSI300,IC,mean,0.0224,False,False,False
v2,Table 1,GP,CSI300,RankIC,mean,0.0278,False,False,False
v2,Table 1,GP,CSI500,IC,mean,0.0254,False,False,False
v2,Table 1,GP,CSI500,RankIC,mean,0.0297,False,False,False
v2,Table 1,GP,CSI300,IC,std,0.0017,False,False,False
v2,Table 1,GP,CSI300,RankIC,std,0.0038,False,False,False
v2,Table 1,GP,CSI500,IC,std,0.0028,False,False,False
v2,Table 1,GP,CSI500,RankIC,std,0.0014,False,False,False
v2,Table 1,AlphaGen,CSI300,IC,mean,0.0259,False,False,False
v2,Table 1,AlphaGen,CSI300,RankIC,mean,0.0301,False,False,False
v2,Table 1,AlphaGen,CSI500,IC,mean,0.0337,False,False,False
v2,Table 1,AlphaGen,CSI500,RankIC,mean,0.0405,False,False,False
v2,Table 1,AlphaGen,CSI300,IC,std,0.0010,False,False,False
v2,Table 1,AlphaGen,CSI300,RankIC,std,0.0046,False,False,False
v2,Table 1,AlphaGen,CSI500,IC,std,0.0023,False,False,False
v2,Table 1,AlphaGen,CSI500,RankIC,std,0.0047,False,False,False
v2,Table 1,AlphaForge,CSI300,IC,mean,0.0287,False,False,False
v2,Table 1,AlphaForge,CSI300,RankIC,mean,0.0351,False,False,False
v2,Table 1,AlphaForge,CSI500,IC,mean,0.0319,False,False,False
v2,Table 1,AlphaForge,CSI500,RankIC,mean,0.0346,False,False,False
v2,Table 1,AlphaForge,CSI300,IC,std,0.0014,False,False,False
v2,Table 1,AlphaForge,CSI300,RankIC,std,0.0029,False,False,False
v2,Table 1,AlphaForge,CSI500,IC,std,0.0022,False,False,False
v2,Table 1,AlphaForge,CSI500,RankIC,std,0.0026,False,False,False
v2,Table 1,QFR,CSI300,IC,mean,0.0302,False,False,False
v2,Table 1,QFR,CSI300,RankIC,mean,0.0346,False,False,False
v2,Table 1,QFR,CSI500,IC,mean,0.0374,False,False,False
v2,Table 1,QFR,CSI500,RankIC,mean,0.0403,False,False,False
v2,Table 1,QFR,CSI300,IC,std,0.0032,False,False,False
v2,Table 1,QFR,CSI300,RankIC,std,0.0044,False,False,False
v2,Table 1,QFR,CSI500,IC,std,0.0039,False,False,False
v2,Table 1,QFR,CSI500,RankIC,std,0.0031,False,False,False
v2,Table 1,TreEvo,CSI300,IC,mean,0.0308,True,False,False
v2,Table 1,TreEvo,CSI300,RankIC,mean,0.0349,True,False,False
v2,Table 1,TreEvo,CSI500,IC,mean,0.0362,True,False,False
