version,table,method,dataset,metric,statistic,rendered_value,treevo_output,native_pipeline_executed,paper_result_credit
v1,Table 2,ReEvo,SPX,RankIC,std,0.0186,False,False,False
v1,Table 2,ReEvo,DJI,IC,std,0.0054,False,False,False
v1,Table 2,ReEvo,DJI,RankIC,std,0.0071,False,False,False
v1,Table 2,TreEvo,CSI300,IC,mean,0.0615,True,False,False
v1,Table 2,TreEvo,CSI300,RankIC,mean,0.0649,True,False,False
v1,Table 2,TreEvo,CSI500,IC,mean,0.0742,True,False,False
v1,Table 2,TreEvo,CSI500,RankIC,mean,0.0793,True,False,False
v1,Table 2,TreEvo,SPX,IC,mean,0.0403,True,False,False
v1,Table 2,TreEvo,SPX,RankIC,mean,0.0543,True,False,False
v1,Table 2,TreEvo,DJI,IC,mean,0.0601,True,False,False
v1,Table 2,TreEvo,DJI,RankIC,mean,0.0573,True,False,False
v1,Table 2,TreEvo,CSI300,IC,std,0.0153,True,False,False
v1,Table 2,TreEvo,CSI300,RankIC,std,0.0173,True,False,False
v1,Table 2,TreEvo,CSI500,IC,std,0.0081,True,False,False
v1,Table 2,TreEvo,CSI500,RankIC,std,0.0119,True,False,False
v1,Table 2,TreEvo,SPX,IC,std,0.0155,True,False,False
v1,Table 2,TreEvo,SPX,RankIC,std,0.2410,True,False,False
v1,Table 2,TreEvo,DJI,IC,std,0.0099,True,False,False
v1,Table 2,TreEvo,DJI,RankIC,std,0.0283,True,False,False
