category,operator,native_semantics_released
Cross-Section,abs(x),False
Cross-Section,log(x),False
Cross-Section,+,False
Cross-Section,-,False
Cross-Section,*,False
Cross-Section,/,False
Cross-Section,>,False
Cross-Section,<,False
Time-Series,"ts_mean(x,l)",False
Time-Series,"ts_med(x,l)",False
Time-Series,"ts_sum(x,l)",False
Time-Series,"ts_std(x,l)",False
Time-Series,"ts_var(x,l)",False
Time-Series,"ts_max(x,l)",False
Time-Series,"ts_min(x,l)",False
Time-Series,"ref(x,l)",False
Time-Series,"mad(x,l)",False
Time-Series,"delta(x,l)",False
Time-Series,"wma(x,l)",False
Time-Series,"ema(x,l)",False
Time-Series,"ts_cov(x,y,l)",False
Time-Series,"ts_corr(x,y,l)",False
