formation_month,label_cutoff,reward_history_start,reward_history_end,reward_history_months,direction_buy_count,direction_hold_count,direction_sell_count,position_increase_count,position_decrease_count,position_unchanged_count,long_position_count,flat_position_count,short_position_count,mean_absolute_position,mean_trade_quantity,mean_cvar_position_cap,minimum_cvar_position_cap,stale_position_resets,finite_scores,memory_mean_rankic__shallow_news,memory_reliability__shallow_news,memory_mean_rankic__middle_technical,memory_reliability__middle_technical,memory_mean_rankic__deep_fundamental,memory_reliability__deep_fundamental
1999-07-31,1999-01-31,1994-02-28,1999-01-31,60,343,373,284,343,284,373,343,373,284,0.05898423444124645,0.05898423444124645,0.309973858834317,0.25,0,1000,0.0031460289715620022,0.21450644549685913,0.00874122801926716,0.2399051814069108,0.04982227942864555,0.5455883730962301
1999-08-31,1999-02-28,1994-03-31,1999-02-28,60,320,403,277,320,277,403,381,309,310,0.10743477261315011,0.05028465889181459,0.3062284216055005,0.25,0,1000,0.004361973340535017,0.22504806562975688,0.00676195342927603,0.23611373246982423,0.0480170403121071,0.5388382019004189
1999-09-30,1999-03-31,1994-04-30,1999-03-31,60,312,386,302,260,262,478,386,282,332,0.13630709884796297,0.03449893181580204,0.30154945203286027,0.25,7,1000,0.00598720251054813,0.23610632121850278,0.0040176907414045645,0.2269868262893311,0.04706432267076439,0.5369068524921661
1999-10-31,1999-04-30,1994-05-31,1999-04-30,60,310,373,317,198,215,587,377,273,350,0.15383952183778965,0.026996493926938876,0.3001012371860313,0.25,9,1000,0.007181274354685122,0.23610131479929303,0.003528769919120232,0.21946898501365947,0.04895516496503323,0.5444297001870475
1999-11-30,1999-05-31,1994-06-30,1999-05-31,60,311,406,283,159,149,692,374,284,342,0.16112445309853324,0.018959296579487528,0.29477516149438204,0.25,7,1000,0.01061612942578228,0.24340339733343153,0.0060160935075142825,0.2220093326407212,0.04995487207565343,0.5345872700258473
1999-12-31,1999-06-30,1994-07-31,1999-06-30,60,299,438,263,138,108,754,379,292,329,0.16580119596041287,0.014473933758849004,0.29325665338638407,0.25,9,1000,0.014733688861275037,0.2523208334535978,0.012256379407622952,0.24012394734438947,0.04967889310807607,0.5075552192020127
2000-01-31,1999-07-31,1994-08-31,1999-07-31,60,298,413,289,140,146,714,386,280,334,0.16571393523256928,0.01723341044893918,0.2876131912392668,0.25,20,1000,0.01710718287936776,0.26372740870615097,0.017144668435654105,0.26392520221334914,0.04624711696749215,0.47234738908049995
2000-02-29,1999-08-31,1994-09-30,1999-08-31,60,282,437,281,142,131,727,387,292,321,0.15794494686952898,0.017845803356597023,0.27811367235058093,0.25,16,1000,0.022406150435258374,0.2811109794379446,0.022475259189077598,0.2814997926695015,0.04450984765364314,0.43738922789255397
2000-03-31,1999-09-30,1994-10-31,1999-09-30,60,299,429,272,129,135,736,390,279,331,0.16044823989440843,0.017582517887533976,0.28235738833706026,0.25,53,1000,0.02654452999355401,0.29597971742015844,0.027329780144114968,0.3006647728826848,0.0420209000627688,0.40335550969715683
2000-04-30,1999-10-31,1994-11-30,1999-10-31,60,328,410,262,205,160,635,407,256,337,0.16703666842755435,0.025583842491207702,0.29757829829173993,0.25,53,1000,0.032417433079743166,0.31411903802103547,0.0319718568425508,0.31133219439729054,0.04121493302704606,0.3745487675816741
2000-05-31,1999-11-30,1994-12-31,1999-11-30,60,321,388,291,172,186,642,413,241,346,0.17038565958180577,0.02546234308487805,0.29684766289221226,0.25,33,1000,0.0385015669727911,0.3288845079892221,0.039022800124020623,0.3323309509508821,0.03998445115449377,0.33878454105989586
2000-06-30,1999-12-31,1995-01-31,1999-12-31,60,310,411,279,150,141,709,408,262,330,0.17123048432006835,0.018918105187500443,0.291008873554175,0.25,34,1000,0.04155097738573008,0.3347458961023835,0.04346091470999928,0.34778013056985213,0.03890218320049775,0.3174739733277644
2000-07-31,2000-01-31,1995-02-28,2000-01-31,60,302,427,271,164,164,672,404,256,340,0.16911051350009246,0.023858018654018934,0.29193547228849076,0.25,46,1000,0.043407055701119544,0.33203602760560114,0.04938630010611698,0.3742142027211575,0.037281295773803014,0.2937497696732412
2000-08-31,2000-02-29,1995-03-31,2000-02-29,60,268,451,281,129,145,726,402,256,342,0.17209139485099656,0.017403296549315026,0.29293357574247764,0.25,25,1000,0.033682351464733876,0.3106686160347249,0.04266429486540652,0.3718035668855371,0.034774282792576425,0.317527817079738
2000-09-30,2000-03-31,1995-04-30,2000-03-31,60,300,408,292,171,164,665,405,258,337,0.1726035015378838,0.020559895482408427,0.29463314149968417,0.25,31,1000,0.030506821619939353,0.30614062883532606,0.039706008453417665,0.36797989532541825,0.033630973582687074,0.32587947583925575
2000-10-31,2000-04-30,1995-05-31,2000-04-30,60,311,415,274,172,164,664,414,244,342,0.17297217991326058,0.021703534259638984,0.29393463222943306,0.25,35,1000,0.026326797450338377,0.29962765947251907,0.03726832216699804,0.37292266400950086,0.03076648820348021,0.3274496765179802
2000-11-30,2000-05-31,1995-06-30,2000-05-31,60,317,405,278,179,171,650,409,227,364,0.17159865171550506,0.02357354638424559,0.29321720798261486,0.25,38,1000,0.024124442416918464,0.2927922809525719,0.03911354242284566,0.39514208891551644,0.027311947407045477,0.3120656301319116
2000-12-31,2000-06-30,1995-07-31,2000-06-30,60,290,445,265,144,134,722,410,231,359,0.17322213181335733,0.017524601854828434,0.2928828034245209,0.25,20,1000,0.017913521022128155,0.2750724194053684,0.03720180934896072,0.4045600469512077,0.02553524467557393,0.3203675336434238
2001-01-31,2000-07-31,1995-08-31,2000-07-31,60,301,401,298,160,175,665,409,222,369,0.1739285379367733,0.020819704108574,0.28814359999001987,0.25,41,1000,0.0187741063557458,0.2801512770355402,0.03543618940837534,0.3909467625103961,0.02679560542653644,0.3289019604540636
2001-02-28,2000-08-31,1995-09-30,2000-08-31,60,311,393,296,161,159,680,411,214,375,0.17603234421410235,0.01982115858976569,0.28976026429807933,0.25,39,1000,0.011902660549483505,0.2546935813594763,0.03343184036302592,0.39175818606034235,0.028300597454037745,0.3535482325801813
2001-03-31,2000-09-30,1995-10-31,2000-09-30,60,306,400,294,153,151,696,414,214,372,0.17577663744972805,0.01810146457888451,0.2919798800056991,0.25,25,1000,0.007541780240918739,0.23852397687153049,0.03134656849625753,0.3839704522410792,0.0304975546742328,0.3775055708873903
2001-04-30,2000-10-31,1995-11-30,2000-10-31,60,322,393,285,160,135,705,419,201,380,0.17835999954242107,0.01835685388192326,0.29287897405313795,0.25,39,1000,0.004649071170782056,0.218892269157153,0.034572027920764734,0.39823362164286136,0.032605398741571125,0.38287410919998555
2001-05-31,2000-11-30,1995-12-31,2000-11-30,60,306,397,297,147,148,705,413,204,383,0.18119659762749837,0.018501281093710374,0.2950881287499091,0.25,26,1000,0.003964587399136087,0.21717536942983978,0.03361983488309287,0.3930002039765789,0.033214150815266116,0.38982442659358146
2001-06-30,2000-12-31,1996-01-31,2000-12-31,60,298,411,291,142,159,699,409,219,372,0.1806184847737883,0.019261851829847992,0.2936617960233713,0.25,32,1000,-0.000330403460568957,0.2019638501503404,0.03202249658299407,0.3857335023507721,0.03535304350195493,0.41230264749888756
2001-07-31,2001-01-31,1996-02-29,2001-01-31,60,307,374,319,139,177,684,425,190,385,0.18349118326814734,0.021342453573055656,0.29804441627143646,0.25,36,1000,-0.0053543207248866595,0.1758421811376186,0.04045934453754055,0.4395977920711541,0.033771329203648774,0.38456002679122736
2001-08-31,2001-02-28,1996-03-31,2001-02-28,60,321,373,306,164,154,682,429,189,382,0.18688453634523058,0.020193123846132404,0.30032960512897205,0.25,19,1000,-0.007930066602986412,0.16233383751975788,0.04371561501076167,0.45603454925565423,0.03480997538410654,0.38163161322458794
2001-09-30,2001-03-31,1996-04-30,2001-03-31,60,297,375,328,171,182,647,435,185,380,0.18611728565827634,0.023069225737442856,0.29796014902310314,0.25,17,1000,-0.010764131266249541,0.16023698818146098,0.04129914699991303,0.4539193144774934,0.03317479187285242,0.3858436973410455
2001-10-31,2001-04-30,1996-05-31,2001-04-30,60,319,364,317,172,161,667,426,187,387,0.19221910667183442,0.021243964373395124,0.3091179012333688,0.25,38,1000,-0.014973975983445695,0.14481427869572344,0.04301853015625547,0.46187865619787005,0.034982951919884694,0.39330706510640656
2001-11-30,2001-05-31,1996-06-30,2001-05-31,60,313,377,310,145,146,709,423,181,396,0.19801171334405204,0.019492265942661128,0.3092562485791077,0.25,28,1000,-0.018808926606038803,0.13246582603777327,0.04324001208401743,0.45819894579560366,0.037601561075752375,0.409335228166623
2001-12-31,2001-06-30,1996-07-31,2001-06-30,60,333,341,326,136,140,724,411,182,407,0.202727704870395,0.0177768322648935,0.3126308218358586,0.25,23,1000,-0.02347055503738894,0.11738414868434857,0.04633375971406995,0.47415684974033423,0.03887642833106352,0.40845900157531706
2002-01-31,2001-07-31,1996-08-31,2001-07-31,60,338,342,320,147,133,720,432,173,395,0.20624551057562387,0.018705530945801265,0.31287045308253253,0.25,25,1000,-0.025608217096604817,0.10967306505746709,0.04881303560883703,0.48586405302957963,0.03964459115432204,0.40446288191295326
2002-02-28,2001-08-31,1996-09-30,2001-08-31,60,333,343,324,160,124,716,444,169,387,0.21080224631911437,0.01900770373792621,0.3251287262156607,0.25,24,1000,-0.026477271045006353,0.10560686979170195,0.05130675406101477,0.5003980722274827,0.03935347605606958,0.3939950579808154
2002-03-31,2001-09-30,1996-10-31,2001-09-30,60,342,332,326,144,126,730,436,170,394,0.21641239315579675,0.01751652476718791,0.33033273438918814,0.25,20,1000,-0.029140981687089722,0.10639531002268783,0.04115094301207071,0.4339806688053034,0.04402138395262097,0.45962402117200873
2002-04-30,2001-10-31,1996-11-30,2001-10-31,60,323,326,351,136,153,711,436,169,395,0.21820475891942473,0.01937290275587817,0.3281334567685116,0.25,28,1000,-0.028745924287189823,0.10902391780771555,0.03768519628625925,0.4116566792035238,0.04529407069726028,0.4793194029887607
2002-05-31,2001-11-30,1996-12-31,2001-11-30,60,321,343,336,128,138,734,439,169,392,0.22237649647611563,0.016983567439194592,0.3330196647996263,0.25,19,1000,-0.02687130991511204,0.11021462113327422,0.03904486483209456,0.4118886562573425,0.046476944163984756,0.4778967226093833
2002-06-30,2001-12-31,1997-01-31,2001-12-31,60,326,352,322,137,133,730,445,177,378,0.21858784791792135,0.019565023112279718,0.3291201008346055,0.25,18,1000,-0.02333804079785816,0.11391234493723183,0.04231332375151735,0.42345893327871514,0.04673673855331822,0.462628721784053
