missing_return_policy,formation_month,month,path_status,gross_return,total_security_return,traded_notional,formation_universe,finite_signal_count,missing_forward_return_gross_weight,missing_total_return_gross_weight,n_long,n_short,max_abs_weight,weight_hhi,gross_exposure
zero,1999-07-31,1999-08-31,ok,0.006951200482661682,0.006971529874940997,1.9999999999999996,1000,931,0.002622470624267022,0.002622470624267022,93,93,0.22310731459168828,0.11538761885668837,1.9999999999999996
zero,1999-08-31,1999-09-30,ok,0.047998402687432606,0.04799185273387285,1.3815121626034343,1000,930,0.000883934353542535,0.000883934353542535,93,93,0.11230671325124354,0.09258165157085399,2.0
zero,1999-09-30,1999-10-31,ok,0.0005297315802055211,0.0005297315802055253,1.505162580682383,1000,917,0.0,0.0,91,91,0.2871869127735464,0.14648345806028262,2.0
zero,1999-10-31,1999-11-30,ok,0.06102571274257186,0.061025712742571854,1.9781208682161264,1000,896,0.0,0.0,89,89,0.24765288319045872,0.13947705751676676,2.0
zero,1999-11-30,1999-12-31,ok,0.22783614991084164,0.22783171878012828,1.3564627962553044,1000,875,0.0005886199141183054,0.0005886199141183054,87,87,0.2807999136986304,0.16322259966500563,1.9999999999999996
zero,1999-12-31,2000-01-31,ok,-0.06918508467791185,-0.0691850846779118,1.1252792274001653,1000,864,0.0,0.0,86,86,0.28050283278527854,0.14730796611472088,2.0000000000000004
zero,2000-01-31,2000-02-29,ok,0.33093663734686374,0.33092123290489445,1.6499220125850047,1000,861,0.001793299414342477,0.001793299414342477,86,86,0.19183171207503463,0.10527021814692343,2.0
zero,2000-02-29,2000-03-31,ok,-0.23253406266367105,-0.23257609066189047,1.1312698166735513,1000,834,0.004801005051342451,0.004801005051342451,83,83,0.17438899280595963,0.1049962834781828,2.0
zero,2000-03-31,2000-04-30,ok,-0.014663937251202987,-0.014689054561195833,1.865023507835042,1000,857,0.002733113165705725,0.002733113165705725,85,85,0.14397235712930045,0.11220601345724754,2.0
zero,2000-04-30,2000-05-31,ok,-0.011423976623016176,-0.011439122211817712,1.2999432955182468,1000,885,0.0015836040152176043,0.0015836040152176043,88,88,0.29748002450591243,0.171551330211871,2.0
zero,2000-05-31,2000-06-30,ok,0.10663138183601689,0.106608571001819,1.6741406872927034,1000,897,0.0030463186695883966,0.0030463186695883966,89,89,0.17942668785086643,0.12188404830268139,2.0
zero,2000-06-30,2000-07-31,ok,-0.023913905246879603,-0.02434888025846356,1.5207410803505914,1000,871,0.04636104139906089,0.04636104139906089,87,87,0.27099884479037334,0.1814348667667578,2.0000000000000004
zero,2000-07-31,2000-08-31,ok,0.13238204803125475,0.13238204803125475,1.4224440589255278,1000,887,0.0,0.0,88,88,0.19518022037009297,0.15842974390578424,2.0
zero,2000-08-31,2000-09-30,ok,0.0018004992578997975,0.0017863930886080257,1.161753146626187,1000,889,0.001384858559961256,0.001384858559961256,88,88,0.21213757609259953,0.13208734318487517,2.0
zero,2000-09-30,2000-10-31,ok,-0.10442485899159543,-0.10442485899159545,1.2340226167656356,1000,901,0.0,0.0,90,90,0.22038785269955025,0.13549136522751423,2.0
zero,2000-10-31,2000-11-30,ok,-0.1345038075704183,-0.13451968895038388,1.6698763553767375,1000,918,0.0015990112732163252,0.0015990112732163252,91,91,0.204744035509696,0.10052312661888699,1.9999999999999998
zero,2000-11-30,2000-12-31,ok,0.09064167437152013,0.09052834972091588,1.9110162294216106,1000,942,0.011542539275233354,0.011542539275233354,94,94,0.2008331398084976,0.12850090625315866,2.0000000000000004
zero,2000-12-31,2001-01-31,ok,-0.19547854021650166,-0.19562521993733611,1.4763315601414568,1000,946,0.01398814808644557,0.01398814808644557,94,94,0.18317341178461102,0.10348542678700344,2.0
zero,2001-01-31,2001-02-28,ok,0.19479741466229744,0.19462483612337853,1.4702641418902014,1000,950,0.023621480826570337,0.023621480826570337,95,95,0.18564900714907284,0.10684345856428863,2.0
zero,2001-02-28,2001-03-31,ok,0.10721097266005628,0.10722082511584442,1.4212721576551786,1000,958,0.004734891000742453,0.004734891000742453,95,95,0.2110058686990649,0.12245072637690695,2.0
