table,identity,metric,rendered_value,numeric_value,native_pipeline_executed,native_result_regenerated,paper_result_credit
main_results_top40,CSI500/RF,Library IC,2.68,2.68,False,False,False
main_results_top40,CSI500/RF,Library ICIR,0.25,0.25,False,False,False
main_results_top40,CSI500/RF,Avg abs rho,\textbf{0.13},0.13,False,False,False
main_results_top40,CSI500/RF,EW IC,6.98,6.98,False,False,False
main_results_top40,CSI500/RF,EW ICIR,0.41,0.41,False,False,False
main_results_top40,CSI500/RF,ICW IC,12.02,12.02,False,False,False
main_results_top40,CSI500/RF,ICW ICIR,0.90,0.9,False,False,False
main_results_top40,CSI500/RF,Lasso IC,13.81,13.81,False,False,False
main_results_top40,CSI500/RF,Lasso ICIR,1.15,1.15,False,False,False
main_results_top40,CSI500/RF,XGB IC,8.99,8.99,False,False,False
main_results_top40,CSI500/RF,XGB ICIR,0.90,0.9,False,False,False
main_results_top40,CSI500/Alpha101 Classic,Library IC,4.49,4.49,False,False,False
main_results_top40,CSI500/Alpha101 Classic,Library ICIR,0.42,0.42,False,False,False
main_results_top40,CSI500/Alpha101 Classic,Avg abs rho,\underline{0.19},0.19,False,False,False
main_results_top40,CSI500/Alpha101 Classic,EW IC,10.85,10.85,False,False,False
main_results_top40,CSI500/Alpha101 Classic,EW ICIR,0.88,0.88,False,False,False
main_results_top40,CSI500/Alpha101 Classic,ICW IC,12.89,12.89,False,False,False
main_results_top40,CSI500/Alpha101 Classic,ICW ICIR,0.99,0.99,False,False,False
main_results_top40,CSI500/Alpha101 Classic,Lasso IC,\underline{14.09},14.09,False,False,False
main_results_top40,CSI500/Alpha101 Classic,Lasso ICIR,\textbf{1.27},1.27,False,False,False
main_results_top40,CSI500/Alpha101 Classic,XGB IC,12.07,12.07,False,False,False
main_results_top40,CSI500/Alpha101 Classic,XGB ICIR,1.21,1.21,False,False,False
main_results_top40,CSI500/Alpha101 Adapted,Library IC,5.06,5.06,False,False,False
main_results_top40,CSI500/Alpha101 Adapted,Library ICIR,0.43,0.43,False,False,False
main_results_top40,CSI500/Alpha101 Adapted,Avg abs rho,0.21,0.21,False,False,False
main_results_top40,CSI500/Alpha101 Adapted,EW IC,\underline{11.53},11.53,False,False,False
main_results_top40,CSI500/Alpha101 Adapted,EW ICIR,0.86,0.86,False,False,False
main_results_top40,CSI500/Alpha101 Adapted,ICW IC,\underline{14.71},14.71,False,False,False
main_results_top40,CSI500/Alpha101 Adapted,ICW ICIR,\underline{1.13},1.13,False,False,False
