file,size_bytes,sha256,name_looks_like_result_artifact,native_paper_result_artifact
.env.example,633,49bd1331d403f3b728930061c580d5f43d374044c01dc4c87a4f7564965343f2,False,False
.gitignore,84,c336371863db73bc01e4ecde814953b32e8174f2042b83c76e65502915cf1a05,False,False
README.md,733,2df79fa9f1e5112669110bb4b8df4c94f9a90bc94f0623542b0c48fb4c04d74d,False,False
configs/demo.json,160,88ef9da7f9badfa565ece811e00ec710fb12349121ab891f09ae9f92d4652f9c,False,False
environment.yml,241,2151faddf34a46f8d3255ee5f22a11a45367eb26b2c49027b297b4cb8a16c6b7,False,False
pyproject.toml,465,8f554cb584ff999d6504801b0c51ad8c464403676373113113e197d9451c24c1,False,False
requirements.txt,123,60052cd488ab7fa3e5130a594c1b1f1c90ed96f8fbb3573a8ff804eb685f7e23,False,False
scripts/alpha_decay.py,6509,d7e1f88ab5372207c445e9cdb033d7ac1fb5cbb34cbb3baed1b7dd6060988f1f,False,False
scripts/build_cn_qlib_yfinance.py,7467,ecf76c04919a55eb54d66edcc18f1a5cf695fa129590d56d8316acf2a8684211,False,False
scripts/build_us_qlib_yfinance.py,6262,bd3c0609fa4755a7a3c7407445a08dfa0309a19337b7347c935d13fe0de31391,False,False
scripts/collect_results.py,10551,f6b64c62f9a44ac1856e18f0f5df3279006708d878a77cacf2d3fab2427ed454,True,False
scripts/qrun_alphamemo.sh,644,763585181461fa76eb948d0d21643d5bd3b5508f5a88915a6ea0b1a5761f944b,True,False
scripts/run_main.sh,2237,77257d925cdf882f15816db88411cb0d12bcc8821c63c734142f438ee100b636,True,False
scripts/run_smoke_test.sh,522,9208f5f8f8af3f1dc5587acd2d6fadc65333f9951d37e61cc253e276a4c46987,True,False
sspm/__init__.py,128,157772493afed4e0f8ad2f8867f1eefdfe7c0fbf359b75b82c7bd7584392f33c,False,False
sspm/__main__.py,63,d7815f9da17bcd8e79d1d47170e5795e29cc5837f97d1049664813068a9e563f,False,False
sspm/cli.py,14729,57393f8e07eb42c53b81a566984e7057455ea2f5f86c8f7fb99faee509d1bbf9,False,False
sspm/core/__init__.py,49,caca369e577858c03febbc9ade1af4715296b7074fb11e5d685eb379d79dd6ed,False,False
sspm/core/dag.py,3595,e9445a7184ddce311332314acd3d2d7767369c421a5403c53585943863424a03,False,False
sspm/core/math_utils.py,2563,4aea770338ba41336894c3811d9113d71c76ad3c6dcffde862ad601ee5229391,False,False
sspm/core/motifs.py,2510,d55ef9e25a49cb231635123209a70c24fdc4920295ff9333a64974633df7da6c,False,False
sspm/core/operators.py,12921,817c590bc84ac8b9353ea16e8bab0f5f618e5c0af7c1d02bc41fd77d353fbe26,False,False
sspm/core/types.py,1845,58fda3c6c1229cb005e34cc801eeecb3673ce3bc6fbf4354c7b9f62c4fba58ca,False,False
sspm/evaluation/__init__.py,28,9a410ccfef42599fbbabc6edbf405c9a590786bfceaa12e6b7650b9a67c07203,False,False
sspm/evaluation/formula_eval.py,2574,81d77caa5251f3df4158297d0a8536d9805f142e84b3fe301207a50fcc5b5683,False,False
sspm/evaluation/qlib_data.py,7550,88cc1a0461f297cd8765754a7d5f726d39d8043d1cf7ba96bd1fb1552515b4d6,False,False
sspm/evaluation/qlib_export.py,11012,c7ced10d1a1b018ffbd162801044a15b6a15a871f14f744445b1fd95f2d2b80c,False,False
sspm/evaluation/synthetic.py,2599,05ad3d2ffd3f6b8e6b193e3592504158ecaaae306b3b9ee054c27fdd80fca840,False,False
sspm/generation/__init__.py,230,542d802071ef63e7ce6ced316eba7517626f390843841be34fa4051e4a268288,False,False
sspm/generation/heuristic.py,6554,64a175a49c37c06ff7af71c21a0935ed2786ff6334effb8087c724c0cb9b1b5f,False,False
sspm/generation/openai_compatible.py,7056,a8dffb012ad4fc3e5d4094babec83fb8604abcb561c45dfd554be5eebd41b594,False,False
sspm/memory/__init__.py,23,907b3a447fc25a8d246511dd24893ace28de7414fac93e8f7c169baace95f255,False,False
sspm/memory/residual.py,4816,c2e8ea489c94aba35e157e92bc811894bd73a0d095b759b796960a18ebbecbe5,False,False
sspm/runner.py,10623,d791034f19d3c720218c62c5b76e7451454cdeeb3238754051f28256ac493cdf,True,False
sspm/seeds.py,542,a7c6ab7d51e442a0d1e3d4eb0130af19f4be6b4208cd0efd065b5afdfd261238,False,False
sspm/strategies/__init__.py,434,421d2a3c6185d200d09aa5f777fbd5b600e391834d894a78394772b4e4bbbcc2,False,False
sspm/strategies/base.py,670,8ff8eed7519a7d2d0237f24729db747ab507daf2aaf1a9ff9ace4e7b63698f53,False,False
sspm/strategies/gp.py,5883,0fb6ae920f2b946bfae5087044fc22e3660230a5e5071446105bf15bd32c5fdb,False,False
sspm/strategies/graph_memory.py,5476,20c90744382be3a3326ef3c3b4f9352f08ca2db207585609975a0d4da788e356,False,False
sspm/strategies/random_search.py,1312,400244bc9ab4ec621e82ae9fca911bceb259d54e0027ec9481b64060ef1a9095,False,False
sspm/strategies/sspm.py,5216,b77f9330ef16b431ad55969acdcc789c8915b879d75a7c79e129173f0c523a05,False,False
sspm/strategies/structured_search.py,3402,7281b9e35363b9debf2a97cf1ee574b6b2eebd65608d709ba4ccff6f6c8132d8,False,False
sspm/strategies/veto_memory.py,4980,ac427f4313441a57247a396dd66d2a8a73d0979deef2a860eb4ded502496606f,False,False
sspm/utils/__init__.py,24,b1889dd76636ac4f0500078d8bfdc713987755e20dc8746e0be28baaa5fc59ad,False,False
sspm/utils/env.py,581,d2d4523d2236487eb9989e9e99f1334d6136f94fa984b1b9d5019493c2a53ec7,False,False
templates/qlib_factor_template/conf_cn_combined_kdd_ver.yaml,3750,251d90128426316a754bcb051388aeab653f0a59071a1943fca547f9779defe8,True,False
templates/qlib_factor_template/conf_us_combined_kdd_ver.yaml,3593,70cb8bcadf8f818bf846632ab556ecddcf100c4b027f61459287daf14e4ad659,True,False
templates/qlib_factor_template/read_exp_res.py,1642,de9fa416e93f46a6500b9083eb0cdfbaaf5f0935bdfc4d7c58fa672825acc001,True,False
tests/test_smoke.py,318,20f7d652028256ce7203789f177c800a7c9921e4e398f8523b06d6270dc1772c,False,False
