formation_month,procedural_start,procedural_end,procedural_months,cvar_coverage,cvar_alerts,finite_scores,analyst_rankic__market,belief_weight__market,analyst_rankic__fundamental,belief_weight__fundamental,analyst_rankic__attention,belief_weight__attention,analyst_rankic__risk,belief_weight__risk
2001-04-30,1996-04-30,2001-03-31,60,748,14,644,0.04395491451178664,0.25785434535837654,0.01767006525724167,0.2508110720109916,-0.04582159478117922,0.23813202018805363,0.023134364582904174,0.2532025624425781
2001-05-31,1996-05-31,2001-04-30,60,754,8,649,0.045464461138244185,0.2581615926438153,0.01767402475143891,0.2511039093367233,-0.04955041194824271,0.2374989821517719,0.02302495732176495,0.2532355158676896
2001-06-30,1996-06-30,2001-05-31,60,758,40,652,0.04509760925327914,0.25830280918808735,0.016726052327577946,0.2512002167145651,-0.045916330215755925,0.23717887321324682,0.024949825226751744,0.2533181008841008
2001-07-31,1996-07-31,2001-06-30,60,755,24,647,0.04827793050265922,0.2584881384437079,0.020197146879519106,0.2513679492683392,-0.04585611551008987,0.23682710400035373,0.025905115706737758,0.2533168082875992
2001-08-31,1996-08-31,2001-07-31,60,764,33,655,0.054416720860467914,0.25893943555634547,0.02319527823027544,0.2515989989101598,-0.051653152821855196,0.23614479702183241,0.02724782935833856,0.2533167685116624
2001-09-30,1996-09-30,2001-08-31,60,753,184,647,0.06140253907274102,0.25973601021393133,0.022323024067131787,0.25171914064125583,-0.058659949744048805,0.2352261336167676,0.027249747873706175,0.2533187155280453
2001-10-31,1996-10-31,2001-09-30,60,753,26,647,0.053178644274671366,0.2597813643691693,0.027004450433365072,0.2520899952804114,-0.0558154881447012,0.23468890778161092,0.029372176068013366,0.2534397325688085
2001-11-30,1996-11-30,2001-10-31,60,766,3,660,0.04780603602404625,0.25949592441369645,0.027426879758299594,0.25242301957265334,-0.051979869260787716,0.2345359061471191,0.029158887304995742,0.2535451498665312
2001-12-31,1996-12-31,2001-11-30,60,768,3,660,0.046895112087631446,0.2591707446944311,0.02858911138798555,0.25269518542881114,-0.04994216090413047,0.234493115587932,0.030231412391331446,0.2536409542888259
2002-01-31,1997-01-31,2001-12-31,60,767,13,663,0.04861726702102576,0.25895203786469856,0.03198843663575906,0.25303045731749535,-0.05120254631518199,0.23430931849940212,0.03149078318302004,0.2537081863184041
2002-02-28,1997-02-28,2002-01-31,60,776,25,672,0.052049117024536996,0.25887293832331487,0.035779961391941596,0.2533883179621821,-0.0498709530874827,0.23412556252060707,0.031314588647338416,0.2536131811938961
2002-03-31,1997-03-31,2002-02-28,60,785,2,683,0.04642045536517075,0.25857091809797716,0.03309979840043116,0.25360507624452594,-0.04579594282510139,0.23433581975652584,0.028597536696697887,0.25348818590097094
2002-04-30,1997-04-30,2002-03-31,60,784,37,690,0.04870038539980358,0.2584610165787384,0.03445609646163486,0.25382392681375765,-0.04860621156464217,0.23430106670661605,0.0293777005883286,0.25341398990088787
2002-05-31,1997-05-31,2002-04-30,60,780,16,686,0.054451719871687905,0.258710769041989,0.034888894546808345,0.25397634043342404,-0.053551124665183684,0.23395025438204434,0.030062625538703033,0.2533626361425428
2002-06-30,1997-06-30,2002-05-31,60,770,71,675,0.05887682690837924,0.2590823554237496,0.03742095641538508,0.25415071141593565,-0.056425005244972466,0.2334279170440843,0.03188618288290553,0.25333901611623055
2002-07-31,1997-07-31,2002-06-30,60,777,121,679,0.05970755999052333,0.25943416156742666,0.03822416788034461,0.25435129974077575,-0.06061408380675833,0.23281074615792008,0.03289551593529177,0.25340379253387757
2002-08-31,1997-08-31,2002-07-31,60,778,16,677,0.06356491695599094,0.25992397914522275,0.03774844260993999,0.2544463593943604,-0.06316013227729274,0.2321783857606598,0.03327172213371736,0.25345127569975706
2002-09-30,1997-09-30,2002-08-31,60,763,118,665,0.06760039775034575,0.26036600261639,0.04247435379557055,0.2546344456567873,-0.06476998500518515,0.23144543106596308,0.03722527353698542,0.25355412066085964
2002-10-31,1997-10-31,2002-09-30,60,776,22,675,0.06265207012737582,0.2604134458310665,0.0425308679347006,0.2548172024206265,-0.061809446199133776,0.23109995252593726,0.03722936771093031,0.2536693992223699
2002-11-30,1997-11-30,2002-10-31,60,787,7,686,0.05318850204815478,0.25995160605638656,0.042099118331507035,0.25504154883635166,-0.05275619527463403,0.2314683576817555,0.03200260395133845,0.25353848742550633
2002-12-31,1997-12-31,2002-11-30,60,784,24,683,0.05635491024964268,0.259764905283176,0.04568146488573744,0.2553943883503657,-0.05906459440842903,0.2313386385093471,0.033677306016787686,0.25350206785711105
2003-01-31,1998-01-31,2002-12-31,60,785,18,682,0.05848894706626176,0.25978803403159784,0.0417284376575187,0.25543038460255696,-0.056889641346086144,0.23138908677152079,0.03199738131251199,0.2533924945943245
2003-02-28,1998-02-28,2003-01-31,60,791,12,685,0.0625670631852239,0.2600127434095446,0.04152866805734047,0.25538772032980056,-0.05829197708602271,0.231294310532867,0.03280819310758195,0.25330522572778785
2003-03-31,1998-03-31,2003-02-28,60,796,4,686,0.06161124606888736,0.25998253371826885,0.04520868153662501,0.25545673568037597,-0.05605874807079363,0.23123101842855764,0.03632723649437619,0.25332971217279754
2003-04-30,1998-04-30,2003-03-31,60,809,2,702,0.05794045047782772,0.2598684297550101,0.04378756894065169,0.2555622880957906,-0.05545466043098675,0.2313493529417793,0.03204001234596184,0.2532199292074199
2003-05-31,1998-05-31,2003-04-30,60,823,1,715,0.05057185037211331,0.2594447126231503,0.04064376897943047,0.2555774847634081,-0.04755844794652413,0.23202258444707285,0.02700788334269793,0.25295521816636873
2003-06-30,1998-06-30,2003-05-31,60,834,3,722,0.044454554153478966,0.25885306138507824,0.04196128732327613,0.2557925990065828,-0.049809610977474716,0.23250492829742275,0.026612531242769015,0.25284941131091615
2003-07-31,1998-07-31,2003-06-30,60,843,3,730,0.039261365524379574,0.25811594301462404,0.043916122946592084,0.2561190838304796,-0.04823460381523648,0.232995085680102,0.02599195867345845,0.2527698874747945
2003-08-31,1998-08-31,2003-07-31,60,845,2,731,0.03544181771399298,0.2573260060979975,0.04282184070567812,0.2563004973990013,-0.03899178399356851,0.23391330423669812,0.02191673660858412,0.2524601922663031
2003-09-30,1998-09-30,2003-08-31,60,850,11,737,0.03667378077076413,0.25686805904531956,0.04272700455815746,0.2564867410171542,-0.04374508979973647,0.23437300783503642,0.021744448710174325,0.25227219210248986
2003-10-31,1998-10-31,2003-09-30,60,856,1,742,0.04513335497460263,0.2569649565747565,0.0405194676507733,0.25638291441323546,-0.04267341122708055,0.2346873024104309,0.020686184764297365,0.25196482660157715
2003-11-30,1998-11-30,2003-10-31,60,854,2,742,0.04711261805285996,0.2571712002936411,0.041220199533104324,0.25635603376413757,-0.04432399017804876,0.234831484924209,0.019107487216163833,0.25164128101801236
2003-12-31,1998-12-31,2003-11-30,60,860,3,744,0.03708376283707575,0.25698044045559115,0.04179375443165126,0.2566716977672807,-0.049729357443953105,0.23489546800167185,0.0153107940203617,0.2514523937754563
2004-01-31,1999-01-31,2003-12-31,60,869,3,754,0.03572666154355635,0.2568555204478914,0.04240787315833372,0.2570537983004628,-0.05436129009120567,0.23476788847891114,0.013862923394798237,0.2513227927727347
2004-02-29,1999-02-28,2004-01-31,60,862,2,748,0.036418116263978194,0.2567402956582052,0.04365410170985805,0.2573545031258178,-0.05292963112015051,0.2346958989624272,0.014630584916070326,0.25120930225354976
2004-03-31,1999-03-31,2004-02-29,60,868,1,751,0.0364335345238631,0.25661676189793736,0.0467879993994901,0.2577441865270054,-0.05647426478730718,0.23439976545841162,0.01705877074835447,0.25123928611664564
2004-04-30,1999-04-30,2004-03-31,60,862,29,748,0.03799831609708097,0.2564837996486799,0.0500862053813694,0.2581079458394769,-0.05853976480376311,0.23392951930549866,0.022700090762341522,0.2514787352063446
2004-05-31,1999-05-31,2004-04-30,60,871,2,757,0.03855020005639662,0.25644587240707245,0.04702967694581918,0.25820968291913976,-0.05596769083767834,0.23375060771296496,0.021263926259901873,0.2515938369608227
2004-06-30,1999-06-30,2004-05-31,60,871,7,758,0.039953305877146655,0.25653761567264616,0.04828193663144709,0.2583974313551474,-0.05670481050759633,0.23360089015784094,0.01735637923948073,0.25146406281436556
2004-07-31,1999-07-31,2004-06-30,60,873,36,763,0.039678193617702175,0.2566604737316479,0.04696376381597261,0.2585251958082316,-0.05883383162347776,0.23342962141984958,0.016526110606091403,0.25138470904027094
2004-08-31,1999-08-31,2004-07-31,60,865,8,755,0.03778941553393337,0.25679241441566064,0.04525186375719824,0.2586725642009121,-0.0654720235861495,0.2330611648480992,0.01638313014001457,0.251473856535328
2004-09-30,1999-09-30,2004-08-31,60,861,7,753,0.03743924131885176,0.2568758591301619,0.04651839986030002,0.2588722512739191,-0.0646892547731256,0.2328365529149897,0.01428002298239751,0.25141533668092925
2004-10-31,1999-10-31,2004-09-30,60,865,11,756,0.03480156434541219,0.25678430520095485,0.049546847792798235,0.25923418194965964,-0.06475128048325178,0.232678247475484,0.012956965690921512,0.2513032653739015
2004-11-30,1999-11-30,2004-10-31,60,863,4,757,0.03222186764031789,0.25670261670541733,0.051214077753348214,0.25976933490312826,-0.06870804129601016,0.23246786090441676,0.008042566746315065,0.2510601874870378
2004-12-31,1999-12-31,2004-11-30,60,868,2,762,0.02558279535381475,0.2563770231067608,0.052257298308495466,0.2604031493026946,-0.07426251725055283,0.23213375722195667,0.008855896488810553,0.25108607036858804
2005-01-31,2000-01-31,2004-12-31,60,864,27,759,0.026943536304083575,0.25616394984490365,0.05547515187127763,0.2610324282309567,-0.07520653977493126,0.23177825679443478,0.008452580222656056,0.25102536512970497
2005-02-28,2000-02-29,2005-01-31,60,859,4,757,0.02256280450972039,0.25578644536325634,0.05998330177925991,0.2618652583597901,-0.07954616583310517,0.23131743472415872,0.008298880851325187,0.25103086155279475
