paper_version,dataset,metric,paper_value,recomputed_value,recomputed_at_paper_precision,match_at_paper_precision,confidence,lookback,model,wealth_sha256,weights_sha256,repeat_paths_equal,source_grounded_mean_cvar_evidence,native_efs_evidence,paper_result_credit
v1,FF25,CW,386.71,333.413629283,333.41,False,0.95,60,ASMCVaR paper equations (1)-(3),d67f9f2924dea78f57cf19e57472d2e7e608b25f0fc68e10a9d9f02becba8f36,377800a385252eb197702dde67e70bfa55984bfddf613cf1ff3ae58f94cbe573,True,True,False,False
v1,FF25,SR,0.239,0.230475458767,0.230,False,0.95,60,ASMCVaR paper equations (1)-(3),d67f9f2924dea78f57cf19e57472d2e7e608b25f0fc68e10a9d9f02becba8f36,377800a385252eb197702dde67e70bfa55984bfddf613cf1ff3ae58f94cbe573,True,True,False,False
v1,FF25,MDD,0.538,0.542902657007,0.543,False,0.95,60,ASMCVaR paper equations (1)-(3),d67f9f2924dea78f57cf19e57472d2e7e608b25f0fc68e10a9d9f02becba8f36,377800a385252eb197702dde67e70bfa55984bfddf613cf1ff3ae58f94cbe573,True,True,False,False
v1,FF32,CW,289.93,331.135784155,331.14,False,0.95,60,ASMCVaR paper equations (1)-(3),56a148d0738c190905494023a12e0ef42a3ec52d9f21ac1a9b1606a9d3d58191,70c9fc77ab08480cf41698316fb8f947ede5894e30e75b10090c68c82e05d706,True,True,False,False
v1,FF32,SR,0.231,0.237530960415,0.238,False,0.95,60,ASMCVaR paper equations (1)-(3),56a148d0738c190905494023a12e0ef42a3ec52d9f21ac1a9b1606a9d3d58191,70c9fc77ab08480cf41698316fb8f947ede5894e30e75b10090c68c82e05d706,True,True,False,False
v1,FF32,MDD,0.507,0.500795011478,0.501,False,0.95,60,ASMCVaR paper equations (1)-(3),56a148d0738c190905494023a12e0ef42a3ec52d9f21ac1a9b1606a9d3d58191,70c9fc77ab08480cf41698316fb8f947ede5894e30e75b10090c68c82e05d706,True,True,False,False
v1,FF49,CW,207.53,150.146991542,150.15,False,0.95,60,ASMCVaR paper equations (1)-(3),533e6dc6edd46418775e2bd130447703e3e44b7672c9615d885abbd9854ce812,32bc30673ef4b94f27b527b7afa74ce1a982d096b3f5436b93163c51d158c2bb,True,True,False,False
v1,FF49,SR,0.248,0.221957556441,0.222,False,0.95,60,ASMCVaR paper equations (1)-(3),533e6dc6edd46418775e2bd130447703e3e44b7672c9615d885abbd9854ce812,32bc30673ef4b94f27b527b7afa74ce1a982d096b3f5436b93163c51d158c2bb,True,True,False,False
v1,FF49,MDD,0.411,0.485705497584,0.486,False,0.95,60,ASMCVaR paper equations (1)-(3),533e6dc6edd46418775e2bd130447703e3e44b7672c9615d885abbd9854ce812,32bc30673ef4b94f27b527b7afa74ce1a982d096b3f5436b93163c51d158c2bb,True,True,False,False
v1,FF100,CW,155.70,70.3146878418,70.31,False,0.95,60,ASMCVaR paper equations (1)-(3),01d3572b16e1dd2032c606b2c5de86758041baa42aacdf19380d09153950fbc3,9ea314d0dfc33506785a000ecf9b3ab06df1944ad0c9215012379d87e278b6e2,True,True,False,False
v1,FF100,SR,0.203,0.173831695551,0.174,False,0.95,60,ASMCVaR paper equations (1)-(3),01d3572b16e1dd2032c606b2c5de86758041baa42aacdf19380d09153950fbc3,9ea314d0dfc33506785a000ecf9b3ab06df1944ad0c9215012379d87e278b6e2,True,True,False,False
