paper_version,dataset,metric,paper_value,recomputed_value,recomputed_at_paper_precision,match_at_paper_precision,source_commit,window,lambda,gamma,eta,zeta,octave_version,wthresh_compatibility,cw_sha256,weights_sha256,full_paths_repeat_equal,native_sspo_source_evidence,native_efs_evidence,paper_result_credit
v1,FF25,CW,76.70,24.1177077812,24.12,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,dccdbe28c9b0e327a766a40b2542f56c6cbb22de1165cbaa59262c1daf70f98c,a3324763c1edd6a1da5993a4dfd4e5f75fa3b3d96c061585498e8f6d998e5779,True,True,False,False
v1,FF25,SR,0.140,0.111692938705,0.112,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,dccdbe28c9b0e327a766a40b2542f56c6cbb22de1165cbaa59262c1daf70f98c,a3324763c1edd6a1da5993a4dfd4e5f75fa3b3d96c061585498e8f6d998e5779,True,True,False,False
v1,FF25,MDD,0.784,0.84560604786,0.846,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,dccdbe28c9b0e327a766a40b2542f56c6cbb22de1165cbaa59262c1daf70f98c,a3324763c1edd6a1da5993a4dfd4e5f75fa3b3d96c061585498e8f6d998e5779,True,True,False,False
v1,FF32,CW,15.37,12.0474741843,12.05,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,393e4395a418f9c34fdaf71fd2712d2bdbf3098fb933cb64d12051ae173a2642,f747e7bb82e331a9b8a5493e1b12599e5aeffb0529be0cd4cc508eabf951fc74,True,True,False,False
v1,FF32,SR,0.100,0.0934792990194,0.093,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,393e4395a418f9c34fdaf71fd2712d2bdbf3098fb933cb64d12051ae173a2642,f747e7bb82e331a9b8a5493e1b12599e5aeffb0529be0cd4cc508eabf951fc74,True,True,False,False
v1,FF32,MDD,0.733,0.684844123441,0.685,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,393e4395a418f9c34fdaf71fd2712d2bdbf3098fb933cb64d12051ae173a2642,f747e7bb82e331a9b8a5493e1b12599e5aeffb0529be0cd4cc508eabf951fc74,True,True,False,False
v1,FF49,CW,62.27,0.711220067807,0.71,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,814a5a7697ebf0d07fdcbd7a81aadc8f6a95a4ded626e0ce11ac26a130ce067b,1c41b42b3d0f047a515fb675d206ec68bad159cc70f12549fb153d64fc212ee2,True,True,False,False
v1,FF49,SR,0.114,0.0490571129253,0.049,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,814a5a7697ebf0d07fdcbd7a81aadc8f6a95a4ded626e0ce11ac26a130ce067b,1c41b42b3d0f047a515fb675d206ec68bad159cc70f12549fb153d64fc212ee2,True,True,False,False
v1,FF49,MDD,0.878,0.958705228818,0.959,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,814a5a7697ebf0d07fdcbd7a81aadc8f6a95a4ded626e0ce11ac26a130ce067b,1c41b42b3d0f047a515fb675d206ec68bad159cc70f12549fb153d64fc212ee2,True,True,False,False
v1,FF100,CW,1.21,0.987056872239,0.99,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,102badafe627be2d4fbd3cbeb5f1d3984c79705df0637f98722162ebb6a2db0f,755ba469e9b016a78f4a20c8667b9a6df633dca87e08e52cc70b4330b86302f0,True,True,False,False
v1,FF100,SR,0.046,0.0463404557787,0.046,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,102badafe627be2d4fbd3cbeb5f1d3984c79705df0637f98722162ebb6a2db0f,755ba469e9b016a78f4a20c8667b9a6df633dca87e08e52cc70b4330b86302f0,True,True,False,True
v1,FF100,MDD,0.823,0.858600264674,0.859,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,102badafe627be2d4fbd3cbeb5f1d3984c79705df0637f98722162ebb6a2db0f,755ba469e9b016a78f4a20c8667b9a6df633dca87e08e52cc70b4330b86302f0,True,True,False,False
v1,FF100MEOP,CW,9.97,8.89316867119,8.89,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,7082bbf8f560267a95583b1f1e2815675efce40b716691a11192249ea6ba96d2,0768c6f60c7957c3bf1039c5153987f215b4cf05fa6744cb1d53a483bdc3b8cd,True,True,False,False
v1,FF100MEOP,SR,0.086,0.0854967039122,0.085,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,7082bbf8f560267a95583b1f1e2815675efce40b716691a11192249ea6ba96d2,0768c6f60c7957c3bf1039c5153987f215b4cf05fa6744cb1d53a483bdc3b8cd,True,True,False,False
v1,FF100MEOP,MDD,0.814,0.842714585141,0.843,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,7082bbf8f560267a95583b1f1e2815675efce40b716691a11192249ea6ba96d2,0768c6f60c7957c3bf1039c5153987f215b4cf05fa6744cb1d53a483bdc3b8cd,True,True,False,False
v2,FF25,CW,77,24.1177077812,24,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,dccdbe28c9b0e327a766a40b2542f56c6cbb22de1165cbaa59262c1daf70f98c,a3324763c1edd6a1da5993a4dfd4e5f75fa3b3d96c061585498e8f6d998e5779,True,True,False,False
v2,FF25,SR,0.14,0.111692938705,0.11,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,dccdbe28c9b0e327a766a40b2542f56c6cbb22de1165cbaa59262c1daf70f98c,a3324763c1edd6a1da5993a4dfd4e5f75fa3b3d96c061585498e8f6d998e5779,True,True,False,False
