dataset,sparsity,lookback,metric,paper_value,recomputed_value,recomputed_at_paper_precision,match_at_paper_precision,paper_location,native_source_runs,full_wealth_path_repeat_equal,cw_sha256,original_mssrm_paper_result_credit,native_efs_evidence
FF25,10,60,CW,615.34,615.341590297,615.34,True,Table 2 and Appendix Table 6,2,True,bebe50b0c5660a2f71cd858beaf9e6a0ee07716def50eebc1306dbf8309bd491,True,False
FF25,10,60,SR,0.2481,0.248113681451,0.2481,True,Table 1 and Appendix Table 6,2,True,bebe50b0c5660a2f71cd858beaf9e6a0ee07716def50eebc1306dbf8309bd491,True,False
FF25EU,10,60,CW,126.02,126.015469944,126.02,True,Table 2 and Appendix Table 6,2,True,8013d469c21f45196337a75f86a6c42dcbad657ad80fce9ad8389d54fc6324b0,True,False
FF25EU,10,60,SR,0.2712,0.271247481655,0.2712,True,Table 1 and Appendix Table 6,2,True,8013d469c21f45196337a75f86a6c42dcbad657ad80fce9ad8389d54fc6324b0,True,False
FF32,10,60,CW,991.89,991.885061594,991.89,True,Table 2 and Appendix Table 6,2,True,92cad40eb1380a6782169cefe29597235285d092dba3ee8ff7bb914ab426e0fd,True,False
FF32,10,60,SR,0.2612,0.261186780404,0.2612,True,Table 1 and Appendix Table 6,2,True,92cad40eb1380a6782169cefe29597235285d092dba3ee8ff7bb914ab426e0fd,True,False
FF49,10,60,CW,285.02,285.02482404,285.02,True,Table 2 and Appendix Table 6,2,True,5738fcd4a3a620dd52cbaec6817bb74e1971f6607c737f2688ae25ee26e0ff38,True,False
FF49,10,60,SR,0.2151,0.215120360039,0.2151,True,Table 1 and Appendix Table 6,2,True,5738fcd4a3a620dd52cbaec6817bb74e1971f6607c737f2688ae25ee26e0ff38,True,False
FF100,10,60,CW,527.09,527.086443644,527.09,True,Table 2 and Appendix Table 6,2,True,a6dda551f1e401e45820fd8a90205386de2914f5fa9a20f3ad7e645a5b0becec,True,False
FF100,10,60,SR,0.2290,0.229033082065,0.2290,True,Table 1 and Appendix Table 6,2,True,a6dda551f1e401e45820fd8a90205386de2914f5fa9a20f3ad7e645a5b0becec,True,False
FF100MEINV,10,60,CW,375.75,375.754347597,375.75,True,Table 2 and Appendix Table 6,2,True,562f59f9c43fbd69a45290bef1654c9c81c1d95ed138289376066f6013f41b19,True,False
FF100MEINV,10,60,SR,0.2217,0.22170592465,0.2217,True,Table 1 and Appendix Table 6,2,True,562f59f9c43fbd69a45290bef1654c9c81c1d95ed138289376066f6013f41b19,True,False
FF25,15,60,CW,614.71,614.7107853,614.71,True,Table 2 and Appendix Table 6,2,True,e3f6c19cdfdfb297402f773d6b6182b4598cdc6d3e3cb2726a8793dc557ba9be,True,False
FF25,15,60,SR,0.2481,0.248120427578,0.2481,True,Table 1 and Appendix Table 6,2,True,e3f6c19cdfdfb297402f773d6b6182b4598cdc6d3e3cb2726a8793dc557ba9be,True,False
FF25EU,15,60,CW,125.19,125.189580783,125.19,True,Table 2 and Appendix Table 6,2,True,11429d2ce75c7839b04f7d4f94365b66c0d2504debf082a8fb9abd85c158e8d0,True,False
FF25EU,15,60,SR,0.2708,0.270835336604,0.2708,True,Table 1 and Appendix Table 6,2,True,11429d2ce75c7839b04f7d4f94365b66c0d2504debf082a8fb9abd85c158e8d0,True,False
FF32,15,60,CW,996.32,996.318266798,996.32,True,Table 2 and Appendix Table 6,2,True,baec5f111c166a2d6dc731839bb09274d935c217e0ece512abe31a64b6957324,True,False
FF32,15,60,SR,0.2615,0.261465101151,0.2615,True,Table 1 and Appendix Table 6,2,True,baec5f111c166a2d6dc731839bb09274d935c217e0ece512abe31a64b6957324,True,False
FF49,15,60,CW,262.54,262.535450017,262.54,True,Table 2 and Appendix Table 6,2,True,fafd9b3c5c0c134668d421237f2aa245670c3168b172f6d0d92a12ca8a15f219,True,False
FF49,15,60,SR,0.2135,0.213468351569,0.2135,True,Table 1 and Appendix Table 6,2,True,fafd9b3c5c0c134668d421237f2aa245670c3168b172f6d0d92a12ca8a15f219,True,False
FF100,15,60,CW,522.28,522.275514986,522.28,True,Table 2 and Appendix Table 6,2,True,29454ad4d6122051d91f71586153bbe281f6e9b5a20a3a628b890c44e4e16f21,True,False
FF100,15,60,SR,0.2289,0.228870321462,0.2289,True,Table 1 and Appendix Table 6,2,True,29454ad4d6122051d91f71586153bbe281f6e9b5a20a3a628b890c44e4e16f21,True,False
FF100MEINV,15,60,CW,383.44,383.43646723,383.44,True,Table 2 and Appendix Table 6,2,True,df4935359d8c14142e8fafa48271f00a093a3260f00fc727fbfcdac0a9b6dda4,True,False
FF100MEINV,15,60,SR,0.2232,0.223229975855,0.2232,True,Table 1 and Appendix Table 6,2,True,df4935359d8c14142e8fafa48271f00a093a3260f00fc727fbfcdac0a9b6dda4,True,False
FF25,20,60,CW,614.70,614.701562849,614.70,True,Table 2 and Appendix Table 6,2,True,db5ffa0699304a63e5e5aab0a483e5f782e4a9388dcb901800f8a2a83c2b03ab,True,False
FF25,20,60,SR,0.2481,0.248119877264,0.2481,True,Table 1 and Appendix Table 6,2,True,db5ffa0699304a63e5e5aab0a483e5f782e4a9388dcb901800f8a2a83c2b03ab,True,False
FF25EU,20,60,CW,125.19,125.189662945,125.19,True,Table 2 and Appendix Table 6,2,True,c3eaf4466216cebb41b876dbf6251f9afa53f1e3e2f286ba152cde2d12afe727,True,False
FF25EU,20,60,SR,0.2708,0.270835359772,0.2708,True,Table 1 and Appendix Table 6,2,True,c3eaf4466216cebb41b876dbf6251f9afa53f1e3e2f286ba152cde2d12afe727,True,False
FF32,20,60,CW,996.23,996.227659668,996.23,True,Table 2 and Appendix Table 6,2,True,7039cff0c527daaad6cf59608df21097cab15ba849d4b530c177398fa362b6c2,True,False
FF32,20,60,SR,0.2615,0.261462080862,0.2615,True,Table 1 and Appendix Table 6,2,True,7039cff0c527daaad6cf59608df21097cab15ba849d4b530c177398fa362b6c2,True,False
FF49,20,60,CW,262.06,262.056392835,262.06,True,Table 2 and Appendix Table 6,2,True,73139b9e4d4450c4e25d8a43e6799c3c8abd2c9bfcb929a0b1d2ca8caaf8b117,True,False
FF49,20,60,SR,0.2134,0.213436337279,0.2134,True,Table 1 and Appendix Table 6,2,True,73139b9e4d4450c4e25d8a43e6799c3c8abd2c9bfcb929a0b1d2ca8caaf8b117,True,False
FF100,20,60,CW,515.50,515.50149871,515.50,True,Table 2 and Appendix Table 6,2,True,4ec492771f9c9e8e17ab7775814b46ad81a60d34b262a052e1770b944c75829f,True,False
FF100,20,60,SR,0.2285,0.228455912736,0.2285,True,Table 1 and Appendix Table 6,2,True,4ec492771f9c9e8e17ab7775814b46ad81a60d34b262a052e1770b944c75829f,True,False
FF100MEINV,20,60,CW,384.65,384.646794297,384.65,True,Table 2 and Appendix Table 6,2,True,22e9df4224359ef939c31bced8d5eb49f18625162575bf1251e59debd29a87ff,True,False
FF100MEINV,20,60,SR,0.2234,0.223358202455,0.2234,True,Table 1 and Appendix Table 6,2,True,22e9df4224359ef939c31bced8d5eb49f18625162575bf1251e59debd29a87ff,True,False
