paper_version,paper_table,row_index,row_label,result_position,dataset,metric,paper_value,cited_baseline_recomputed_value,cited_baseline_match_at_paper_precision,native_efs_result_credit,paper_result_credit,version_lineage_status
v2,benchmark,0,Baseline | 1/N,0,FF25,CW,374,373.765729685,True,False,True,rounded_v1_value_carried_into_v2
v2,benchmark,0,Baseline | 1/N,1,FF25,SR,0.23,0.227617734477,True,False,True,rounded_v1_value_carried_into_v2
v2,benchmark,0,Baseline | 1/N,2,FF25,MDD,0.55,0.547644971276,True,False,True,rounded_v1_value_carried_into_v2
v2,benchmark,0,Baseline | 1/N,3,FF32,CW,453,446.630829807,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,0,Baseline | 1/N,4,FF32,SR,0.23,0.223376243881,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,0,Baseline | 1/N,5,FF32,MDD,0.54,0.54050470877,True,False,True,rounded_v1_value_carried_into_v2
v2,benchmark,0,Baseline | 1/N,6,FF49,CW,255,250.200686962,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,0,Baseline | 1/N,7,FF49,SR,0.21,0.205714641498,True,False,True,rounded_v1_value_carried_into_v2
v2,benchmark,0,Baseline | 1/N,8,FF49,MDD,0.53,0.526895538992,True,False,True,rounded_v1_value_carried_into_v2
v2,benchmark,0,Baseline | 1/N,9,FF100,CW,389,385.763824236,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,0,Baseline | 1/N,10,FF100,SR,0.21,0.208693719333,True,False,True,rounded_v1_value_carried_into_v2
v2,benchmark,0,Baseline | 1/N,11,FF100,MDD,0.55,0.54876606898,True,False,True,rounded_v1_value_carried_into_v2
v2,benchmark,1,SSPO,0,FF25,CW,77,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,1,SSPO,1,FF25,SR,0.14,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,1,SSPO,2,FF25,MDD,0.78,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,1,SSPO,3,FF32,CW,15,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,1,SSPO,4,FF32,SR,0.10,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,1,SSPO,5,FF32,MDD,0.73,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,1,SSPO,6,FF49,CW,62,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,1,SSPO,7,FF49,SR,0.11,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,1,SSPO,8,FF49,MDD,0.88,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,1,SSPO,9,FF100,CW,1,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,1,SSPO,10,FF100,SR,0.05,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,1,SSPO,11,FF100,MDD,0.82,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,2,Min-CVaR,0,FF25,CW,387,333.413629283,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,2,Min-CVaR,1,FF25,SR,0.24,0.230475458767,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,2,Min-CVaR,2,FF25,MDD,0.54,0.542902657007,True,False,True,rounded_v1_value_carried_into_v2
v2,benchmark,2,Min-CVaR,3,FF32,CW,290,331.135784155,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,2,Min-CVaR,4,FF32,SR,0.23,0.237530960415,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,2,Min-CVaR,5,FF32,MDD,0.51,0.500795011478,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,2,Min-CVaR,6,FF49,CW,208,150.146991542,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,2,Min-CVaR,7,FF49,SR,0.25,0.221957556441,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,2,Min-CVaR,8,FF49,MDD,0.41,0.485705497584,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,2,Min-CVaR,9,FF100,CW,156,70.3146878418,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,2,Min-CVaR,10,FF100,SR,0.20,0.173831695551,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,2,Min-CVaR,11,FF100,MDD,0.54,0.538814784529,True,False,True,rounded_v1_value_carried_into_v2
v2,benchmark,3,Max-Sharpe,0,FF25,CW,553,614.701853484,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,3,Max-Sharpe,1,FF25,SR,0.24,0.248119893394,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,3,Max-Sharpe,2,FF25,MDD,0.58,0.580889262921,True,False,True,rounded_v1_value_carried_into_v2
v2,benchmark,3,Max-Sharpe,3,FF32,CW,719,996.229903702,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,3,Max-Sharpe,4,FF32,SR,0.25,0.261462225203,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,3,Max-Sharpe,5,FF32,MDD,0.55,0.54291760867,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,3,Max-Sharpe,6,FF49,CW,211,262.044834958,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,3,Max-Sharpe,7,FF49,SR,0.23,0.213435969802,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,3,Max-Sharpe,8,FF49,MDD,0.42,0.467608785929,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,3,Max-Sharpe,9,FF100,CW,387,514.803935561,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,3,Max-Sharpe,10,FF100,SR,0.22,0.228424474186,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,3,Max-Sharpe,11,FF100,MDD,0.57,0.622406924046,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,4,m=10 | LGBM,0,FF25,CW,281,,False,False,False,rounded_v1_value_carried_into_v2
v2,benchmark,4,m=10 | LGBM,1,FF25,SR,0.22,,False,False,False,rounded_v1_value_carried_into_v2
