dataset,sparsity,field,shape,matlab_sha256,octave_sha256,max_absolute_difference,absolute_tolerance,equivalent_within_tolerance,native_efs_evidence
FF25,10,CW,623x1,becc3e34c8fde6934c5d9b32926919dd5f977cf0645e29a88fb780818ee2aa6d,d4ca04887f894a24abe1b2c39f09e73b3eddfb1619495ef998c8d74d4ecf5ca9,7.95807864051e-13,1e-11,True,False
FF25,10,all_w,25x623,98a530326330458b3acafa0061be8192526275201d050ca9d91ca544c6b07815,e779b49c99f67d0316df652a63377ee2dab13a060dae296976c413e787cc5321,5.60662627436e-15,1e-13,True,False
