dataset,metric,paper_value,recomputed_value,recomputed_at_paper_precision,match_at_paper_precision,confidence,lookback,model,wealth_sha256,weights_sha256,repeat_paths_equal,original_mean_cvar_paper_result_credit
FF25,CW,333.41,333.413629283,333.41,True,0.95,60,ASMCVaR paper equations (1)-(3),d67f9f2924dea78f57cf19e57472d2e7e608b25f0fc68e10a9d9f02becba8f36,377800a385252eb197702dde67e70bfa55984bfddf613cf1ff3ae58f94cbe573,True,True
FF25,SR,0.2305,0.230475458767,0.2305,True,0.95,60,ASMCVaR paper equations (1)-(3),d67f9f2924dea78f57cf19e57472d2e7e608b25f0fc68e10a9d9f02becba8f36,377800a385252eb197702dde67e70bfa55984bfddf613cf1ff3ae58f94cbe573,True,True
FF25EU,CW,18.60,18.5993072832,18.60,True,0.95,60,ASMCVaR paper equations (1)-(3),79376853fa66c158fe8ce9bfd521e0d85a2a1c5aa72a5f4e9fc1733f02fb614b,b22b5ec1c1cde62bad509af8b94da6df18bfcc188b0d766d2e92141833329b0c,True,True
FF25EU,SR,0.1803,0.180325104991,0.1803,True,0.95,60,ASMCVaR paper equations (1)-(3),79376853fa66c158fe8ce9bfd521e0d85a2a1c5aa72a5f4e9fc1733f02fb614b,b22b5ec1c1cde62bad509af8b94da6df18bfcc188b0d766d2e92141833329b0c,True,True
FF32,CW,331.14,331.135784155,331.14,True,0.95,60,ASMCVaR paper equations (1)-(3),56a148d0738c190905494023a12e0ef42a3ec52d9f21ac1a9b1606a9d3d58191,70c9fc77ab08480cf41698316fb8f947ede5894e30e75b10090c68c82e05d706,True,True
FF32,SR,0.2375,0.237530960415,0.2375,True,0.95,60,ASMCVaR paper equations (1)-(3),56a148d0738c190905494023a12e0ef42a3ec52d9f21ac1a9b1606a9d3d58191,70c9fc77ab08480cf41698316fb8f947ede5894e30e75b10090c68c82e05d706,True,True
FF49,CW,150.15,150.146991542,150.15,True,0.95,60,ASMCVaR paper equations (1)-(3),533e6dc6edd46418775e2bd130447703e3e44b7672c9615d885abbd9854ce812,32bc30673ef4b94f27b527b7afa74ce1a982d096b3f5436b93163c51d158c2bb,True,True
FF49,SR,0.2220,0.221957556441,0.2220,True,0.95,60,ASMCVaR paper equations (1)-(3),533e6dc6edd46418775e2bd130447703e3e44b7672c9615d885abbd9854ce812,32bc30673ef4b94f27b527b7afa74ce1a982d096b3f5436b93163c51d158c2bb,True,True
FF100,CW,70.31,70.3146878418,70.31,True,0.95,60,ASMCVaR paper equations (1)-(3),01d3572b16e1dd2032c606b2c5de86758041baa42aacdf19380d09153950fbc3,9ea314d0dfc33506785a000ecf9b3ab06df1944ad0c9215012379d87e278b6e2,True,True
FF100,SR,0.1738,0.173831695551,0.1738,True,0.95,60,ASMCVaR paper equations (1)-(3),01d3572b16e1dd2032c606b2c5de86758041baa42aacdf19380d09153950fbc3,9ea314d0dfc33506785a000ecf9b3ab06df1944ad0c9215012379d87e278b6e2,True,True
FF100MEOP,CW,306.40,306.39862684,306.40,True,0.95,60,ASMCVaR paper equations (1)-(3),9dc12f3a1798e8141d2af850184e559c97ea9b2e39f75ed7c0b7b5ec5651f1d4,74abf1bd06a25b0703578db17c602c6c028a3142314aa19a054dfed27723898e,True,True
FF100MEOP,SR,0.2204,0.220373638145,0.2204,True,0.95,60,ASMCVaR paper equations (1)-(3),9dc12f3a1798e8141d2af850184e559c97ea9b2e39f75ed7c0b7b5ec5651f1d4,74abf1bd06a25b0703578db17c602c6c028a3142314aa19a054dfed27723898e,True,True
