dataset,sparsity,lookback,supplement_function,mirror_function,supplement_result_file_sha256,cw_sha256,full_wealth_path_equal_to_mirror,sharpe_equal_to_mirror,native_efs_evidence
FF25,10,60,PGSAl0_w0run,run_mSSRM_PGA,297f96d95a1e7c8ba7b75429992614108a43618c44620f594aa2ec6c66a2e146,bebe50b0c5660a2f71cd858beaf9e6a0ee07716def50eebc1306dbf8309bd491,True,True,False
FF25EU,10,60,PGSAl0_w0run,run_mSSRM_PGA,b4c3c9a8b37107f7fa71ba7448f7ba650dac56a0e316a165ceaa986a43923335,8013d469c21f45196337a75f86a6c42dcbad657ad80fce9ad8389d54fc6324b0,True,True,False
FF32,10,60,PGSAl0_w0run,run_mSSRM_PGA,494a89816a378817e0e2b70fbbc3adb0e6c7950536c024a87e155c05bdd81c0d,92cad40eb1380a6782169cefe29597235285d092dba3ee8ff7bb914ab426e0fd,True,True,False
FF49,10,60,PGSAl0_w0run,run_mSSRM_PGA,a2bc74eed6b86ff88c38cc8981f530841dc81762660f19ef9d136f7a61d99dd5,5738fcd4a3a620dd52cbaec6817bb74e1971f6607c737f2688ae25ee26e0ff38,True,True,False
FF100,10,60,PGSAl0_w0run,run_mSSRM_PGA,aedd6aff475e62cd2ec8a703cc9670be7731a12a3b36906b5ae9450088bebfbb,a6dda551f1e401e45820fd8a90205386de2914f5fa9a20f3ad7e645a5b0becec,True,True,False
FF100MEINV,10,60,PGSAl0_w0run,run_mSSRM_PGA,eaedb76253a99c39da483f847134bc0ddcbc92b55d343ab578e1e3842ee1f765,562f59f9c43fbd69a45290bef1654c9c81c1d95ed138289376066f6013f41b19,True,True,False
