dataset,sparsity,observations,assets,matlab_release,terminal_cw,population_sharpe,maximum_drawdown,max_weight_sum_error,minimum_weight,cw_sha256,weights_sha256,repeat_path_present,repeat_path_equal,native_asmcvar_source_evidence,native_efs_evidence
FF100,10,623,100,2023b,966.321078341,0.244622192615,0.542842909087,4.4408920985e-16,0,ffb2a173cc191c5b3412a7475a76d0facb2a6875d110535b4a1077a6f72e880d,ad16970ba6289b1ff8301689045ca25ce941030d6ec847412be0113fe2ab5dae,False,,True,False
FF100,15,623,100,2023b,1126.00452217,0.250288955333,0.525765548048,2.22044604925e-16,0,04e7c0ee7c799d886ee545bccc3c123bf194316deb224b352e17e0154693292b,0d581919cd0567b4c54ec331a07efb2467d24ae20240737f9bf53c7f8df399c3,False,,True,False
FF100,20,623,100,2023b,1117.19610037,0.250120901927,0.536842457423,3.33066907388e-16,0,ead7f4e084d313bcbbd8ae56ac9437356b4cc9db961ac798db9a23bd43082355,396c66459b77b1092d041044e6a9bbe0d5c523863edef9629e2136f52da5b069,False,,True,False
FF100MEOP,10,623,100,2023b,783.465369051,0.23631704323,0.440178441117,2.22044604925e-16,0,bf64302e5f14634677d94c2517f93b1e42bd9fb4452b7439ed6a7229fe2794e7,845e2b402effcec2286def15771b8c3bb9e865ab0140bdf7b3c72c3da8e5d50a,False,,True,False
FF100MEOP,15,623,100,2023b,712.449946043,0.232586364146,0.464385265473,4.4408920985e-16,0,ca55c4e195f1b65e42a47bd8bf0e2700ffd973d38a84bf5d3d1b58ca6ee37062,de2822e38bf3b23003f7df4861a324f7c106964bb83c104949dacad6433edc15,False,,True,False
FF100MEOP,20,623,100,2023b,714.4933498,0.232196148133,0.461538927646,6.66133814775e-16,0,ff84d8fd185652abd568f33ec0b9feea6b44a39199ba6eaebc849dbf1a42d6e9,8d0005986331d581f28de6ea9bd54eb20cae06c8b2c238c40239d12a9935bc47,False,,True,False
FF25,10,623,25,2023b,973.230757216,0.260984532254,0.607398336593,2.22044604925e-16,0,becc3e34c8fde6934c5d9b32926919dd5f977cf0645e29a88fb780818ee2aa6d,98a530326330458b3acafa0061be8192526275201d050ca9d91ca544c6b07815,True,True,True,False
FF25,15,623,25,2023b,827.179183898,0.25413222774,0.624672313909,2.22044604925e-16,0,f30d54829fc14ff970cdc6c77e47041d72811eab49761356af23f5faf0365041,b125664389a4707991bf6f8775c8bc2308654f91b40a051399eac013a80846ff,False,,True,False
FF25,20,623,25,2023b,872.027957655,0.255750738745,0.626962717647,4.4408920985e-16,0,09c0b81c030faae7d99b5e1f77d43953f43453234a9a4227e6e041688c47adcf,3959e84aac4fef64d0cf81e5f073c2e230ec9eb82231618c60ff01e0374aab87,False,,True,False
FF25EU,10,391,25,2023b,122.82487821,0.275846153739,0.554250094674,2.22044604925e-16,0,5eec47323ec952af020b7fbb12004df97cd5836ef7dc414400645bcb86aa1a0e,9d5cae1acdceaf28535df28d12b06d053814c5c83d030ef69b7df498951a24c5,False,,True,False
FF25EU,15,391,25,2023b,123.131358267,0.276495089912,0.55810041409,3.33066907388e-16,0,1ea12642262c8382aeaf4e614be33b3c8bedd1e4a59b1a5510bea827b54dcb0e,c6dfa06e7a64c9f3884cea4ea4287e3d6c43537991fae0fc92cf2fc579dba0e1,False,,True,False
FF25EU,20,391,25,2023b,113.277043342,0.271297563627,0.564584341137,4.4408920985e-16,0,6b884f4f9762dd14ed23cbbd7b6fc2ffa5d699e02d467accb4bd45cc88f7483b,02af4dec5ef4eaf608cb84cb0003d2b7d93625d9d9f18241c66131555866793a,False,,True,False
FF32,10,623,32,2023b,1122.75581232,0.263843887108,0.496223022102,2.22044604925e-16,0,08006c37827ab8cf41545da24dd50e9d5ab7887c152556cae080b18b50878f3e,4a431bc8cfb5178fd8e3caa3d16827c6032d08907fd641504e73f72b3df8a817,False,,True,False
FF32,15,623,32,2023b,1303.79795035,0.261483071519,0.572278080604,3.33066907388e-16,0,bd09ef12f6f3ce1c38631c948d44ff57803b464799bd0beb6067b1f52e57750e,6d6fe8b395087d2e2ab1a1c38ea012e014a9b5da5993fdd8cf04a446b904ce42,False,,True,False
FF32,20,623,32,2023b,1317.01087445,0.260305715897,0.578177814106,4.4408920985e-16,0,63dfaab55fc4e384fa1e0ba6e980959635a1e85e55ede544531b00e85c260122,35f6d96938fb048507a6bfeddda1dfd9ac928a321a022e8689f0acae44578fbc,False,,True,False
FF49,10,623,49,2023b,758.658455326,0.233849719004,0.518668278571,4.4408920985e-16,0,4798c840ba832594c660c176cc00585b870f76fa151508e939e1863da5cac36f,c4228ed0b3e4f78d4d3f7b35f55a2b7f941727833f8310bc51688be9039e6897,False,,True,False
FF49,15,623,49,2023b,694.834132977,0.228581883132,0.518620809239,3.33066907388e-16,0,71c245928c78d8ab7a5bffa7ed8b2ea1ad658dc591fd2441a3e2cd250e5cda17,9646cbd92792aca48cef3faabe955edd2b6571bb7b3f2c0f4f16bba84f0452cb,False,,True,False
FF49,20,623,49,2023b,767.610762374,0.230007583973,0.516390717958,2.22044604925e-16,0,fe822a8ff9df6f34ca2fb9bcdb39c077b90563ec0e23a9ff68f5803c990c24b3,2819f92951a91d77e517d45265379afe8c396fc2e7509f9c31cbcd57babb673b,False,,True,False
