paper_version,filename,sha256,result_bearing,raw_plot_data_released,native_result_reproduced,status
v1,CSI_300_portfolio_performance_comparison.pdf,788f33b7471dd80e8725734e3028fe49899b810b30e6e84b2384c5212f975948,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,HSI_tech_45_performance_2022_2023_final.pdf,526b088b45b4fbaf3fb64f1530c1a9133540c85c1ebb8922527324fcd27ac5b6,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,HSI_tech_45_portfolio_performance_comparison.pdf,996000472d9b5fc542094c6618b7761a35f5759af1dddc3fc853e3671fd7c1c1,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,NASDAQ_50_performance_2022_2023_final.pdf,62bad235785de20f23091a3417f88c995b42c7221f7a2faab223b723a3855344,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,NASDAQ_50_portfolio_performance_comparison.pdf,a4cc74a3200f43a40af23cb510f29753008eaff83de6314bc6b975de6ddab8f2,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,alpha_example.pdf,f9c747b810d03d1ecf70af5b7b1e231df530870caab9ccd90326196796fb29e8,False,False,False,qualitative_or_architecture_figure
v1,csi300_factor_analysis.pdf,f4b8586f74adb15eb3dcf465636faa81d07d2874b517f411456e5ad53c9f6c5b,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,cw_band_plot.pdf,eff53c0f81e842a7064370bca26246e5d370a54a097772db6b3547c17542919a,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,factor_improvement.pdf,653c547fa1400ae5dabb7e34049e2e1a287204a0db3b7b1ed696826f9b089d1e,False,False,False,qualitative_or_architecture_figure
v1,factors_explain.pdf,b64bc9aba9890703b9a05a0d8bacd8697f3b99edd4a2ad9cf5975dca51af4097,False,False,False,qualitative_or_architecture_figure
v1,hsi45_factor_analysis.pdf,42f3df092fd2765712f87a671149c1f687871426bddc833f0ff62ab137c2ffcf,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,hsi_portfolio_performance_comparison.pdf,d368272d3c0a6213a2d9b6d8e9fd62639e0ffe4386300e8739acc68da25de855,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,nasdaq_dual_analysis.pdf,d6768c857b03138af908df9609d71037f59308d0e35f49e06988a74caa3b5b69,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,new_framework.pdf,ae2f60c0d08c9cbe087f66df43d5b7699d288c301b86496444efb738778fe99d,False,False,False,qualitative_or_architecture_figure
v1,sparse_decay.pdf,ee9f5c67c62c8f558d6a62dbc8a5bf522c77ece9f76222ff6af7c7769a2dce39,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,top10_tickers_by_year_market.pdf,28e9dad165f2cf18e0818780945a82fb037189e4fc2ae3f302dbf088af03bf2b,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,top_10_tickers_by_dataset.pdf,2872042302c543ed7c40a1691b89105a9447be6b817b6057e23f3a3ad48124ca,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,us50_factor_analysis.pdf,70f75a38357f47ac0ff7fc87cc3cdcc3a4f47e45bc49ba1c2ef1f598d92d318b,True,False,False,vector_or_raster_figure_without_raw_plot_data
v1,us_portfolio_performance_comparison.pdf,88d57abb6340b580f63abae8c548b29d27b38eb439ebd8778e1aa210f5b75653,True,False,False,vector_or_raster_figure_without_raw_plot_data
v2,factor_count_sweep.pdf,d2b5ae62f1a9b303db35c8c4924afb8f2f7e90ba7832d141181b3e63a5a08ff0,True,False,False,vector_or_raster_figure_without_raw_plot_data
v2,nasdaq_dual_analysis.pdf,6ea57637feb302b1ec9b065311b62f853b06c6cf552607e03a131bf9f98fa933,True,False,False,vector_or_raster_figure_without_raw_plot_data
v2,sparse_decay.pdf,b0e0da1b994d0779466fc09ac9787d814c3cbb3d0c9dc9f73ca7b46641a6d9f8,True,False,False,vector_or_raster_figure_without_raw_plot_data
