paper_version,sparsity,dataset,metric,paper_value,recomputed_value,recomputed_at_paper_precision,match_at_paper_precision,matlab_release,cw_sha256,weights_sha256,native_asmcvar_source_evidence,native_efs_evidence,paper_result_credit
v1,10,FF25,CW,638.190,973.230757216,973.231,False,2023b,becc3e34c8fde6934c5d9b32926919dd5f977cf0645e29a88fb780818ee2aa6d,98a530326330458b3acafa0061be8192526275201d050ca9d91ca544c6b07815,True,False,False
v1,10,FF25,SR,0.252,0.260984532254,0.261,False,2023b,becc3e34c8fde6934c5d9b32926919dd5f977cf0645e29a88fb780818ee2aa6d,98a530326330458b3acafa0061be8192526275201d050ca9d91ca544c6b07815,True,False,False
v1,10,FF25,MDD,0.481,0.607398336593,0.607,False,2023b,becc3e34c8fde6934c5d9b32926919dd5f977cf0645e29a88fb780818ee2aa6d,98a530326330458b3acafa0061be8192526275201d050ca9d91ca544c6b07815,True,False,False
v1,10,FF32,CW,670.400,1122.75581232,1122.756,False,2023b,08006c37827ab8cf41545da24dd50e9d5ab7887c152556cae080b18b50878f3e,4a431bc8cfb5178fd8e3caa3d16827c6032d08907fd641504e73f72b3df8a817,True,False,False
v1,10,FF32,SR,0.244,0.263843887108,0.264,False,2023b,08006c37827ab8cf41545da24dd50e9d5ab7887c152556cae080b18b50878f3e,4a431bc8cfb5178fd8e3caa3d16827c6032d08907fd641504e73f72b3df8a817,True,False,False
v1,10,FF32,MDD,0.452,0.496223022102,0.496,False,2023b,08006c37827ab8cf41545da24dd50e9d5ab7887c152556cae080b18b50878f3e,4a431bc8cfb5178fd8e3caa3d16827c6032d08907fd641504e73f72b3df8a817,True,False,False
v1,10,FF49,CW,409.180,758.658455326,758.658,False,2023b,4798c840ba832594c660c176cc00585b870f76fa151508e939e1863da5cac36f,c4228ed0b3e4f78d4d3f7b35f55a2b7f941727833f8310bc51688be9039e6897,True,False,False
v1,10,FF49,SR,0.224,0.233849719004,0.234,False,2023b,4798c840ba832594c660c176cc00585b870f76fa151508e939e1863da5cac36f,c4228ed0b3e4f78d4d3f7b35f55a2b7f941727833f8310bc51688be9039e6897,True,False,False
v1,10,FF49,MDD,0.471,0.518668278571,0.519,False,2023b,4798c840ba832594c660c176cc00585b870f76fa151508e939e1863da5cac36f,c4228ed0b3e4f78d4d3f7b35f55a2b7f941727833f8310bc51688be9039e6897,True,False,False
v1,10,FF100,CW,491.120,966.321078341,966.321,False,2023b,ffb2a173cc191c5b3412a7475a76d0facb2a6875d110535b4a1077a6f72e880d,ad16970ba6289b1ff8301689045ca25ce941030d6ec847412be0113fe2ab5dae,True,False,False
v1,10,FF100,SR,0.228,0.244622192615,0.245,False,2023b,ffb2a173cc191c5b3412a7475a76d0facb2a6875d110535b4a1077a6f72e880d,ad16970ba6289b1ff8301689045ca25ce941030d6ec847412be0113fe2ab5dae,True,False,False
