v2_row_index,dataset,metric,v1_value,v1_value_at_v2_precision,v2_value,same_at_v2_precision,method_semantics_relabelled,status,native_reproduction_credit
0,FF25,CW,374.13,374,374,True,False,rounded_v1_value_carried_into_v2,False
0,FF25,SR,0.229,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
0,FF25,MDD,0.548,0.55,0.55,True,False,rounded_v1_value_carried_into_v2,False
0,FF32,CW,452.84,453,453,True,False,rounded_v1_value_carried_into_v2,False
0,FF32,SR,0.225,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
0,FF32,MDD,0.541,0.54,0.54,True,False,rounded_v1_value_carried_into_v2,False
0,FF49,CW,254.67,255,255,True,False,rounded_v1_value_carried_into_v2,False
0,FF49,SR,0.207,0.21,0.21,True,False,rounded_v1_value_carried_into_v2,False
0,FF49,MDD,0.527,0.53,0.53,True,False,rounded_v1_value_carried_into_v2,False
0,FF100,CW,389.44,389,389,True,False,rounded_v1_value_carried_into_v2,False
0,FF100,SR,0.210,0.21,0.21,True,False,rounded_v1_value_carried_into_v2,False
0,FF100,MDD,0.549,0.55,0.55,True,False,rounded_v1_value_carried_into_v2,False
1,FF25,CW,76.70,77,77,True,False,rounded_v1_value_carried_into_v2,False
1,FF25,SR,0.140,0.14,0.14,True,False,rounded_v1_value_carried_into_v2,False
1,FF25,MDD,0.784,0.78,0.78,True,False,rounded_v1_value_carried_into_v2,False
1,FF32,CW,15.37,15,15,True,False,rounded_v1_value_carried_into_v2,False
1,FF32,SR,0.100,0.10,0.10,True,False,rounded_v1_value_carried_into_v2,False
1,FF32,MDD,0.733,0.73,0.73,True,False,rounded_v1_value_carried_into_v2,False
1,FF49,CW,62.27,62,62,True,False,rounded_v1_value_carried_into_v2,False
1,FF49,SR,0.114,0.11,0.11,True,False,rounded_v1_value_carried_into_v2,False
1,FF49,MDD,0.878,0.88,0.88,True,False,rounded_v1_value_carried_into_v2,False
1,FF100,CW,1.21,1,1,True,False,rounded_v1_value_carried_into_v2,False
1,FF100,SR,0.046,0.05,0.05,True,False,rounded_v1_value_carried_into_v2,False
1,FF100,MDD,0.823,0.82,0.82,True,False,rounded_v1_value_carried_into_v2,False
2,FF25,CW,386.71,387,387,True,False,rounded_v1_value_carried_into_v2,False
2,FF25,SR,0.239,0.24,0.24,True,False,rounded_v1_value_carried_into_v2,False
2,FF25,MDD,0.538,0.54,0.54,True,False,rounded_v1_value_carried_into_v2,False
2,FF32,CW,289.93,290,290,True,False,rounded_v1_value_carried_into_v2,False
2,FF32,SR,0.231,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
2,FF32,MDD,0.507,0.51,0.51,True,False,rounded_v1_value_carried_into_v2,False
2,FF49,CW,207.53,208,208,True,False,rounded_v1_value_carried_into_v2,False
2,FF49,SR,0.248,0.25,0.25,True,False,rounded_v1_value_carried_into_v2,False
2,FF49,MDD,0.411,0.41,0.41,True,False,rounded_v1_value_carried_into_v2,False
2,FF100,CW,155.70,156,156,True,False,rounded_v1_value_carried_into_v2,False
2,FF100,SR,0.203,0.20,0.20,True,False,rounded_v1_value_carried_into_v2,False
2,FF100,MDD,0.540,0.54,0.54,True,False,rounded_v1_value_carried_into_v2,False
3,FF25,CW,553.10,553,553,True,False,rounded_v1_value_carried_into_v2,False
3,FF25,SR,0.243,0.24,0.24,True,False,rounded_v1_value_carried_into_v2,False
3,FF25,MDD,0.582,0.58,0.58,True,False,rounded_v1_value_carried_into_v2,False
3,FF32,CW,718.62,719,719,True,False,rounded_v1_value_carried_into_v2,False
