dataset,sparsity,metric,paper_value,recomputed_value,recomputed_at_paper_precision,match_at_paper_precision,paper_location,original_asmcvar_paper_result_credit,native_efs_evidence
FF25,10,alpha,0.0022,0.00221411962238,0.0022,True,Table 3,True,False
FF25,10,p_value,0.0006,0.000637734854629,0.0006,True,Table 3,True,False
FF25EU,10,alpha,0.0027,0.00270918492758,0.0027,True,Table 3,True,False
FF25EU,10,p_value,0,2.83636464768e-08,0,True,Table 3,True,False
FF32,10,alpha,0.0027,0.00272611063209,0.0027,True,Table 3,True,False
FF32,10,p_value,0.0002,0.00017104533244,0.0002,True,Table 3,True,False
FF49,10,alpha,0.0029,0.00292287973486,0.0029,True,Table 3,True,False
FF49,10,p_value,0.0049,0.0048925532303,0.0049,True,Table 3,True,False
FF100,10,alpha,0.0023,0.00229737872861,0.0023,True,Table 3,True,False
FF100,10,p_value,0.0038,0.00378056345486,0.0038,True,Table 3,True,False
FF100MEOP,10,alpha,0.0020,0.0019761503646,0.0020,True,Table 3,True,False
FF100MEOP,10,p_value,0.0060,0.00603298489352,0.0060,True,Table 3,True,False
FF25,15,alpha,0.0019,0.00188471387028,0.0019,True,Table 3,True,False
FF25,15,p_value,0.0029,0.00286756012021,0.0029,True,Table 3,True,False
FF25EU,15,alpha,0.0027,0.00273540348653,0.0027,True,Table 3,True,False
FF25EU,15,p_value,0,2.05416396174e-08,0,True,Table 3,True,False
FF32,15,alpha,0.0025,0.00250012706102,0.0025,True,Table 3,True,False
FF32,15,p_value,0.0001,0.000146490824595,0.0001,True,Table 3,True,False
FF49,15,alpha,0.0024,0.00240823765794,0.0024,True,Table 3,True,False
FF49,15,p_value,0.0112,0.0111586265925,0.0112,True,Table 3,True,False
FF100,15,alpha,0.0025,0.00250500107442,0.0025,True,Table 3,True,False
FF100,15,p_value,0.0012,0.00121649782837,0.0012,True,Table 3,True,False
FF100MEOP,15,alpha,0.0017,0.0016619624752,0.0017,True,Table 3,True,False
FF100MEOP,15,p_value,0.0109,0.0109060836083,0.0109,True,Table 3,True,False
FF25,20,alpha,0.0019,0.00188761631974,0.0019,True,Table 3,True,False
FF25,20,p_value,0.0017,0.00171023270827,0.0017,True,Table 3,True,False
FF25EU,20,alpha,0.0025,0.00247030878816,0.0025,True,Table 3,True,False
FF25EU,20,p_value,0,1.21382421912e-07,0,True,Table 3,True,False
FF32,20,alpha,0.0024,0.00239448554603,0.0024,True,Table 3,True,False
FF32,20,p_value,0.0001,0.000145063813271,0.0001,True,Table 3,True,False
FF49,20,alpha,0.0023,0.00234391507449,0.0023,True,Table 3,True,False
FF49,20,p_value,0.0098,0.00977958800785,0.0098,True,Table 3,True,False
FF100,20,alpha,0.0024,0.00237204273327,0.0024,True,Table 3,True,False
FF100,20,p_value,0.0010,0.00102207453541,0.0010,True,Table 3,True,False
FF100MEOP,20,alpha,0.0016,0.00160877323848,0.0016,True,Table 3,True,False
FF100MEOP,20,p_value,0.0114,0.0113617682366,0.0114,True,Table 3,True,False
