month,candidate_excess_return
2022-04-30,-0.032168173809413655
2022-05-31,0.008479410592025527
2022-06-30,-0.0322907310200005
2022-07-31,0.03648949477103177
2022-08-31,-0.013996470631236773
2022-09-30,-0.02030713006175667
2022-10-31,0.02706991974566325
2022-11-30,0.024904268466851846
2022-12-31,-0.03003633933139826
2023-01-31,0.030399976830922628
2023-02-28,-0.004378014605218284
2023-03-31,0.017731766059347422
2023-04-30,-0.009293314338291257
2023-05-31,0.024670337975703706
2023-06-30,0.01695414262853299
2023-07-31,0.011795271814805443
2023-08-31,-0.0049176895752329345
2023-09-30,-0.01796395495243591
2023-10-31,-0.0034747288124915643
2023-11-30,0.03869446346702263
2023-12-31,0.016921476392989132
2024-01-31,0.0035608162577372075
2024-02-29,0.013111940710305275
2024-03-31,-0.005082227224321515
2024-04-30,-0.02168701835494768
2024-05-31,0.011560940418589377
2024-06-30,0.022619485503320942
2024-07-31,-0.015109816652697092
2024-08-31,0.006043751178879736
2024-09-30,0.00860960485693175
2024-10-31,-0.014223021972959963
2024-11-30,0.03355212333291682
2024-12-31,-0.012951019667344273
2025-01-31,0.010527168369181852
2025-02-28,-0.004258957649963241
2025-03-31,-0.020482093018031472
