paper_version,table_family,paper_table,asset,method,metric,paper_value,official_tex_value_verified,author_rendered_correspondence,author_rendered_evidence_sha256,author_correspondence_status,independently_regenerated_from_native_result_path,paper_result_credit
v1,original_4h,4h_performance_v1_v2,BTC,Baseline,accuracy_pct,44.3,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,BTC,Baseline,rcc,-0.259,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,BTC,Baseline,rmax,1.115,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,BTC,Baseline,rmin,-1.366,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,BTC,Baseline,rsim,-0.277,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,BTC,Our,accuracy_pct,50.7,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,BTC,Our,delta_accuracy_pct,14.5,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,BTC,Our,rcc,0.081,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,BTC,Our,rmax,1.232,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,BTC,Our,rmin,-1.249,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,BTC,Our,rsim,0.004,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,CL,Baseline,accuracy_pct,49.0,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,CL,Baseline,rcc,-0.312,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,CL,Baseline,rmax,0.999,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,CL,Baseline,rmin,-1.384,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,CL,Baseline,rsim,-0.255,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,CL,Our,accuracy_pct,57.7,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,CL,Our,delta_accuracy_pct,17.8,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,CL,Our,rcc,-0.195,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,CL,Our,rmax,1.181,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
