commit,commit_date,subject,public_branch_membership,tree_path_count,benchmark_csv_path_count,author_rendered_result_path_count,native_result_artifact_candidate_count,native_result_artifact_candidate_paths,paper_result_credit
7fdfa1a6907221ffe32bdb6019e1df5cf5d48de7,2025-07-09T21:48:16-04:00,Initial Commit,main,15,0,0,0,,False
c8ad9f8df3153da38350594b5b0a7f380b700c39,2025-07-09T21:52:42-04:00,"remove system structure, update ta-lib installation info",main,15,0,0,0,,False
e72e6ce1c8fb28fdde4d0ffd8c742b2303633175,2025-07-09T21:56:34-04:00,Create LICENSE,main,16,0,0,0,,False
b5d42af2a5ee18ed816e7d0e6f50edbba163f6d3,2025-07-10T13:34:17-04:00,Update index & readme,main,15,0,0,0,,False
3065e83e21a9c2862f98076921ddbcafcf7064ee,2025-07-10T13:34:35-04:00,Merge branch 'main' of https://github.com/Y-Research-SBU/QuantAgent,main,16,0,0,0,,False
9b10bf0a93aaa062a7e9d821fa4c43330e289c23,2025-07-10T13:43:56-04:00,"update index page, functioning webpage before modifying asset choices",main,16,0,0,0,,False
7e459f81f878a029a449db09e201f59fae26b652,2025-07-10T14:40:08-04:00,working asset choices & video uploaded,main,16,0,0,0,,False
aaf30e34ff037fb4e4a13ba2e779b19d5639694f,2025-07-11T19:55:27-04:00,add image and update readme,main,20,0,0,0,,False
21672fa35f962a52c3354ecfd7dd6459c6fc115b,2025-07-11T19:58:17-04:00,replace video with gif,main,19,0,0,0,,False
02013a5c79e6f4fc973cdb8a8748d83e8a17c06d,2025-07-17T20:53:36-04:00,benchmarket added,main,1019,1000,0,0,,False
32f57181b948f2cf880560a70b94f078f2b2851d,2025-07-17T20:56:03-04:00,update on benchmark,main,819,800,0,0,,False
92da864121a8a796729d2b11351f4b226723e48b,2025-07-21T22:27:40-07:00,Update README.md,main,819,800,0,0,,False
41af60985c0e2a838618836fc1b5b8e9c7dd8fa0,2025-07-21T22:54:50-07:00,Update README.md,main,819,800,0,0,,False
7d02c94766801ca3c76511d5324759c678918a8f,2025-07-21T22:59:41-07:00,Update README.md,main,819,800,0,0,,False
64b6f166e4f4980f4c5c0d43da95cf64dd38377b,2025-07-21T23:24:39-07:00,Update README.md,main,819,800,0,0,,False
