paper_version,submission_date,pdf_url,pdf_sha256,pdf_pages,source_archive_sha256,source_files,main_tex_sha256,line_chart_pdf_sha256,source_archive_files,table_family,numeric_result_cells,author_rendered_correspondence_cells,native_result_cells_independently_regenerated
v1,2025-09-12T06:35:40Z,https://arxiv.org/pdf/2509.09995v1,b96e189d0c602fc8ac7dbd6b0510298183b335a95ba922d3b031e04447456d1e,30,03acd99b96e156e0513f0c0d525dd1e7de1ae475e21988bf050632610d64b76e,26,bc2c64e71978eadb21d6464a2cab6e5dc559d88737067a7b2e91a12a10a1e3c5,,26,original_random_baseline_and_our_4h_table,88,88,0
v2,2025-09-15T17:08:33Z,https://arxiv.org/pdf/2509.09995v2,4556c01ab0321a772bce7eda82cfc5be24ea1c5a79886b0e933032863d814a32,30,74f1b14a69b4fc6d9c6c717aa1a6b44c76191c85d8f87f7e4db9f5f380b67314,26,52a0951a9e105807c56e3caae59be50b4385063d73e0159e49d13846974ba080,,26,original_random_baseline_and_our_4h_table,88,88,0
v3,2025-09-27T00:22:39Z,https://arxiv.org/pdf/2509.09995v3,05652d9dd2887c86bf470fdb424c49e5bb12ca1e839510968eb43fb6a4b55760,30,87ad00c83c44c7ec0dd4c19d48c135c5f2246cd6127e8e0902d57a299fdcf278,28,8e447369a7812f168101374abcb74b410fc8de5c65071d84629904ca34d7bcc9,c32553f49ca7caf4ebc80637ee9531c8ee9a43fb2accaf4bf3c1eadc7cd12484,28,expanded_random_lr_xgboost_and_our_4h_table,152,152,0
v4,2026-07-27T02:15:11Z,https://arxiv.org/pdf/2509.09995v4,751e6e7274bbf1fd5179153a28d2d29817c704b5d9b714b04ba57bd739cafda2,32,fde8052adb8199923382c9b1a997107c76aa908f7cf1f1b97934a97359131085,12,e9ecc6ca1f61e221361c8f01aa513a4992f1344442d3bf2967d3b3d16ddc6b15,d1f9304372516c26b76839267c32fc3619d745491516da1aa5ba2dc568a40baf,12,v3_4h_table_plus_portfolio_performance_table,272,152,0
