formation_month,pretraining_start,pretraining_end,pretraining_months,pretraining_observations,hybrid_feature_count,stock_report_coverage,finite_scores,coefficient_norm
1999-07-31,1989-07-31,1999-06-30,120,88104,23,949,718,0.36847007681774163
1999-08-31,1989-08-31,1999-07-31,120,88130,23,942,714,0.4325471621965463
1999-09-30,1989-09-30,1999-08-31,120,88162,23,936,713,0.4023754341020248
1999-10-31,1989-10-31,1999-09-30,120,88181,23,916,696,0.3740090930293153
1999-11-30,1989-11-30,1999-10-31,120,88181,23,912,680,0.3881968536677515
1999-12-31,1989-12-31,1999-11-30,120,88162,23,913,677,0.43895958819784214
2000-01-31,1990-01-31,1999-12-31,120,88132,23,922,671,0.3912219591105811
2000-02-29,1990-02-28,2000-01-31,120,88089,23,920,653,0.5680098005692977
2000-03-31,1990-03-31,2000-02-29,120,88014,23,939,668,0.4399500491789956
2000-04-30,1990-04-30,2000-03-31,120,87962,23,955,696,0.41373550418073685
2000-05-31,1990-05-31,2000-04-30,120,87919,23,965,701,0.40428779925019465
2000-06-30,1990-06-30,2000-05-31,120,87873,23,943,680,0.390577378606063
2000-07-31,1990-07-31,2000-06-30,120,87805,23,949,684,0.3588863726149095
2000-08-31,1990-08-31,2000-07-31,120,87733,23,950,677,0.36118631150618974
2000-09-30,1990-09-30,2000-08-31,120,87653,23,953,683,0.36033061438342023
2000-10-31,1990-10-31,2000-09-30,120,87571,23,965,701,0.3421525639833193
2000-11-30,1990-11-30,2000-10-31,120,87519,23,971,720,0.23645837404217745
2000-12-31,1990-12-31,2000-11-30,120,87477,23,977,714,0.30185811099771487
2001-01-31,1991-01-31,2000-12-31,120,87427,23,979,714,0.3059698166235989
2001-02-28,1991-02-28,2001-01-31,120,87378,23,979,733,0.29030671674264186
2001-03-31,1991-03-31,2001-02-28,120,87343,23,981,747,0.19742704642146586
2001-04-30,1991-04-30,2001-03-31,120,87322,23,985,754,0.2596366590580234
2001-05-31,1991-05-31,2001-04-30,120,87310,23,985,751,0.25420203427169186
2001-06-30,1991-06-30,2001-05-31,120,87307,23,981,740,0.24888048492611084
2001-07-31,1991-07-31,2001-06-30,120,87279,23,982,750,0.2333447465937932
2001-08-31,1991-08-31,2001-07-31,120,87273,23,977,756,0.20815050967932436
2001-09-30,1991-09-30,2001-08-31,120,87271,23,984,769,0.14544465672917609
2001-10-31,1991-10-31,2001-09-30,120,87287,23,980,759,0.1557397493072535
2001-11-30,1991-11-30,2001-10-31,120,87304,23,983,764,0.17106720244363963
2001-12-31,1991-12-31,2001-11-30,120,87315,23,979,758,0.16089648197340234
2002-01-31,1992-01-31,2001-12-31,120,87319,23,983,769,0.15917645502425382
2002-02-28,1992-02-29,2002-01-31,120,87334,23,990,785,0.1546376775661829
2002-03-31,1992-03-31,2002-02-28,120,87379,23,988,785,0.18523520573130545
2002-04-30,1992-04-30,2002-03-31,120,87434,23,987,785,0.17560599266196592
2002-05-31,1992-05-31,2002-04-30,120,87482,23,990,789,0.16260285437969063
2002-06-30,1992-06-30,2002-05-31,120,87533,23,990,788,0.1502188800739441
2002-07-31,1992-07-31,2002-06-30,120,87589,23,990,798,0.1425370587199503
2002-08-31,1992-08-31,2002-07-31,120,87651,23,992,795,0.14295887364707832
2002-09-30,1992-09-30,2002-08-31,120,87711,23,995,797,0.1450816465490014
2002-10-31,1992-10-31,2002-09-30,120,87771,23,991,801,0.13550721996211842
2002-11-30,1992-11-30,2002-10-31,120,87839,23,989,801,0.13603804571341777
2002-12-31,1992-12-31,2002-11-30,120,87897,23,992,802,0.14197520820338883
2003-01-31,1993-01-31,2002-12-31,120,87968,23,986,788,0.14271654586532093
2003-02-28,1993-02-28,2003-01-31,120,88022,23,989,790,0.14311078491690776
2003-03-31,1993-03-31,2003-02-28,120,88072,23,988,798,0.1420862752445924
2003-04-30,1993-04-30,2003-03-31,120,88144,23,993,793,0.145872640363634
2003-05-31,1993-05-31,2003-04-30,120,88202,23,994,797,0.14762114484770153
2003-06-30,1993-06-30,2003-05-31,120,88267,23,991,793,0.14599411329273887
2003-07-31,1993-07-31,2003-06-30,120,88337,23,995,793,0.14770505729822317
2003-08-31,1993-08-31,2003-07-31,120,88414,23,992,796,0.14710181603927214
2003-09-30,1993-09-30,2003-08-31,120,88489,23,991,793,0.1496312107208461
2003-10-31,1993-10-31,2003-09-30,120,88566,23,988,798,0.15772418052612147
2003-11-30,1993-11-30,2003-10-31,120,88649,23,986,796,0.1596579410889453
2003-12-31,1993-12-31,2003-11-30,120,88726,23,984,790,0.1517358783423421
2004-01-31,1994-01-31,2003-12-31,120,88797,23,984,793,0.15068683961783194
2004-02-29,1994-02-28,2004-01-31,120,88868,23,982,785,0.1485192533800203
2004-03-31,1994-03-31,2004-02-29,120,88929,23,988,792,0.15864503521087311
2004-04-30,1994-04-30,2004-03-31,120,88999,23,982,796,0.15989855702584657
2004-05-31,1994-05-31,2004-04-30,120,89071,23,986,799,0.1659583457735149
2004-06-30,1994-06-30,2004-05-31,120,89141,23,986,799,0.18252811458751317
2004-07-31,1994-07-31,2004-06-30,120,89223,23,981,803,0.18226949956375835
2004-08-31,1994-08-31,2004-07-31,120,89313,23,980,796,0.16362751900451694
2004-09-30,1994-09-30,2004-08-31,120,89401,23,983,800,0.16986464304813026
2004-10-31,1994-10-31,2004-09-30,120,89490,23,982,800,0.16730256268068933
2004-11-30,1994-11-30,2004-10-31,120,89566,23,979,804,0.17633185909611437
2004-12-31,1994-12-31,2004-11-30,120,89645,23,980,804,0.1745541449786332
2005-01-31,1995-01-31,2004-12-31,120,89727,23,985,810,0.18762463143965394
2005-02-28,1995-02-28,2005-01-31,120,89817,23,988,810,0.18416543601404
2005-03-31,1995-03-31,2005-02-28,120,89900,23,983,811,0.1797984920738949
2005-04-30,1995-04-30,2005-03-31,120,89985,23,987,814,0.16672207160566968
2005-05-31,1995-05-31,2005-04-30,120,90057,23,989,817,0.18004230892516357
2005-06-30,1995-06-30,2005-05-31,120,90128,23,990,817,0.17607996021450512
2005-07-31,1995-07-31,2005-06-30,120,90193,23,988,813,0.16988976848586368
2005-08-31,1995-08-31,2005-07-31,120,90251,23,984,811,0.17043259193670296
2005-09-30,1995-09-30,2005-08-31,120,90321,23,989,813,0.17288729299406083
