feature
report__ret_1_0
report__ret_6_1
report__turnover_126d
report__rmax5_21d
report__gp_at
macro__market_return
macro__market_volatility
macro__positive_breadth
manual__be_me
manual__f_score
manual__o_score
manual__beta_60m
manual__rvol_21d
manual__ocf_at
asset__market_equity
asset__be_me
asset__gp_at
interaction__report_market_return
interaction__report_market_volatility
interaction__report_positive_breadth
interaction__asset_manual_1
interaction__asset_manual_2
interaction__asset_manual_3
