path,bytes,sha256,role,is_executable_system_source
1.jpg,578501,7adb7d63a81835c10e33306b11331d34891a40f193974886083fde0555fcbb10,unused_or_commented_development_asset_not_system_code,False
ACM-Reference-Format.bst,90333,01c611b57638307950ef1ea6468e0dd221314c3c6d4836e9de8e38cbf8bafbf9,publisher_template_or_typesetting_support,False
README.txt,13797,efae69615cea4d4b5703795b54408241346d802f0a01b035a3ff90de5ee9c084,publisher_template_or_typesetting_support,False
acmart.cls,119402,9f15b74686b1ff4b4e4ed191851c9dddd865ee819b5b9b5d258d9a9fddfc6e4d,publisher_template_or_typesetting_support,False
acmauthoryear.bbx,20721,555a33a0485d23250b7fb340dd8781b8afc91a9c71faa2a744705dd1d5d2a6e8,publisher_template_or_typesetting_support,False
acmauthoryear.cbx,6245,cb22394f982fcaf8ed7f0df34234696f45fc130afcf9ee3cd1260805ad2170d1,publisher_template_or_typesetting_support,False
acmdatamodel.dbx,1093,a5bab6fed4585780632607ef2790ee8797864244a4b80bc0c4e3bfcb76b0c2bc,publisher_template_or_typesetting_support,False
acmnumeric.bbx,19840,bbf30642de2ea8b16f2d7056f9114af7e1d29efb2293848e61197ccd9e897943,publisher_template_or_typesetting_support,False
acmnumeric.cbx,90,22db9dd1bcb095d8af106e6a834f0ce1f182c73eee656589043c0153f226d911,publisher_template_or_typesetting_support,False
acmtrade.bbl,21392,f16d9e9f379c3a71c9570e957e15dfd38a5409c189d567aa5bee5f0928ce7ce9,bibliography_source_or_rendered_bibliography,False
acmtrade.bib,73064,4866314888c54afdde8b38cc3ae5140f0a9832e4f4257472dfa6efc696ca2020,bibliography_source_or_rendered_bibliography,False
acmtrade.tex,90192,7539809fce8e5556ed86a42fc533b4db9c6198f74e7b2516ce00ccd5b4a74016,primary_manuscript_source,False
fig11.png,26664,b2222c34ccb27b68fbf6beb6980d9d224734181b33d6ace2a440d0d318c23fd8,unused_or_commented_development_asset_not_system_code,False
fig2-pred.png,198403,ed83f49d40357356132d1bba20c3188aa92b80acd1ddf0fc8e09c8b7b4bf49bb,unused_or_commented_development_asset_not_system_code,False
fig22.png,9223,4c6085e953f51d349a8580717968f95f40bb27423e4d2ad6f8d047482fd6b7f4,unused_or_commented_development_asset_not_system_code,False
fig33.png,28816,30935048ef8d9bf8d160a480371985d0cdde387d72105863b30be23d7f79fc2e,unused_or_commented_development_asset_not_system_code,False
fig44.png,24560,777f299026b06b2b8e0a73bec5a53fcc9087e11c41ee19bb99207b7f36b8359f,unused_or_commented_development_asset_not_system_code,False
framework.png,189208,37334fa8877a2895feb1f8cc46116954e38952558efea741b9117be676caf64d,published_figure_used_by_active_manuscript,False
result.png,261858,f1616290a508fbe395d602858f17540b532697c0d221cec7f05abe9476a62533,unused_or_commented_development_asset_not_system_code,False
tast2.jpg,547243,ab3089e60c96749760b754f4d13a61bcf41da31299eecf6f7008d9c161e58f24,unused_or_commented_development_asset_not_system_code,False
tst.jpg,744564,74238b89a7dce9baeded69292fe924446b745af3575f09c90ca04deb845de71d,unused_or_commented_development_asset_not_system_code,False
ttt.png,456699,29e4db242c650286a7894251aff9b8b5ae3a6170652bb4a760792d1b0fb017f9,unused_or_commented_development_asset_not_system_code,False
