missing_return_policy,formation_month,month,gross_return,total_security_return,traded_notional,n_holdings,missing_forward_gross_weight,path_status
zero,1999-07-31,1999-08-31,-0.03630249999999998,-0.03242649999999999,1.0,10,0.0,ok
zero,1999-08-31,1999-09-30,-0.08912579999999995,-0.08542079999999995,0.6319625330788824,10,0.0,ok
zero,1999-09-30,1999-10-31,0.14015929999999996,0.14374029999999996,0.8126574494587239,10,0.0,ok
zero,1999-10-31,1999-11-30,-0.01645266428799998,-0.01264166428799998,1.4134045464691591,10,0.0,ok
zero,1999-11-30,1999-12-31,-0.041518199999999984,-0.03775419999999998,0.6518493303980497,10,0.0,ok
zero,1999-12-31,2000-01-31,-0.03257749999999998,-0.028234499999999982,0.22028745669765462,10,0.0,ok
zero,2000-01-31,2000-02-29,-0.09473119999999999,-0.09043619999999998,0.6749720997504028,10,0.0,ok
zero,2000-02-29,2000-03-31,0.1615331,0.1659101,0.8186693006032123,10,0.0,ok
zero,2000-03-31,2000-04-30,0.017678099999999954,0.02181359999999995,1.0600211457126927,10,0.1,ok
zero,2000-04-30,2000-05-31,0.043025199999999986,0.04780719999999998,0.8639572227263368,10,0.0,ok
zero,2000-05-31,2000-06-30,-0.024451631955199962,-0.020707631955199958,0.8258766307389375,10,0.0,ok
zero,2000-06-30,2000-07-31,0.01347319999999998,0.018245199999999972,1.2354325449264532,10,0.0,ok
zero,2000-07-31,2000-08-31,0.0431791,0.0481811,0.4052214142526771,10,0.0,ok
zero,2000-08-31,2000-09-30,0.011024599999999982,0.016117599999999982,0.4437396743749721,10,0.0,ok
zero,2000-09-30,2000-10-31,0.03663350000000003,0.04185050000000003,0.6281426480556975,10,0.0,ok
zero,2000-10-31,2000-11-30,0.0441905,0.04915650000000001,0.8415438683381158,10,0.0,ok
zero,2000-11-30,2000-12-31,0.040253299999999985,0.04516229999999998,0.6107801838905826,10,0.0,ok
zero,2000-12-31,2001-01-31,-0.04351179999999994,-0.038268799999999964,0.6121792758885392,10,0.0,ok
zero,2001-01-31,2001-02-28,0.01083260000000001,0.014485600000000012,0.4271118998738942,10,0.0,ok
zero,2001-02-28,2001-03-31,-0.07401806819039998,-0.06969806819039999,0.4215367078645572,10,0.0,ok
zero,2001-03-31,2001-04-30,0.041312599999999984,0.04479019999999997,0.21020911465515893,10,0.1,ok
zero,2001-04-30,2001-05-31,0.0167176,0.01990059999999999,0.6292799453899931,10,0.0,ok
