case,primary,missing_return_policy,cost_bps_one_way,full_months,full_arithmetic_annualized_return,full_cagr,full_cumulative_return,full_annualized_volatility,full_annualized_sharpe,full_maximum_drawdown,evaluation_months,evaluation_arithmetic_annualized_return,evaluation_cagr,evaluation_cumulative_return,evaluation_annualized_volatility,evaluation_annualized_sharpe,evaluation_maximum_drawdown,evaluation_start,evaluation_end,jkp_residual_mean_annualized,jkp_residual_se_annualized,jkp_residual_t_hac,jkp_residual_p_two_sided,jkp_residual_ci_low_annualized,jkp_residual_ci_high_annualized,exploratory_bonferroni69_p,hac_lags,average_traded_notional,annualized_linear_cost_drag,minimum_finite_signal_count,maximum_missing_forward_gross_weight
zero_cost_0,False,zero,0.0,305,0.0050710335748706155,-0.01158106666016634,-0.25626451749684154,0.18391446224391014,0.027572783091659937,-0.6627021050790328,185,0.010478886538749572,-0.0007478576986724716,-0.01146752707975296,0.15114159163963256,0.06933158785130712,-0.5375333556692781,2009-08-31,2024-12-31,0.04016535669672208,0.037635937906096234,1.0672075396908371,0.285878128648007,-0.03359972612361237,0.11393043951705652,1.0,4,0.4634133710875391,0.0,1000,0.0529831862442856
zero_cost_5,False,zero,5.0,305,0.002290553348345382,-0.014333766798742653,-0.30715765979388887,0.18391481857268271,0.012454425185103613,-0.6781781009153015,185,0.007958037090752868,-0.0032718094274827303,-0.049268025358525036,0.15117658013366675,0.052640674128999074,-0.5497812110793289,2009-08-31,2024-12-31,0.038044502190012874,0.03760071559634045,1.01180261031297,0.3116324416564549,-0.035651546171747914,0.11174055055177366,1.0,4,0.4634133710875391,0.002780480226525235,1000,0.0529831862442856
zero_cost_10,True,zero,10.0,305,-0.000489926878179851,-0.01707966070403577,-0.3545825821645824,0.1839163967085515,-0.0026638564420997644,-0.6929476476921295,185,0.0054371876427561725,-0.005790099286317352,-0.08563318283457988,0.15121275143954127,0.03595720328473818,-0.5617076494792419,2009-08-31,2024-12-31,0.03840466074241136,0.03733055654244378,1.0287727882852846,0.30358645664176753,-0.034761885603614526,0.11157120708843725,1.0,4,0.4634133710875391,0.00556096045305047,1000,0.0529831862442856
zero_cost_25,False,zero,25.0,305,-0.008831367557755562,-0.025276653615828093,-0.4783232940033205,0.18392846152249198,-0.0480152309471452,-0.7333312389635662,185,-0.0021253607012339127,-0.013311109902558904,-0.18664775121062016,0.15132835360787208,-0.014044695858789489,-0.5956409679859156,2009-08-31,2024-12-31,0.031680740297542614,0.03734607326205306,0.8483017766082805,0.39626992843475417,-0.04151621826007567,0.1048776988551609,1.0,4,0.4634133710875391,0.013902401132626172,1000,0.0529831862442856
zero_cost_50,False,zero,50.0,305,-0.02273376869038174,-0.038803566434819525,-0.634285513092594,0.1839729979658793,-0.12357122480875196,-0.7922049574231691,185,-0.014729607941217403,-0.02573393502535537,-0.330969434786072,0.15154459566205994,-0.09719652407839077,-0.6465072011361352,2009-08-31,2024-12-31,0.02091300007508234,0.037224885932552354,0.5618015892103614,0.5742512092144372,-0.052046435681331986,0.09387243583149667,1.0,4,0.4634133710875391,0.027804802265252344,1000,0.0529831862442856
adverse_100_cost_10,False,adverse_100,10.0,305,-0.05711585930345297,-0.07169622511092799,-0.8490648256552956,0.1849458952519315,-0.3088246928954562,-0.9144933309642369,185,-0.03388480148982959,-0.04430082698043647,-0.5026997731210301,0.1515748088773009,-0.22355166891392342,-0.7366574149829082,2009-08-31,2024-12-31,-0.012400915540506353,0.03803120425030037,-0.3260721237984046,0.7443697873839139,-0.0869407061597817,0.06213887507876899,1.0,4,0.4634133710875391,0.00556096045305047,1000,0.0529831862442856
