source_id,commit,path,bytes,sha256,file_kind,paper_table_result_generator,paper_result_array,fitted_paper_model,paper_result_credit
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,.DS_Store,6148,e0a277177a020e4bb9ab0491f9794e36000af2c0e4853834c4cd098cf836228a,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,.env.development,52,214dffd81b9822226d0b51a7db3cc3ef43812b560260a357c03b72815d1c2f31,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,.env.production,54,1b77b7c7583b9958356bd86b4d60838f1fe7855373ce9ed4369c4b034b4b0508,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,.idea/.gitignore,47,a9e54fc4f08bc97d82c04bd86ff37d3af84ba9ef4ad87fcfcb438dab622e8aaa,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,.idea/inspectionProfiles/Project_Default.xml,2881,befe5123381e4342a77c8fb1c4fdc6f70cd26169ee68d9d361bbff542dce559d,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,.idea/inspectionProfiles/profiles_settings.xml,174,6172c5997eeb3cd19c9ca2b5b97d6e2983cdd1fa60b2460d7bbb74055edcaa46,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,.idea/misc.xml,185,5eb9547585a25ddc91b270e72b59e4b7aabf5fe87ad4996a7df15bac08923bd9,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,.idea/modules.xml,282,7a45b91de71495c22405909ebff70ffb325132d50ad628e2e6a30b7d0ed432a5,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,.idea/mountainlion-ai.iml,284,c81735b4bf0304f3c9a8c3d6dfd82d231a627b049c64aabb4a1d7d25a201cc3d,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,.idea/vcs.xml,180,55768f1f84fb117f1d0fc383e180b5d0aa5e5e6584c8c4a2995c15b4237f0972,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,Frame .png,100610,db4ba55f1cb3ca8f00d22c8b4d27f0c9c0fdfacc1d6f042556db947b17e9aad7,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,LICENSE,1071,763f81a5b70b9c45d4812fdaecd25d8f938747ea075380e7a33d17d2e0996b76,documentation_or_configuration,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,README.md,6919,d1d8325aa22daeff285b9ea20a20cfb9fa6b6c9c3d0660282376286acf19dc0f,documentation_or_configuration,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,index.html,8171,8d0bb64156e28f54970d1097bef99ccc14f3195414e3aed3d60dbb0ee718e64e,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,package-lock.json,469955,87e6fb4a0a34273d5fa6c2d692298e34d8097c9cc5322a3bc36fa6afa79d2b16,environment_or_dependency_manifest,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,package.json,1094,dad2ee1621b6131328edf03d2d963015ae0fa4c6380cd04c99580b25703d40a4,environment_or_dependency_manifest,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,public/fav.svg,139994,c417a448c4115a0c236c1376711b28efa1192f542e593c34ecb5727b69c8f3fc,asset_or_other,False,False,False,False
frontend,f7819f3537808d398f6c3da37e43b51ecebdbd42,public/see.js,5796,f4c0c3ed0031b88a5e65612cfafe1ce260c4c559c434d64b60ae755c744a185f,source_code,False,False,False,False
