canonical_work_id,paper_version,paper_table,token,metric,paper_value_display,cell_kind,paper_evaluation_text,primary_source_value_verified,native_reproduced_value,absolute_difference,status,paper_result_credit
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,ADA,Alpha,1,configuration,"Excellent fit, highly stable",True,,,paper_configuration_only_semantics_ambiguous,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,ADA,CV Score (Best),-0.000496,direct_result,"Excellent fit, highly stable",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,ADA,MSE (Test),0.000396,direct_result,"Excellent fit, highly stable",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,BTC,Alpha,1,configuration,"Large error, unstable trend",True,,,paper_configuration_only_semantics_ambiguous,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,BTC,CV Score (Best),"-1,997,859.43",direct_result,"Large error, unstable trend",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,BTC,MSE (Test),"3,211,419.56",direct_result,"Large error, unstable trend",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,ARB,Alpha,1,configuration,Very good,True,,,paper_configuration_only_semantics_ambiguous,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,ARB,CV Score (Best),-0.000421,direct_result,Very good,True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,ARB,MSE (Test),0.000199,direct_result,Very good,True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,SOL,Alpha,1,configuration,"Good model, potentially high volatility",True,,,paper_configuration_only_semantics_ambiguous,False
