paper_version,paper_url,paper_sha256,pages,source_archive_url,source_archive_sha256,source_files,experiment_scope,same_experiment_as_prior_row,paper_result_units_reproduced
2502.00415v1,https://arxiv.org/pdf/2502.00415v1,0e83d5f656da54fed88f95a8c2a1bce186a5e786fb7f05c1d73579154d450ed3,25,https://export.arxiv.org/e-print/2502.00415v1,5e79627752d1b87794f477a08b1808d2ff337333f0d83fac4965e01043cd403a,18,S&P100_2023_2024_and_S&P500_2024,False,0
2502.00415v2,https://arxiv.org/pdf/2502.00415v2,3755b957dc366d0e9117fffb2ae6ddc241e682498bcd7b4ce1c830119d99db65,10,https://export.arxiv.org/e-print/2502.00415v2,b1192cf20f1ca743f50724c2c955626d26aa1b6ec50b726a0b2882a6133e9f74,14,S&P100_2023_2024_and_S&P500_2024,True,0
2604.17327v1,https://arxiv.org/pdf/2604.17327v1,a9ba1f0627708d9a766ce12d258733753153bc905e84fc856e5a291c0f8805ad,22,https://export.arxiv.org/e-print/2604.17327v1,5670ddbb7f3db545e5d8aeeb6c9105da1818413fe8e1698ca6814f3ca89fd6f6,13,live_S&P500_19_month_and_S&P100_35_month_validation,False,0
