canonical_work_id,paper_version,paper_table,cohort,method_or_row,metric,paper_value,unit,cell_kind,primary_source_value_verified,native_reproduced_value,absolute_difference,status,paper_result_credit
CensusArxiv260417327,arXiv:2604.17327v1,Fixed-cohort design,S&P500,cohort_configuration,stocks,467,count,configuration,True,,,paper_configuration_only_no_native_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Fixed-cohort design,S&P500,cohort_configuration,dates,19,count,configuration,True,,,paper_configuration_only_no_native_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Fixed-cohort design,S&P500,cohort_configuration,observation_rows,8873,count,configuration,True,,,paper_configuration_only_no_native_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Fixed-cohort design,S&P100,cohort_configuration,stocks,94,count,configuration,True,,,paper_configuration_only_no_native_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Fixed-cohort design,S&P100,cohort_configuration,dates,35,count,configuration,True,,,paper_configuration_only_no_native_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Fixed-cohort design,S&P100,cohort_configuration,observation_rows,3290,count,configuration,True,,,paper_configuration_only_no_native_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P500,Strong sell,count,180,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P500,Strong sell,share,2.0,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P100,Strong sell,count,48,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P100,Strong sell,share,1.5,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P500,Sell,count,286,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P500,Sell,share,3.2,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P100,Sell,count,77,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P100,Sell,share,2.3,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P500,Hold,count,6992,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P500,Hold,share,78.8,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P100,Hold,count,2508,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P100,Hold,share,76.2,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P500,Buy,count,749,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P500,Buy,share,8.4,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P100,Buy,count,310,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P100,Buy,share,9.4,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P500,Strong buy,count,666,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P500,Strong buy,share,7.5,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P100,Strong buy,count,347,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P100,Strong buy,share,10.5,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P500,Total,count,8873,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P500,Total,share,100,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P100,Total,count,3290,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Signal class distribution,S&P100,Total,share,100,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P500,strong_buy_vs_null,avg_strong_buy_picks_per_month,35.1,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P100,strong_buy_vs_null,avg_strong_buy_picks_per_month,9.9,count,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P500,strong_buy_vs_null,mean_monthly_strong_buy_return,2.18,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P100,strong_buy_vs_null,mean_monthly_strong_buy_return,2.02,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P500,strong_buy_vs_null,mean_monthly_ew_benchmark,1.15,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P100,strong_buy_vs_null,mean_monthly_ew_benchmark,1.47,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P500,strong_buy_vs_null,mean_monthly_mc_null_median,1.15,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P100,strong_buy_vs_null,mean_monthly_mc_null_median,1.47,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P500,strong_buy_vs_null,mean_monthly_excess_vs_ew,1.02,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P100,strong_buy_vs_null,mean_monthly_excess_vs_ew,0.55,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P500,strong_buy_vs_null,mean_monthly_percentile_rank,99.7,percentile,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P100,strong_buy_vs_null,mean_monthly_percentile_rank,83.4,percentile,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P500,strong_buy_vs_null,mean_monthly_p_value,0.003,probability,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P100,strong_buy_vs_null,mean_monthly_p_value,0.166,probability,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P500,strong_buy_vs_null,compound_strong_buy_return,46.8,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P100,strong_buy_vs_null,compound_strong_buy_return,93.2,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P500,strong_buy_vs_null,compound_ew_benchmark,21.6,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P100,strong_buy_vs_null,compound_ew_benchmark,62.7,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,arXiv:2604.17327v1,Monte Carlo results,S&P500,strong_buy_vs_null,compound_mc_null_median,21.4,percent,direct_result,True,,,unavailable_no_native_result_inputs_or_pipeline,False
