paper_version,table_label,method,objective,reported_sharpe,reported_annual_return,reported_variance,implied_return_over_sqrt_variance,absolute_difference,within_0_002_tolerance,implied_interval_from_four_decimal_rounding_low,implied_interval_from_four_decimal_rounding_high,rounding_interval_consistent
v1,tab:baseline 5,NW,GMV,0.4506,0.0769,0.0291,0.4507957835738623,0.00019578357386229595,True,0.4501161466272294,0.45147692228919584,True
v1,tab:baseline 5,NW,MV,0.4742,0.0792,0.0279,0.4741579973506858,4.200264931419895e-05,True,0.47343462050494944,0.474883052786744,True
v1,tab:baseline 5,NW,MSR,0.4769,0.0798,0.028,0.47689621512442304,3.7848755769509523e-06,True,0.47617244363615935,0.4776216607368315,True
v1,tab:baseline 5,Residual NW,GMV,0.0464,0.0066,0.0201,0.04655281064666749,0.0001528106466674936,True,0.04614278196580072,0.046963932677838834,True
v1,tab:baseline 5,Residual NW,MV,0.0651,0.0089,0.0187,0.06508324574731462,1.6754252685380333e-05,True,0.0646312617856096,0.06553655632147001,True
v1,tab:baseline 5,Residual NW,MSR,-0.103,-0.0213,0.0428,-0.10295743608336316,4.2563916636831345e-05,True,-0.10325945293232501,-0.10265580695922859,True
v1,tab:baseline 5,Deep learning,GMV,-0.1179,-0.0377,0.1024,-0.11781249999999999,8.750000000001812e-05,True,-0.11799756151587713,-0.11762753584459983,True
v1,tab:baseline 5,Deep learning,MV,-0.0325,-0.0115,0.1253,-0.032487949758167656,1.2050241832345376e-05,True,-0.032635713878499444,-0.032340245883254966,True
v1,tab:baseline 5,Deep learning,MSR,-0.4972,-0.5752,1.3381,-0.49724977126920583,4.977126920585606e-05,True,-0.4973022866339139,-0.4971972580403398,True
v1,tab:baseline 5,POET,GMV,0.2961,0.0411,0.0193,0.2958442735577134,0.0002557264422865524,True,0.29510235600007645,0.29658861271937803,True
v1,tab:baseline 5,POET,MV,0.3538,0.0477,0.0182,0.3535759240473453,0.00022407595265472313,True,0.35272112465915884,0.3544337430845356,True
v1,tab:baseline 5,POET,MSR,0.4262,0.0571,0.018,0.42559827171745995,0.0006017282825400705,True,0.4246362301757109,0.42656381144767636,True
v1,tab:baseline 5,NLS,GMV,0.3978,0.056,0.0198,0.3979746705304728,0.00017467053047282022,True,0.3971182402326048,0.3988339015337817,True
v1,tab:baseline 5,NLS,MV,0.3964,0.055,0.0192,0.3969283100678677,0.0005283100678677433,True,0.39605210860096773,0.39780747012822326,True
