candidate_id,existing_book_label,existing_book_component_count,existing_book_components,existing_book_jkp132_factor_count,existing_book_jkp132_gross_weight,existing_book_jkp132_construction,candidate_standalone_oos_sharpe,jkp132_standalone_oos_sharpe,textbenchmark_standalone_oos_sharpe,existing_book_standalone_oos_sharpe,textbenchmark_delta_mvo_n_months,textbenchmark_delta_mvo_overlap_start,textbenchmark_delta_mvo_overlap_end,longonly_original_mvo_jkp132_weight,longonly_original_mvo_textbenchmark_weight,longonly_original_mvo_candidate_weight,longonly_original_mvo_annualized_sharpe,longonly_all_mvo_jkp132_weight,longonly_all_mvo_textbenchmark_weight,longonly_all_mvo_candidate_weight,longonly_delta_mvo_candidate_weight,longonly_delta_mvo_candidate_weight_meaningful,longonly_all_mvo_annualized_sharpe,longonly_delta_sharpe,msrr_original_jkp132_weight_raw,msrr_original_textbenchmark_weight_raw,msrr_all_jkp132_weight_raw,msrr_all_textbenchmark_weight_raw,msrr_all_candidate_weight_raw,analysis_window_start,analysis_window_end,analysis_window_label
alpha_jungle_price_volume_momentum,JKP132 + Didisheim/TextBenchmark,2,"JKP132,TextBenchmark",132,1.0,unconstrained_tangency_from_jkp132_factor_span_on_overlap_sample,-0.03344415194691336,4.228558585640233,0.6891959890939233,4.248885948052123,270,1999-07-31,2021-12-31,0.9099081879613649,0.09009181203863517,0.0,4.248885948052123,0.8973438422347306,0.08902004486889244,0.01363611289637693,0.01363611289637693,True,4.249365594514163,0.00047964646204068373,24.001751797075762,2.376461053294771,24.00601084006497,2.381490935655343,0.36479734448989803,1999-07-31,2021-12-31,1999-07-31_to_2021-12-31_270m
alpha_jungle_volatility_compression_trend,JKP132 + Didisheim/TextBenchmark,2,"JKP132,TextBenchmark",132,1.0,unconstrained_tangency_from_jkp132_factor_span_on_overlap_sample,0.2805889826577585,4.228558585640233,0.6891959890939233,4.248885948052123,270,1999-07-31,2021-12-31,0.9099081879613649,0.09009181203863517,0.0,4.248885948052123,0.9082541747074984,0.08978019849945419,0.0019656267930474648,0.0019656267930474648,False,4.2488955824299905,9.634377867939747e-06,24.001751797075762,2.376461053294771,23.999030059086138,2.3722849108396042,0.05193911071071615,1999-07-31,2021-12-31,1999-07-31_to_2021-12-31_270m
alphaagents_risk_averse_quality_lowrisk,JKP132 + Didisheim/TextBenchmark,2,"JKP132,TextBenchmark",132,1.0,unconstrained_tangency_from_jkp132_factor_span_on_overlap_sample,0.1508181511708065,4.228558585640233,0.6891959890939233,4.248885948052123,270,1999-07-31,2021-12-31,0.9099081879613649,0.09009181203863517,0.0,4.248885948052123,0.8798620913805575,0.08209399314678566,0.038043915472656856,0.038043915472656856,True,4.252711008002974,0.0038250599508513616,24.001751797075762,2.376461053294771,24.004507109900118,2.2396981773393296,1.037919158503429,1999-07-31,2021-12-31,1999-07-31_to_2021-12-31_270m
alphaagents_risk_neutral_fundamental_momentum,JKP132 + Didisheim/TextBenchmark,2,"JKP132,TextBenchmark",132,1.0,unconstrained_tangency_from_jkp132_factor_span_on_overlap_sample,0.4151120840701328,4.228558585640233,0.6891959890939233,4.248885948052123,270,1999-07-31,2021-12-31,0.9099081879613649,0.09009181203863517,0.0,4.248885948052123,0.8696125910275376,0.08477458581808914,0.0456128231543732,0.0456128231543732,True,4.254556082794665,0.005670134742542743,24.001751797075762,2.376461053294771,23.91193438107924,2.3310659583239213,1.2542263407886243,1999-07-31,2021-12-31,1999-07-31_to_2021-12-31_270m
alphacrafter_full_stack_multifactor,JKP132 + Didisheim/TextBenchmark,2,"JKP132,TextBenchmark",132,1.0,unconstrained_tangency_from_jkp132_factor_span_on_overlap_sample,0.3552368364054018,4.228558585640233,0.6891959890939233,4.248885948052123,270,1999-07-31,2021-12-31,0.9099081879613649,0.09009181203863517,0.0,4.248885948052123,0.8635540499828446,0.0786206742365556,0.05782527578059987,0.05782527578059987,True,4.258060216982815,0.00917426893069262,24.001751797075762,2.376461053294771,23.941045525409244,2.179668264787536,1.6031396539950546,1999-07-31,2021-12-31,1999-07-31_to_2021-12-31_270m
alphalogics_value_quality_growth,JKP132 + Didisheim/TextBenchmark,2,"JKP132,TextBenchmark",132,1.0,unconstrained_tangency_from_jkp132_factor_span_on_overlap_sample,0.19151600393199986,4.228558585640233,0.6891959890939233,4.248885948052123,270,1999-07-31,2021-12-31,0.9099081879613649,0.09009181203863517,0.0,4.248885948052123,0.9008720202115045,0.08953144320374154,0.009596536584754026,0.009596536584754026,False,4.249120908576028,0.00023496052390559186,24.001751797075762,2.376461053294771,23.989991007434462,2.3841986447512427,0.25555326619465435,1999-07-31,2021-12-31,1999-07-31_to_2021-12-31_270m
code_agentictrading_lab_allocation,JKP132 + Didisheim/TextBenchmark,2,"JKP132,TextBenchmark",132,1.0,unconstrained_tangency_from_jkp132_factor_span_on_overlap_sample,0.30090393045884767,4.228558585640233,0.6891959890939233,4.248885948052123,270,1999-07-31,2021-12-31,0.9099081879613649,0.09009181203863517,0.0,4.248885948052123,0.9033159765159297,0.08783643451885474,0.008847588965215715,0.008847588965215715,False,4.249077989690019,0.00019204163789598994,24.001751797075762,2.376461053294771,23.992987018296482,2.333024507627399,0.23500101918445251,1999-07-31,2021-12-31,1999-07-31_to_2021-12-31_270m
code_ai_hedge_fund_buffett_munger,JKP132 + Didisheim/TextBenchmark,2,"JKP132,TextBenchmark",132,1.0,unconstrained_tangency_from_jkp132_factor_span_on_overlap_sample,0.5091669462334895,4.228558585640233,0.6891959890939233,4.248885948052123,270,1999-07-31,2021-12-31,0.9099081879613649,0.09009181203863517,0.0,4.248885948052123,0.8748273914724412,0.07600997383266918,0.0491626346948897,0.0491626346948897,True,4.255092641036964,0.006206692984841666,24.001751797075762,2.376461053294771,23.9169096517415,2.078036711436731,1.3440580490464145,1999-07-31,2021-12-31,1999-07-31_to_2021-12-31_270m
code_ai_trader_value_quality,JKP132 + Didisheim/TextBenchmark,2,"JKP132,TextBenchmark",132,1.0,unconstrained_tangency_from_jkp132_factor_span_on_overlap_sample,0.5206576596960234,4.228558585640233,0.6891959890939233,4.248885948052123,270,1999-07-31,2021-12-31,0.9099081879613649,0.09009181203863517,0.0,4.248885948052123,0.8748947439512131,0.0754755053868817,0.04962975066190512,0.04962975066190512,True,4.255181633664552,0.006295685612429658,24.001751797075762,2.376461053294771,23.9145607897356,2.063063762755593,1.3565902975081894,1999-07-31,2021-12-31,1999-07-31_to_2021-12-31_270m
code_alpha_r1_reasoning_screen,JKP132 + Didisheim/TextBenchmark,2,"JKP132,TextBenchmark",132,1.0,unconstrained_tangency_from_jkp132_factor_span_on_overlap_sample,0.42746351203192506,4.228558585640233,0.6891959890939233,4.248885948052123,270,1999-07-31,2021-12-31,0.9099081879613649,0.09009181203863517,0.0,4.248885948052123,0.888360718475783,0.08356409023126764,0.028075191292949372,0.028075191292949372,True,4.250894871407062,0.002008923354939185,24.001751797075762,2.376461053294771,23.95448289473684,2.2532908672345187,0.7570431393003729,1999-07-31,2021-12-31,1999-07-31_to_2021-12-31_270m
code_alphaforge_program_factor,JKP132 + Didisheim/TextBenchmark,2,"JKP132,TextBenchmark",132,1.0,unconstrained_tangency_from_jkp132_factor_span_on_overlap_sample,0.18730805806608294,4.228558585640233,0.6891959890939233,4.248885948052123,270,1999-07-31,2021-12-31,0.9099081879613649,0.09009181203863517,0.0,4.248885948052123,0.9033154871240596,0.0879998734007719,0.00868463947516854,0.00868463947516854,False,4.249072562284929,0.0001866142328061926,24.001751797075762,2.376461053294771,23.99866659537353,2.337920178734116,0.23072828533090062,1999-07-31,2021-12-31,1999-07-31_to_2021-12-31_270m
code_alphagen_symbolic_factor,JKP132 + Didisheim/TextBenchmark,2,"JKP132,TextBenchmark",132,1.0,unconstrained_tangency_from_jkp132_factor_span_on_overlap_sample,0.20653781004952743,4.228558585640233,0.6891959890939233,4.248885948052123,270,1999-07-31,2021-12-31,0.9099081879613649,0.09009181203863517,0.0,4.248885948052123,0.9099081821631376,0.09009181783686239,0.0,0.0,False,4.248885948052123,0.0,24.001751797075762,2.376461053294771,24.003767121598422,2.378939162377761,-0.048731885540418074,1999-07-31,2021-12-31,1999-07-31_to_2021-12-31_270m
