formation_month,research_start,research_end,research_months,validation_start,validation_end,validation_months,explored_candidate_count,branch_winner_count,finalist_count,selected_solution,selected_members,selected_solution_size,selected_validation_score,finite_scores,winner__momentum_trend,training_score__momentum_trend,validation_score__momentum_trend,winner__valuation,training_score__valuation,validation_score__valuation,winner__profitability_quality,training_score__profitability_quality,validation_score__profitability_quality,winner__financial_safety,training_score__financial_safety,validation_score__financial_safety,winner__fundamental_surprise,training_score__fundamental_surprise,validation_score__fundamental_surprise,winner__low_risk,training_score__low_risk,validation_score__low_risk
1999-07-31,1989-07-31,1997-06-30,96,1997-07-31,1999-06-30,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.0374148843253756,942,momentum_trend__leader,0.017517799104502844,0.0374148843253756,valuation__pair_mean,-0.008356797384168946,-0.03532585598432137,profitability_quality__all_mean,0.014486260131628974,0.012954992136852047,financial_safety__all_mean,0.006376062892603139,0.002839336657983787,fundamental_surprise__leader,0.006652791751960584,0.0016301093757569156,low_risk__leader,-0.005877663906748109,-0.012471767815784959
1999-08-31,1989-08-31,1997-07-31,96,1997-08-31,1999-07-31,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.04085515976028231,937,momentum_trend__leader,0.01669182747671518,0.04085515976028231,valuation__pair_mean,-0.008353695353710007,-0.04618168415622296,profitability_quality__consensus_median,0.013406057701038846,0.009198922784433008,financial_safety__all_mean,0.006182888575238153,0.003967258027780474,fundamental_surprise__leader,0.006361626871292102,0.001116096035421244,low_risk__leader,-0.006234865691361467,-0.013664018561203023
1999-09-30,1989-09-30,1997-08-31,96,1997-09-30,1999-08-31,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.03526776180483453,922,momentum_trend__leader,0.016534016289985083,0.03526776180483453,valuation__pair_mean,-0.00686199365802599,-0.06825730537504779,profitability_quality__consensus_median,0.013787330973864144,0.011656365913168354,financial_safety__all_mean,0.00477107514485524,0.0071797103173176224,fundamental_surprise__leader,0.007000537487142214,-0.00431499776501991,low_risk__leader,-0.007277410143010884,-0.03079155661400677
1999-10-31,1989-10-31,1997-09-30,96,1997-10-31,1999-09-30,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.05878497028776731,899,momentum_trend__leader,0.01667513397345566,0.05878497028776731,valuation__pair_mean,-0.004180988482639215,-0.05870998037647287,profitability_quality__all_mean,0.014458653577769275,0.013729105890694766,financial_safety__all_mean,0.0030376523144436153,0.022457926584641776,fundamental_surprise__leader,0.007013827192192745,-0.0014807874127463,low_risk__leader,-0.00760144393222823,-0.03111313183646467
1999-11-30,1989-11-30,1997-10-31,96,1997-11-30,1999-10-31,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.07238737209568398,879,momentum_trend__leader,0.014639087218686373,0.07238737209568398,valuation__pair_mean,-0.0016526022238732702,-0.08135671198964968,profitability_quality__all_mean,0.01406273957861169,0.01768861494632927,financial_safety__all_mean,0.0025709704553402834,0.03523087147917943,fundamental_surprise__leader,0.006001423141066618,-0.0014526157572691861,low_risk__leader,-0.006292211930294131,-0.05481699827607825
1999-12-31,1989-12-31,1997-11-30,96,1997-12-31,1999-11-30,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.059939180588905315,869,momentum_trend__leader,0.015462869587415804,0.059939180588905315,valuation__pair_mean,0.0007835824414492033,-0.11304481785750395,profitability_quality__all_mean,0.012829558125421445,0.020769432051947624,financial_safety__all_mean,0.0012030538942839081,0.03866112556568658,fundamental_surprise__leader,0.005872686659490576,0.00024242020048205557,low_risk__leader,-0.004978050235163671,-0.09161364955882972
2000-01-31,1990-01-31,1997-12-31,96,1998-01-31,1999-12-31,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.054044867188264796,870,momentum_trend__leader,0.01669438533687842,0.054044867188264796,valuation__pair_mean,-0.000808575734582628,-0.12068779254500206,profitability_quality__all_mean,0.014134693543527152,0.016632323721029487,financial_safety__all_mean,0.0020280893198157037,0.03197663065127698,fundamental_surprise__leader,0.005756474095282545,0.0007328788606225864,low_risk__leader,-0.007852004132702381,-0.08634525246345198
2000-02-29,1990-02-28,1998-01-31,96,1998-02-28,2000-01-31,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.0715181509261345,847,momentum_trend__leader,0.016527583881244527,0.0715181509261345,valuation__pair_mean,-0.0024910109702753515,-0.1404808141109432,profitability_quality__all_mean,0.014690160889320358,0.007245885919801869,financial_safety__all_mean,0.0034643544795410694,0.03671547086985514,fundamental_surprise__leader,0.005608950931681285,0.0037463075859566312,low_risk__leader,-0.00868828667351928,-0.10419831086895565
2000-03-31,1990-03-31,1998-02-28,96,1998-03-31,2000-02-29,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.06446051042776414,871,momentum_trend__leader,0.016702558367721367,0.06446051042776414,valuation__pair_mean,0.0009340328231407305,-0.10564300767593289,profitability_quality__consensus_median,0.012804637768296712,0.02010449968143398,financial_safety__all_mean,0.0003036410629421501,0.03731072648693394,fundamental_surprise__leader,0.005084927835126765,0.004265723993996385,low_risk__leader,-0.0075948196924069174,-0.07166722272586418
2000-04-30,1990-04-30,1998-03-31,96,1998-04-30,2000-03-31,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.06448894350335918,898,momentum_trend__leader,0.015718466408267077,0.06448894350335918,valuation__pair_mean,0.0032955464046876756,-0.07395761815838141,profitability_quality__all_mean,0.012467749504034868,0.010917881710388688,financial_safety__all_mean,-0.000762859808690293,0.025877796907438837,fundamental_surprise__leader,0.004812758484357057,0.004459477578396786,low_risk__leader,-0.00971152061309364,-0.03591010918145289
2000-05-31,1990-05-31,1998-04-30,96,1998-05-31,2000-04-30,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.04846748960856627,915,momentum_trend__leader,0.01534596120849801,0.04846748960856627,valuation__pair_mean,0.006960653433055779,-0.07537313078797822,profitability_quality__all_mean,0.011749961063784101,0.011586317775705653,financial_safety__all_mean,-0.0026341005850255787,0.01874870314635296,fundamental_surprise__leader,0.004727075300165976,0.005756741619956233,low_risk__leader,-0.004894841730179478,-0.03572631149379186
