missing_return_policy,formation_month,month,path_status,gross_return,total_security_return,traded_notional,formation_universe,finite_signal_count,missing_forward_return_gross_weight,missing_total_return_gross_weight,n_long,n_short,max_abs_weight,weight_hhi,gross_exposure
zero,1999-07-31,1999-08-31,ok,-0.04937710923158705,-0.04939226455064698,1.9999999999999998,1000,1000,0.0019550205185660625,0.0019550205185660625,100,100,0.1765404157562393,0.0970542523302021,1.9999999999999998
zero,1999-08-31,1999-09-30,ok,0.02491593767995764,0.02491593767995766,1.8204105383629923,1000,1000,0.0,0.0,100,100,0.21514869892500682,0.1171531371839679,1.9999999999999996
zero,1999-09-30,1999-10-31,ok,-0.07164890671633761,-0.07166374387202921,1.074329362435414,1000,1000,0.0020716497754247115,0.0020716497754247115,100,100,0.22151958000807812,0.11528229550418964,2.0
zero,1999-10-31,1999-11-30,ok,0.045997921388847354,0.04599792138884736,1.7994492523765784,1000,1000,0.0,0.0,100,100,0.11199794228133904,0.09693734799577147,1.9999999999999998
zero,1999-11-30,1999-12-31,ok,0.09168762352653881,0.09151849737657353,1.9499899012615893,1000,1000,0.022466279219618034,0.022466279219618034,100,100,0.20999865590327688,0.12004809072752105,2.0000000000000004
zero,1999-12-31,2000-01-31,ok,-0.015010909673068604,-0.015010909673068612,1.4758489634757792,1000,1000,0.0,0.0,100,100,0.11499276829039047,0.08649177250006501,2.0
zero,2000-01-31,2000-02-29,ok,0.16765433131454055,0.1676483850099772,2.0098600021957655,1000,1000,0.0006922356884053941,0.0006922356884053941,100,100,0.15808364210055503,0.09056797655236792,2.0000000000000004
zero,2000-02-29,2000-03-31,ok,-0.11465129263830734,-0.1146700306417703,1.5743707605086912,1000,1000,0.0021405075922963125,0.0021405075922963125,100,100,0.10075961668494546,0.07221793951610447,2.0
zero,2000-03-31,2000-04-30,ok,-0.0475220345096648,-0.04752911883514859,1.8843343623723707,1000,1000,0.0007708732844180494,0.0007708732844180494,100,100,0.20866805031796137,0.1127168398249016,2.0
zero,2000-04-30,2000-05-31,ok,-0.0393915982012365,-0.039440225942214885,1.4235858889403705,1000,1000,0.005084456396734966,0.005084456396734966,100,100,0.2103010867972868,0.12431584422055256,2.0
zero,2000-05-31,2000-06-30,ok,-0.0030358569247771468,-0.0030358569247771446,1.1241720929294932,1000,1000,0.0,0.0,100,100,0.22015934018100386,0.1341711246437194,1.9999999999999996
zero,2000-06-30,2000-07-31,ok,-0.03185384898361778,-0.03177879812171809,2.0376767006476184,1000,1000,0.05121355630882241,0.05121355630882241,100,100,0.15955246249251853,0.10697907045013996,2.0
zero,2000-07-31,2000-08-31,ok,0.08333894304321755,0.08334361551880648,1.8792209751380966,1000,1000,0.00046706073460599994,0.00046706073460599994,100,100,0.2798510210979127,0.14954603998160215,1.9999999999999998
zero,2000-08-31,2000-09-30,ok,-0.031406745168849066,-0.031426086802272414,0.9963592319897279,1000,1000,0.0018988448285238281,0.0018988448285238281,100,100,0.29764907194080714,0.14732994251540885,2.0000000000000004
zero,2000-09-30,2000-10-31,ok,-0.07249482088635024,-0.07249183189065718,0.9647153086087243,1000,1000,0.0002864669056003547,0.0002864669056003547,100,100,0.29415305753325344,0.14479336741464177,2.0
