edition,table,identity,metric,rendered_value,numeric_value,duplicate_kind,duplicate_of,native_pipeline_executed,native_result_regenerated,paper_result_credit
arxiv_v1,round_summary,R1,Candidates,41,41.0,none,,False,False,False
arxiv_v1,round_summary,R1,Evaluated,76,76.0,none,,False,False,False
arxiv_v1,round_summary,R1,OK,71,71.0,none,,False,False,False
arxiv_v1,round_summary,R1,Errors,10,10.0,none,,False,False,False
arxiv_v1,round_summary,R1,Best Score,0.827,0.827,none,,False,False,False
arxiv_v1,round_summary,R2,Candidates,41,41.0,none,,False,False,False
arxiv_v1,round_summary,R2,Evaluated,60,60.0,none,,False,False,False
arxiv_v1,round_summary,R2,OK,60,60.0,none,,False,False,False
arxiv_v1,round_summary,R2,Errors,21,21.0,none,,False,False,False
arxiv_v1,round_summary,R2,Best Score,$-0.279$,-0.279,none,,False,False,False
arxiv_v1,round_summary,R3,Candidates,40,40.0,none,,False,False,False
arxiv_v1,round_summary,R3,Evaluated,50,50.0,none,,False,False,False
arxiv_v1,round_summary,R3,OK,50,50.0,none,,False,False,False
arxiv_v1,round_summary,R3,Errors,31,31.0,none,,False,False,False
arxiv_v1,round_summary,R3,Best Score,0.717,0.717,none,,False,False,False
arxiv_v1,round_summary,Total,Candidates,122,122.0,none,,False,False,False
arxiv_v1,round_summary,Total,Evaluated,186,186.0,none,,False,False,False
arxiv_v1,round_summary,Total,OK,181,181.0,none,,False,False,False
arxiv_v1,round_summary,Total,Errors,62,62.0,none,,False,False,False
arxiv_v1,round_summary,Total,Best Score,0.827,0.827,exact_semantic_repeat,v1/R1/Best Score,False,False,False
arxiv_v1,top_factors,f1,Score,0.827,0.827,exact_semantic_repeat,v1/R1/Best Score,False,False,False
arxiv_v1,top_factors,f1,RankIC,0.0185,0.0185,none,,False,False,False
arxiv_v1,top_factors,f1,RankICIR_ann,1.310,1.31,none,,False,False,False
arxiv_v1,top_factors,f1,IC_hit_pct,52.7\%,52.7,none,,False,False,False
arxiv_v1,top_factors,f1,Turnover,0.902,0.902,none,,False,False,False
arxiv_v1,top_factors,f1,Coverage_pct,100\%,100.0,none,,False,False,False
arxiv_v1,top_factors,f2,Score,0.717,0.717,exact_semantic_repeat,v1/R3/Best Score,False,False,False
arxiv_v1,top_factors,f2,RankIC,0.0185,0.0185,none,,False,False,False
arxiv_v1,top_factors,f2,RankICIR_ann,1.298,1.298,none,,False,False,False
arxiv_v1,top_factors,f2,IC_hit_pct,51.7\%,51.7,none,,False,False,False
arxiv_v1,top_factors,f2,Turnover,0.945,0.945,none,,False,False,False
arxiv_v1,top_factors,f2,Coverage_pct,100\%,100.0,none,,False,False,False
arxiv_v1,top_factors,f3,Score,0.506,0.506,none,,False,False,False
arxiv_v1,top_factors,f3,RankIC,0.0044,0.0044,none,,False,False,False
arxiv_v1,top_factors,f3,RankICIR_ann,0.319,0.319,none,,False,False,False
arxiv_v1,top_factors,f3,IC_hit_pct,53.1\%,53.1,none,,False,False,False
arxiv_v1,top_factors,f3,Turnover,0.028,0.028,none,,False,False,False
arxiv_v1,top_factors,f3,Coverage_pct,100\%,100.0,none,,False,False,False
arxiv_v1,top_factors,f4,Score,0.218,0.218,none,,False,False,False
arxiv_v1,top_factors,f4,RankIC,0.0026,0.0026,none,,False,False,False
arxiv_v1,top_factors,f4,RankICIR_ann,0.187,0.187,none,,False,False,False
arxiv_v1,top_factors,f4,IC_hit_pct,53.7\%,53.7,none,,False,False,False
arxiv_v1,top_factors,f4,Turnover,0.039,0.039,none,,False,False,False
arxiv_v1,top_factors,f4,Coverage_pct,100\%,100.0,none,,False,False,False
arxiv_v1,top_factors,f5,Score,0.161,0.161,none,,False,False,False
arxiv_v1,top_factors,f5,RankIC,0.0021,0.0021,none,,False,False,False
arxiv_v1,top_factors,f5,RankICIR_ann,0.151,0.151,none,,False,False,False
arxiv_v1,top_factors,f5,IC_hit_pct,53.8\%,53.8,none,,False,False,False
arxiv_v1,top_factors,f5,Turnover,0.052,0.052,none,,False,False,False
arxiv_v1,top_factors,f5,Coverage_pct,100\%,100.0,none,,False,False,False
arxiv_v2,round_summary,R1,Candidates,20,20.0,none,,False,False,False
arxiv_v2,round_summary,R1,Evaluated,40,40.0,none,,False,False,False
arxiv_v2,round_summary,R1,OK,40,40.0,none,,False,False,False
arxiv_v2,round_summary,R1,Errors,0,0.0,none,,False,False,False
arxiv_v2,round_summary,R1,Best Score,5.195,5.195,none,,False,False,False
arxiv_v2,round_summary,R2,Candidates,20,20.0,none,,False,False,False
arxiv_v2,round_summary,R2,Evaluated,34,34.0,none,,False,False,False
arxiv_v2,round_summary,R2,OK,34,34.0,none,,False,False,False
arxiv_v2,round_summary,R2,Errors,6,6.0,none,,False,False,False
arxiv_v2,round_summary,R2,Best Score,5.622,5.622,none,,False,False,False
arxiv_v2,round_summary,R3,Candidates,20,20.0,none,,False,False,False
arxiv_v2,round_summary,R3,Evaluated,30,30.0,none,,False,False,False
arxiv_v2,round_summary,R3,OK,30,30.0,none,,False,False,False
arxiv_v2,round_summary,R3,Errors,10,10.0,none,,False,False,False
arxiv_v2,round_summary,R3,Best Score,5.436,5.436,none,,False,False,False
