eom,n_factors,book_return_vw_cap,book_return_vw,book_return_ew,book_id
1999-08-31,119,-0.02934775948604241,-0.013123382009581656,-0.03468576004473111,jkp119_significant_metadata_long_only
1999-09-30,119,-0.027565550250219707,-0.030331592759793736,-0.021660101259100166,jkp119_significant_metadata_long_only
1999-10-31,119,0.030256409300512904,0.048688319098099654,-0.003405863643470667,jkp119_significant_metadata_long_only
1999-11-30,119,0.03889372632684549,0.030706238818284767,0.08211110009353895,jkp119_significant_metadata_long_only
1999-12-31,119,0.07239690677179075,0.06784872889121855,0.07615349078507037,jkp119_significant_metadata_long_only
2000-01-31,119,-0.03805256203780088,-0.04049749724145566,0.04547745418749124,jkp119_significant_metadata_long_only
2000-02-29,119,0.04894508135448486,0.013115874851419271,0.1159858705236032,jkp119_significant_metadata_long_only
2000-03-31,119,0.049133442815882514,0.06521215554047521,0.017476081365853727,jkp119_significant_metadata_long_only
2000-04-30,119,-0.04531488853810038,-0.043838089852468086,-0.07768289553207694,jkp119_significant_metadata_long_only
2000-05-31,119,-0.026627432518467116,-0.03240957995433383,-0.05447003112360359,jkp119_significant_metadata_long_only
2000-06-30,119,0.036934105120780415,0.0350663840635077,0.06755879076842186,jkp119_significant_metadata_long_only
2000-07-31,119,-0.01244124340712761,-0.015515844544995865,-0.014607688615879435,jkp119_significant_metadata_long_only
2000-08-31,119,0.07847814733527243,0.06459464519748014,0.061683581997348164,jkp119_significant_metadata_long_only
2000-09-30,119,-0.02487389842754255,-0.03855935760232089,-0.031988628799109985,jkp119_significant_metadata_long_only
2000-10-31,119,-0.018884074384412072,-0.01387994052970118,-0.05399211687072192,jkp119_significant_metadata_long_only
2000-11-30,119,-0.08324513097406162,-0.08233916836029237,-0.10421651054595425,jkp119_significant_metadata_long_only
2000-12-31,119,0.05912824322887152,0.020490657254699195,-0.0010712256290890032,jkp119_significant_metadata_long_only
2001-01-31,119,0.04458828488541984,0.023917986498659657,0.19896615321462444,jkp119_significant_metadata_long_only
2001-02-28,119,-0.05805325491394216,-0.06968988034997783,-0.053948819720297476,jkp119_significant_metadata_long_only
2001-03-31,119,-0.059487843578230025,-0.06197122976087031,-0.05665778684905828,jkp119_significant_metadata_long_only
2001-04-30,119,0.08225700226100983,0.07026847022442516,0.06659681263810327,jkp119_significant_metadata_long_only
2001-05-31,119,0.02527543213652694,0.013172982871329984,0.06405791192285286,jkp119_significant_metadata_long_only
2001-06-30,119,-0.0029020304241022766,-0.015480099544838097,0.014765364048071558,jkp119_significant_metadata_long_only
2001-07-31,119,-0.020488437872343952,-0.014932410793570453,-0.017815507947526354,jkp119_significant_metadata_long_only
2001-08-31,119,-0.03992077665890407,-0.053302090811711306,-0.031044450157785522,jkp119_significant_metadata_long_only
2001-09-30,119,-0.11955491839392048,-0.08742687177435253,-0.12095174778756726,jkp119_significant_metadata_long_only
2001-10-31,119,0.04612771142455359,0.03043135650763883,0.06962679252532555,jkp119_significant_metadata_long_only
2001-11-30,119,0.07800478676456941,0.06798444598170604,0.06965348718773494,jkp119_significant_metadata_long_only
2001-12-31,119,0.04249444483446074,0.020363581645251944,0.05951455340330015,jkp119_significant_metadata_long_only
2002-01-31,119,-0.003329261345071291,-0.009126488673539023,0.026744772561616583,jkp119_significant_metadata_long_only
2002-02-28,119,-0.015533801215795158,-0.017225514412875127,-0.0250715060046759,jkp119_significant_metadata_long_only
2002-03-31,119,0.06581897204941944,0.04598699908661107,0.08059952905121572,jkp119_significant_metadata_long_only
2002-04-30,119,-0.014531502854453697,-0.04364992151404674,0.011218558329594543,jkp119_significant_metadata_long_only
2002-05-31,119,-0.01884512326238674,-0.012990039376250019,-0.01636093427511841,jkp119_significant_metadata_long_only
