unique_measurement_id,paper_value,display_occurrences,native_reproduced_value,status,paper_result_credit
regular_single/NIO/FinGPT/MDD_pct,37.344,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/FinMem/CR_pct,-48.437,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/FinMem/SR,-1.180,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/FinMem/MDD_pct,64.144,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/FinAgent/CR_pct,0.933,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/FinAgent/SR,0.051,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/FinAgent/MDD_pct,19.181,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/A2C/CR_pct,-91.910,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/A2C/SR,-1.728,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/A2C/MDD_pct,68.911,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/PPO/CR_pct,-72.119,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/PPO/SR,-1.352,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/PPO/MDD_pct,62.093,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/DQN/CR_pct,-35.419,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/DQN/SR,-0.662,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NIO/DQN/MDD_pct,56.905,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/B&H/CR_pct,27.856,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/B&H/SR,1.230,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/B&H/MDD_pct,15.010,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/FinCon/CR_pct,31.625,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/FinCon/SR,1.538,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/FinCon/MDD_pct,15.010,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/GA/CR_pct,-31.821,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/GA/SR,-1.414,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/GA/MDD_pct,39.808,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/FinGPT/CR_pct,21.535,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/FinGPT/SR,1.315,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/FinGPT/MDD_pct,16.503,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/FinMem/CR_pct,-22.036,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/FinMem/SR,-1.247,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/FinMem/MDD_pct,29.435,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/FinAgent/CR_pct,-27.534,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/FinAgent/SR,-1.247,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/FinAgent/MDD_pct,39.544,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/A2C/CR_pct,21.397,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/A2C/SR,0.962,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/A2C/MDD_pct,21.458,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/PPO/CR_pct,-4.761,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/PPO/SR,-0.214,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/PPO/MDD_pct,30.950,1,,not_reproduced_official_code_and_data_not_released,False
