unique_measurement_id,paper_value,display_occurrences,native_reproduced_value,status,paper_result_credit
extreme_single/TSLA/DQN/SR,-1.328,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/DQN/MDD_pct,8.463,1,,not_reproduced_official_code_and_data_not_released,False
extreme_portfolio/P1/FinCon/CR_pct,-8.429,1,,not_reproduced_official_code_and_data_not_released,False
extreme_portfolio/P1/FinCon/SR,-0.294,1,,not_reproduced_official_code_and_data_not_released,False
extreme_portfolio/P1/FinCon/MDD_pct,26.176,1,,not_reproduced_official_code_and_data_not_released,False
extreme_portfolio/P1/Markowitz MV/CR_pct,-28.996,1,,not_reproduced_official_code_and_data_not_released,False
extreme_portfolio/P1/Markowitz MV/SR,-1.805,1,,not_reproduced_official_code_and_data_not_released,False
extreme_portfolio/P1/Markowitz MV/MDD_pct,31.831,1,,not_reproduced_official_code_and_data_not_released,False
extreme_portfolio/P1/FinRL-A2C/CR_pct,-15.932,1,,not_reproduced_official_code_and_data_not_released,False
extreme_portfolio/P1/FinRL-A2C/SR,-1.195,1,,not_reproduced_official_code_and_data_not_released,False
extreme_portfolio/P1/FinRL-A2C/MDD_pct,21.569,1,,not_reproduced_official_code_and_data_not_released,False
extreme_portfolio/P1/Equal-Weighted ETF/CR_pct,-28.008,1,,not_reproduced_official_code_and_data_not_released,False
extreme_portfolio/P1/Equal-Weighted ETF/SR,-1.731,1,,not_reproduced_official_code_and_data_not_released,False
extreme_portfolio/P1/Equal-Weighted ETF/MDD_pct,30.070,1,,not_reproduced_official_code_and_data_not_released,False
