asset,metric,paper_value,current_adjusted_close_value,current_unadjusted_close_value,adjusted_close_display_match,unadjusted_close_display_match,any_predeclared_basis_display_match,formula,response_file,response_sha256,observations,first_date,last_date,response_retrieved_date,paper_time_input_lineage,author_baseline_result_credit,fincon_result_credit,status
TSLA,CR_pct,6.425,1.4797971650685682,1.4797971650685682,False,False,False,sum daily log adjusted-close returns times 100,yahoo_tsla_20221005_20230610.json,858f6baaf1935b3a15d60a48a9f83d6d53a7e2ba95473c5f1a8c84ea0358dc1c,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
TSLA,SR,0.145,0.03397286220719298,0.03397286220719298,False,False,False,"mean daily log adjusted-close return divided by sample SD times sqrt(252), risk-free rate zero",yahoo_tsla_20221005_20230610.json,858f6baaf1935b3a15d60a48a9f83d6d53a7e2ba95473c5f1a8c84ea0358dc1c,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
TSLA,MDD_pct,58.150,55.10983780986158,55.10983780986158,False,False,False,"maximum one minus adjusted close divided by running adjusted-close peak, times 100",yahoo_tsla_20221005_20230610.json,858f6baaf1935b3a15d60a48a9f83d6d53a7e2ba95473c5f1a8c84ea0358dc1c,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
AMZN,CR_pct,2.030,2.0296984403826177,2.0296984403826177,True,True,True,sum daily log adjusted-close returns times 100,yahoo_amzn_20221005_20230610.json,629ebb601877bd8a1949eee0be547375cfc20e3e6621537c265cb233a5199f56,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_display_match_not_paper_time_lineage
AMZN,SR,0.072,0.07210054437592277,0.07210054437592277,True,True,True,"mean daily log adjusted-close return divided by sample SD times sqrt(252), risk-free rate zero",yahoo_amzn_20221005_20230610.json,629ebb601877bd8a1949eee0be547375cfc20e3e6621537c265cb233a5199f56,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_display_match_not_paper_time_lineage
AMZN,MDD_pct,34.241,32.35221020316583,32.35221020316583,False,False,False,"maximum one minus adjusted close divided by running adjusted-close peak, times 100",yahoo_amzn_20221005_20230610.json,629ebb601877bd8a1949eee0be547375cfc20e3e6621537c265cb233a5199f56,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
NIO,CR_pct,-77.210,-72.99767944493387,-72.99767944493387,False,False,False,sum daily log adjusted-close returns times 100,yahoo_nio_20221005_20230610.json,99b266cd7af29613c0bea6ca283df5da9a36a7e653467de73c783373f25f9bc1,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
NIO,SR,-1.449,-1.384124119110272,-1.384124119110272,False,False,False,"mean daily log adjusted-close return divided by sample SD times sqrt(252), risk-free rate zero",yahoo_nio_20221005_20230610.json,99b266cd7af29613c0bea6ca283df5da9a36a7e653467de73c783373f25f9bc1,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
NIO,MDD_pct,63.975,53.802996106821034,53.802996106821034,False,False,False,"maximum one minus adjusted close divided by running adjusted-close peak, times 100",yahoo_nio_20221005_20230610.json,99b266cd7af29613c0bea6ca283df5da9a36a7e653467de73c783373f25f9bc1,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
MSFT,CR_pct,27.856,27.856127124544155,27.10620142434349,True,False,True,sum daily log adjusted-close returns times 100,yahoo_msft_20221005_20230610.json,1cf2b48480af717dd74839cbd3032af534d50ca51a81f2b81671b552a75bc724,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_display_match_not_paper_time_lineage
MSFT,SR,1.230,1.2374463669663363,1.2038743475961369,False,False,False,"mean daily log adjusted-close return divided by sample SD times sqrt(252), risk-free rate zero",yahoo_msft_20221005_20230610.json,1cf2b48480af717dd74839cbd3032af534d50ca51a81f2b81671b552a75bc724,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
MSFT,MDD_pct,15.010,14.525648047289296,14.52565352675499,False,False,False,"maximum one minus adjusted close divided by running adjusted-close peak, times 100",yahoo_msft_20221005_20230610.json,1cf2b48480af717dd74839cbd3032af534d50ca51a81f2b81671b552a75bc724,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
AAPL,CR_pct,22.315,21.649884962600783,21.193348963266832,False,False,False,sum daily log adjusted-close returns times 100,yahoo_aapl_20221005_20230610.json,e9d4987ea24c2e6a2654e0281b5072345993b966c027c8e194012d86f0d664ae,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
AAPL,SR,1.107,1.0768863138820648,1.0538917596184116,False,False,False,"mean daily log adjusted-close return divided by sample SD times sqrt(252), risk-free rate zero",yahoo_aapl_20221005_20230610.json,e9d4987ea24c2e6a2654e0281b5072345993b966c027c8e194012d86f0d664ae,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
AAPL,MDD_pct,20.659,19.59205029592981,19.725187984179215,False,False,False,"maximum one minus adjusted close divided by running adjusted-close peak, times 100",yahoo_aapl_20221005_20230610.json,e9d4987ea24c2e6a2654e0281b5072345993b966c027c8e194012d86f0d664ae,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
GOOG,CR_pct,22.420,18.39994916163859,18.399954295098674,False,False,False,sum daily log adjusted-close returns times 100,yahoo_goog_20221005_20230610.json,f36bb3d6e7199cbac5f1cecc32624fc4097c944bdbd092a6a0fb2c99ecaeecea,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
GOOG,SR,0.891,0.7225214240898653,0.7225210927843357,False,False,False,"mean daily log adjusted-close return divided by sample SD times sqrt(252), risk-free rate zero",yahoo_goog_20221005_20230610.json,f36bb3d6e7199cbac5f1cecc32624fc4097c944bdbd092a6a0fb2c99ecaeecea,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
GOOG,MDD_pct,21.191,20.432664854177506,20.432671665920786,False,False,False,"maximum one minus adjusted close divided by running adjusted-close peak, times 100",yahoo_goog_20221005_20230610.json,f36bb3d6e7199cbac5f1cecc32624fc4097c944bdbd092a6a0fb2c99ecaeecea,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
NFLX,CR_pct,57.338,57.33820376531187,57.33820376531187,True,True,True,sum daily log adjusted-close returns times 100,yahoo_nflx_20221005_20230610.json,53a8ea1bd3ba84ca83c5060545fdd57b3da48e6624d3765eee13daccc60a2a87,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_display_match_not_paper_time_lineage
NFLX,SR,1.794,1.8048245433745411,1.8048245433745411,False,False,False,"mean daily log adjusted-close return divided by sample SD times sqrt(252), risk-free rate zero",yahoo_nflx_20221005_20230610.json,53a8ea1bd3ba84ca83c5060545fdd57b3da48e6624d3765eee13daccc60a2a87,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
NFLX,MDD_pct,20.926,20.437009653165905,20.437009653165905,False,False,False,"maximum one minus adjusted close divided by running adjusted-close peak, times 100",yahoo_nflx_20221005_20230610.json,53a8ea1bd3ba84ca83c5060545fdd57b3da48e6624d3765eee13daccc60a2a87,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
COIN,CR_pct,-21.756,-31.448741118532475,-31.448741118532475,False,False,False,sum daily log adjusted-close returns times 100,yahoo_coin_20221005_20230610.json,b2aa879c788f372bbaf4c46cd68c37c4e0c9149ece7a1d2fe6765bcdfa42950d,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
COIN,SR,-0.311,-0.45148417666485824,-0.45148417666485824,False,False,False,"mean daily log adjusted-close return divided by sample SD times sqrt(252), risk-free rate zero",yahoo_coin_20221005_20230610.json,b2aa879c788f372bbaf4c46cd68c37c4e0c9149ece7a1d2fe6765bcdfa42950d,171,2022-10-05,2023-06-09,2026-08-26,False,False,False,current_response_mismatch
