repository,url,branch,head_commit,relation_to_official_head,commits_ahead_of_official_history,commits_behind_official_head,current_tracked_files,current_source_code_files,current_native_result_payload_paths,native_trading_r1_pipeline_found,paper_result_credit
03Trash-Panda31/Trading-R1,https://github.com/03Trash-Panda31/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
Abelhubprog/Trading-R1,https://github.com/Abelhubprog/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
Carlos8510/Trading-R1,https://github.com/Carlos8510/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
DanielPhoton/Trading-R1,https://github.com/DanielPhoton/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
Leavesfly/Trading-R1,https://github.com/Leavesfly/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
RoyTien/Trading-R1,https://github.com/RoyTien/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
Tauric-Research/Trading-R1,https://github.com/Tauric-Research/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
Useroo90/Trading-R1,https://github.com/Useroo90/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
VIVEKR0003/Trading-R1,https://github.com/VIVEKR0003/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
Zenith-Trading/Trading-R1,https://github.com/Zenith-Trading/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
amazingchow/Trading-R1,https://github.com/amazingchow/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
bornfreesoul/Trading-R1,https://github.com/bornfreesoul/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
brunic/Trading-R1,https://github.com/brunic/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
charbull/Trading-R1,https://github.com/charbull/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
demoush/Trading-R1,https://github.com/demoush/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
faizgemini109-afk/trading-r1,https://github.com/faizgemini109-afk/trading-r1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
krish240574/Trading-R1,https://github.com/krish240574/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
layzhi/trading-r1,https://github.com/layzhi/trading-r1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
lgaiyw01-web/Trading-R1,https://github.com/lgaiyw01-web/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
mastereljay/Trading-R1,https://github.com/mastereljay/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
mrjony1000tk-sudo/Trading-R1,https://github.com/mrjony1000tk-sudo/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
radu985/Trading-R1,https://github.com/radu985/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
rehmantariqq/Trading-R1,https://github.com/rehmantariqq/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
taka-44report/Trading-R1Founder-TauricResearch-Research-google-Incoming-jumptrading-Prev-Point72-aws,https://github.com/taka-44report/Trading-R1Founder-TauricResearch-Research-google-Incoming-jumptrading-Prev-Point72-aws,main,3abfc727d540d0826c34d580f197163d6618b33c,descendant_of_official_head,4,0,1,0,0,False,False
varun86/Trading-R1,https://github.com/varun86/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
webclinic017/Trading-R1,https://github.com/webclinic017/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
wwlaoxi/Trading-R1,https://github.com/wwlaoxi/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
xp8968/Trading-R1,https://github.com/xp8968/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
ymj6h77jz9-dot/Trading-R1,https://github.com/ymj6h77jz9-dot/Trading-R1,main,57810bfb4456ba1509a2a3c6d502d3085922bf83,exact_official_head,0,0,1,0,0,False,False
