ticker,strategy,metric,paper_rendered_value,paper_numeric_value,historical_source_csv_value,status,native_tradinggroup_credit
MSFT,Buy and Hold,CR,21.128,21.128,21.171,differs_from_paper,False
MSFT,Buy and Hold,MDD,-14.165,-14.165,-14.192,differs_from_paper,False
MSFT,Buy and Hold,SPR,0.974,0.974,0.974,matches_paper_at_display_precision,False
MSFT,FinAgent,AV,35.432,35.432,34.672,differs_from_paper,False
MSFT,FinAgent,CR,17.874,17.874,11.972,differs_from_paper,False
MSFT,FinAgent,MDD,-14.519,-14.519,-17.499,differs_from_paper,False
MSFT,FinAgent,SPR,1.02,1.02,0.738,differs_from_paper,False
MSFT,SMA Cross,AV,16.124,16.124,20.821,differs_from_paper,False
MSFT,SMA Cross,CR,-0.291,-0.291,18.289,differs_from_paper,False
MSFT,SMA Cross,MDD,-13.809,-13.809,-8.746,differs_from_paper,False
MSFT,SMA Cross,SPR,-0.145,-0.145,1.515,differs_from_paper,False
MSFT,Turn of The Month,AV,15.09,15.09,15.097,differs_from_paper,False
MSFT,Turn of The Month,CR,0.951,0.951,0.97,differs_from_paper,False
MSFT,Turn of The Month,MDD,-11.95,-11.95,-11.955,matches_paper_at_display_precision,False
MSFT,Turn of The Month,SPR,-0.036,-0.036,-0.034,differs_from_paper,False
MSFT,WMA Cross,AV,16.376,16.376,21.503,differs_from_paper,False
MSFT,WMA Cross,CR,-3.421,-3.421,16.576,differs_from_paper,False
MSFT,WMA Cross,MDD,-14.748,-14.748,-8.883,differs_from_paper,False
MSFT,WMA Cross,SPR,-0.427,-0.427,1.334,differs_from_paper,False
MSFT,XGBoost,AV,19.503,19.503,16.721,differs_from_paper,False
MSFT,XGBoost,CR,15.874,15.874,12.678,differs_from_paper,False
MSFT,XGBoost,MDD,-11.028,-11.028,-10.734,differs_from_paper,False
MSFT,XGBoost,SPR,0.989,0.989,0.895,differs_from_paper,False
NFLX,ARIMA,AV,31.591,31.591,25.749,differs_from_paper,False
NFLX,ARIMA,CR,53.64,53.64,23.783,differs_from_paper,False
NFLX,ARIMA,MDD,-13.247,-13.247,-15.043,differs_from_paper,False
NFLX,ARIMA,SPR,1.946,1.946,1.159,differs_from_paper,False
NFLX,ATR Band,AV,19.315,19.315,19.314,differs_from_paper,False
NFLX,ATR Band,CR,2.992,2.992,2.992,matches_paper_at_display_precision,False
