ticker,configuration,metric,base_value,configuration_value,computed_percent,printed_annotation,expected_at_printed_precision,status
TSLA,RM+PC,SPR,1.07,0.409,-61.775700935,-61,-62.0,annotation_rounding_mismatch
TSLA,RM+PC,CR,21.904,5.276,-75.913075237,-77,-76.0,annotation_rounding_mismatch
TSLA,RM+PC,MDD,-15.363,-14.144,7.934648181,+8,8.0,passes_displayed_arithmetic
TSLA,RM+PC,AV,42.479,25.968,-38.868617434,-39,-39.0,passes_displayed_arithmetic
TSLA,SR+RE+PC_no_RM,SPR,1.07,-0.827,-177.289719626,-177,-177.0,passes_displayed_arithmetic
TSLA,SR+RE+PC_no_RM,CR,21.904,-14.38,-165.650109569,-166,-166.0,passes_displayed_arithmetic
TSLA,SR+RE+PC_no_RM,MDD,-15.363,-20.379,-32.649873072,-33,-33.0,passes_displayed_arithmetic
TSLA,SR+RE+PC_no_RM,AV,42.479,34.123,-19.670896208,-20,-20.0,passes_displayed_arithmetic
TSLA,all_enabled,SPR,1.07,1.398,30.654205607,+31,31.0,passes_displayed_arithmetic
TSLA,all_enabled,CR,21.904,25.662,17.156683711,+17,17.0,passes_displayed_arithmetic
TSLA,all_enabled,MDD,-15.363,-15.305,0.377530430,+0.4,0.4,passes_displayed_arithmetic
TSLA,all_enabled,AV,42.479,34.78,-18.124249629,-18,-18.0,passes_displayed_arithmetic
NFLX,RM+PC,SPR,1.849,0.372,-79.881016766,-80,-80.0,passes_displayed_arithmetic
NFLX,RM+PC,CR,33.139,4.792,-85.539696430,-86,-86.0,passes_displayed_arithmetic
NFLX,RM+PC,MDD,-10.014,-9.903,1.108448173,+1,1.0,passes_displayed_arithmetic
NFLX,RM+PC,AV,32.051,26.383,-17.684315622,-18,-18.0,passes_displayed_arithmetic
NFLX,SR+RE+PC_no_RM,SPR,1.849,2.726,47.431043807,+47,47.0,passes_displayed_arithmetic
NFLX,SR+RE+PC_no_RM,CR,33.139,53.244,60.668698512,+61,61.0,passes_displayed_arithmetic
NFLX,SR+RE+PC_no_RM,MDD,-10.014,-11.122,-11.064509686,-11,-11.0,passes_displayed_arithmetic
NFLX,SR+RE+PC_no_RM,AV,32.051,32.102,0.159121400,+0.2,0.2,passes_displayed_arithmetic
NFLX,all_enabled,SPR,1.849,1.282,-30.665224446,-31,-31.0,passes_displayed_arithmetic
NFLX,all_enabled,CR,33.139,20.458,-38.266091312,-38,-38.0,passes_displayed_arithmetic
NFLX,all_enabled,MDD,-10.014,-14.958,-49.370880767,-49,-49.0,passes_displayed_arithmetic
NFLX,all_enabled,AV,32.051,30.131,-5.990452716,-6,-6.0,passes_displayed_arithmetic
AMZN,RM+PC,SPR,0.601,0.998,66.056572379,+66,66.0,passes_displayed_arithmetic
AMZN,RM+PC,CR,7.261,11.391,56.879217739,+57,57.0,passes_displayed_arithmetic
AMZN,RM+PC,MDD,-11.036,-14.329,-29.838709677,-30,-30.0,passes_displayed_arithmetic
AMZN,RM+PC,AV,22.615,20.789,-8.074286978,-8,-8.0,passes_displayed_arithmetic
AMZN,SR+RE+PC_no_RM,SPR,0.601,0.765,27.287853577,+27,27.0,passes_displayed_arithmetic
AMZN,SR+RE+PC_no_RM,CR,7.261,9.411,29.610246523,+30,30.0,passes_displayed_arithmetic
AMZN,SR+RE+PC_no_RM,MDD,-11.036,-17.873,-61.951794128,-62,-62.0,passes_displayed_arithmetic
AMZN,SR+RE+PC_no_RM,AV,22.615,23.072,2.020782666,+2,2.0,passes_displayed_arithmetic
AMZN,all_enabled,SPR,0.601,3.859,542.096505824,+542,542.0,passes_displayed_arithmetic
AMZN,all_enabled,CR,7.261,40.458,457.195978515,+457,457.0,passes_displayed_arithmetic
AMZN,all_enabled,MDD,-11.036,-2.118,80.808263864,+81,81.0,passes_displayed_arithmetic
AMZN,all_enabled,AV,22.615,17.228,-23.820473137,-24,-24.0,passes_displayed_arithmetic
MSFT,RM+PC,SPR,0.466,0.733,57.296137339,+57,57.0,passes_displayed_arithmetic
MSFT,RM+PC,CR,6.362,9.561,50.282929896,+50,50.0,passes_displayed_arithmetic
MSFT,RM+PC,MDD,-12.182,-10.105,17.049745526,+17,17.0,passes_displayed_arithmetic
MSFT,RM+PC,AV,29.107,25.14,-13.629023946,-14,-14.0,passes_displayed_arithmetic
MSFT,SR+RE+PC_no_RM,SPR,0.466,1.423,205.364806867,+205,205.0,passes_displayed_arithmetic
MSFT,SR+RE+PC_no_RM,CR,6.362,17.535,175.620873939,+176,176.0,passes_displayed_arithmetic
MSFT,SR+RE+PC_no_RM,MDD,-12.182,-12.646,-3.808898375,-4,-4.0,passes_displayed_arithmetic
MSFT,SR+RE+PC_no_RM,AV,29.107,22.368,-23.152506270,-23,-23.0,passes_displayed_arithmetic
MSFT,all_enabled,SPR,0.466,1.655,255.150214592,+255,255.0,passes_displayed_arithmetic
MSFT,all_enabled,CR,6.362,20.273,218.657654826,+219,219.0,passes_displayed_arithmetic
MSFT,all_enabled,MDD,-12.182,-9.887,18.839271056,+19,19.0,passes_displayed_arithmetic
MSFT,all_enabled,AV,29.107,21.952,-24.581715738,-25,-25.0,passes_displayed_arithmetic
COIN,RM+PC,SPR,-1.321,0.897,167.903103709,+168,168.0,passes_displayed_arithmetic
COIN,RM+PC,CR,-22.138,21.267,196.065588581,+196,196.0,passes_displayed_arithmetic
COIN,RM+PC,MDD,-22.138,-32.02,-44.638178697,-45,-45.0,passes_displayed_arithmetic
COIN,RM+PC,AV,35.321,57.471,62.710568783,+63,63.0,passes_displayed_arithmetic
COIN,SR+RE+PC_no_RM,SPR,-1.321,1.457,210.295230886,+210,210.0,passes_displayed_arithmetic
COIN,SR+RE+PC_no_RM,CR,-22.138,50.71,329.063149336,+329,329.0,passes_displayed_arithmetic
COIN,SR+RE+PC_no_RM,MDD,-22.138,-21.065,4.846869636,+5,5.0,passes_displayed_arithmetic
COIN,SR+RE+PC_no_RM,AV,35.321,70.327,99.108179270,+99,99.0,passes_displayed_arithmetic
COIN,all_enabled,SPR,-1.321,2.051,255.261165783,+255,255.0,passes_displayed_arithmetic
COIN,all_enabled,CR,-22.138,70.601,418.913180956,+419,419.0,passes_displayed_arithmetic
COIN,all_enabled,MDD,-22.138,-21.525,2.768994489,+3,3.0,passes_displayed_arithmetic
