profile,training_years,ticker,strategy,metric,paper_rendered_value,paper_numeric_value,fresh_execution_value,fresh_execution_matches_paper,guard_adapter_used,strategy_formula_changed,paper_result_credit,credit_exclusion
two_year_with_available_coin_history,2,AMZN,XGBoost,AV,22.413,22.413,22.413008833,True,True,False,False,uniform-window diagnostic; mixed hidden lineage is credited once in finsaber_execution_ledger.csv
two_year_with_available_coin_history,2,AMZN,XGBoost,CR,-5.295,-5.295,-5.2950408,True,True,False,False,uniform-window diagnostic; mixed hidden lineage is credited once in finsaber_execution_ledger.csv
two_year_with_available_coin_history,2,AMZN,XGBoost,MDD,-19.91,-19.91,-19.909868258,True,True,False,False,uniform-window diagnostic; mixed hidden lineage is credited once in finsaber_execution_ledger.csv
two_year_with_available_coin_history,2,AMZN,XGBoost,SPR,-0.361,-0.361,-0.360530210069,True,True,False,False,uniform-window diagnostic; mixed hidden lineage is credited once in finsaber_execution_ledger.csv
two_year_with_available_coin_history,2,COIN,XGBoost,AV,68.724,68.724,73.3620483439,False,True,False,False,uniform-window diagnostic; mixed hidden lineage is credited once in finsaber_execution_ledger.csv
two_year_with_available_coin_history,2,COIN,XGBoost,CR,84.256,84.256,61.4399294,False,True,False,False,uniform-window diagnostic; mixed hidden lineage is credited once in finsaber_execution_ledger.csv
two_year_with_available_coin_history,2,COIN,XGBoost,MDD,-31.901,-31.901,-29.4555977247,False,True,False,False,uniform-window diagnostic; mixed hidden lineage is credited once in finsaber_execution_ledger.csv
two_year_with_available_coin_history,2,COIN,XGBoost,SPR,1.52,1.52,1.21814994348,False,True,False,False,uniform-window diagnostic; mixed hidden lineage is credited once in finsaber_execution_ledger.csv
two_year_with_available_coin_history,2,MSFT,XGBoost,AV,19.503,19.503,19.5031094684,True,True,False,False,uniform-window diagnostic; mixed hidden lineage is credited once in finsaber_execution_ledger.csv
two_year_with_available_coin_history,2,MSFT,XGBoost,CR,15.874,15.874,15.874125369,True,True,False,False,uniform-window diagnostic; mixed hidden lineage is credited once in finsaber_execution_ledger.csv
