ticker,strategy,metric,paper_rendered_value,paper_numeric_value,fresh_execution_value,fresh_execution_matches_paper,execution_configuration,pinned_default_execution_value,pinned_default_execution_matches_paper,historical_source_csv_value,historical_source_csv_matches_paper,fresh_execution_matches_source_csv_at_3dp,native_tradinggroup_credit
MSFT,SMA Cross,MDD,-13.809,-13.809,-13.8094609929,True,pinned_default,-13.8094609929,True,-8.746,False,False,False
MSFT,SMA Cross,SPR,-0.145,-0.145,-0.144748036351,True,pinned_default,-0.144748036351,True,1.515,False,False,False
MSFT,Turn of The Month,AV,15.09,15.09,15.0901169653,True,pinned_default,15.0901169653,True,15.097,False,False,False
MSFT,Turn of The Month,CR,0.951,0.951,0.950803268783,True,pinned_default,0.950803268783,True,0.97,False,False,False
MSFT,Turn of The Month,MDD,-11.95,-11.95,-11.9501892641,True,pinned_default,-11.9501892641,True,-11.955,True,False,False
MSFT,Turn of The Month,SPR,-0.036,-0.036,-0.0357579265526,True,pinned_default,-0.0357579265526,True,-0.034,False,False,False
MSFT,WMA Cross,AV,16.376,16.376,16.3757329274,True,pinned_default,16.3757329274,True,21.503,False,False,False
MSFT,WMA Cross,CR,-3.421,-3.421,-3.42061315408,True,pinned_default,-3.42061315408,True,16.576,False,False,False
MSFT,WMA Cross,MDD,-14.748,-14.748,-14.748349125,True,pinned_default,-14.748349125,True,-8.883,False,False,False
MSFT,WMA Cross,SPR,-0.427,-0.427,-0.42658112813,True,pinned_default,-0.42658112813,True,1.334,False,False,False
MSFT,XGBoost,AV,19.503,19.503,19.5031094684,True,historical_two_year_model_window,16.7243689938,False,16.721,False,False,False
MSFT,XGBoost,CR,15.874,15.874,15.874125369,True,historical_two_year_model_window,12.6858508723,False,12.678,False,False,False
MSFT,XGBoost,MDD,-11.028,-11.028,-11.0282160458,True,historical_two_year_model_window,-10.7247739169,False,-10.734,False,False,False
MSFT,XGBoost,SPR,0.989,0.989,0.989400984792,True,historical_two_year_model_window,0.895083770242,False,0.895,False,False,False
NFLX,ARIMA,AV,31.591,31.591,31.5906961505,True,historical_two_year_model_window,25.7494225949,False,25.749,False,False,False
NFLX,ARIMA,CR,53.64,53.64,53.6401168,True,historical_two_year_model_window,23.7783689,False,23.783,False,False,False
NFLX,ARIMA,MDD,-13.247,-13.247,-13.2474428828,True,historical_two_year_model_window,-15.0455857021,False,-15.043,False,False,False
NFLX,ARIMA,SPR,1.946,1.946,1.94578117754,True,historical_two_year_model_window,1.15873599152,False,1.159,False,False,False
NFLX,ATR Band,AV,19.315,19.315,19.3145747208,True,pinned_default,19.3145747208,True,19.314,False,False,False
NFLX,ATR Band,CR,2.992,2.992,2.9921928,True,pinned_default,2.9921928,True,2.992,True,True,False
NFLX,ATR Band,MDD,-12.231,-12.231,-12.2309610409,True,pinned_default,-12.2309610409,True,-12.231,True,True,False
NFLX,ATR Band,SPR,0.15,0.15,0.150300364104,True,pinned_default,0.150300364104,True,0.15,True,True,False
NFLX,Bollinger Bands,AV,16.754,16.754,16.7539545149,True,pinned_default,16.7539545149,True,16.754,True,True,False
