candidate_id,benchmark_id,n_months,sample_start,sample_end,alpha_annualized,alpha_t_hac,p_value,holm_p_within_benchmark,positive_alpha,holm_positive_5pct,hac_lags,benchmark_label
quantevolver_price_zscore_reversal_120,capm,150,2009-08-31,2022-01-31,0.009118497926925059,0.23985607040168191,0.8104418375386205,1.0,True,False,4,CAPM
quantevolver_return_log_volume_corr_60,capm,150,2009-08-31,2022-01-31,0.017265243364193925,0.8975557070335674,0.36942246182545835,1.0,True,False,4,CAPM
quantevolver_return_sharpe_60,capm,150,2009-08-31,2022-01-31,0.012249689311478715,0.3252834006170352,0.7449665927460312,1.0,True,False,4,CAPM
quantevolver_price_zscore_reversal_120,ff3,150,2009-08-31,2022-01-31,0.06950820555606094,2.600934010610762,0.009297033559996682,0.027891100679990045,True,True,4,FF3
quantevolver_return_log_volume_corr_60,ff3,150,2009-08-31,2022-01-31,0.002548814243069449,0.1289084733535101,0.8974300718485143,0.8974300718485143,True,False,4,FF3
quantevolver_return_sharpe_60,ff3,150,2009-08-31,2022-01-31,-0.04244607486620505,-1.5294587978128065,0.12615074578413799,0.25230149156827597,False,False,4,FF3
quantevolver_price_zscore_reversal_120,ff5_mom,150,2009-08-31,2022-01-31,0.05846519276063378,2.0237861944048467,0.0429921553052527,0.12897646591575812,True,False,4,FF5+Momentum
quantevolver_return_log_volume_corr_60,ff5_mom,150,2009-08-31,2022-01-31,-0.004008847614354719,-0.2491023004272976,0.8032816500537155,0.8760923219066203,False,False,4,FF5+Momentum
quantevolver_return_sharpe_60,ff5_mom,150,2009-08-31,2022-01-31,-0.022903633734157873,-0.7754967909815101,0.43804616095331017,0.8760923219066203,False,False,4,FF5+Momentum
quantevolver_price_zscore_reversal_120,ff5_mom_jkp132,150,2009-08-31,2022-01-31,0.055949285820878825,1.9951369538748713,0.04602794491995113,0.1380838347598534,True,False,4,FF5+Momentum+JKP132
quantevolver_return_log_volume_corr_60,ff5_mom_jkp132,150,2009-08-31,2022-01-31,0.006713086230964472,0.4007375181786265,0.6886133851001914,0.7404872914398044,True,False,4,FF5+Momentum+JKP132
quantevolver_return_sharpe_60,ff5_mom_jkp132,150,2009-08-31,2022-01-31,-0.026438762170687295,-0.8960170713874863,0.3702436457199022,0.7404872914398044,False,False,4,FF5+Momentum+JKP132
