source_member,bytes,sha256,role,raw_experimental_array_or_table,native_pipeline_code
algorithm.sty,2223,93fd0eb31c112eb405833db8f1d7f5d238c7e691b1c05680d7276e68f36d564a,latex_style,no,no
algorithmic.sty,7414,48d18794a5d97c0479a588cc2eac0917992feb9da83acc4631b8f55757d80f9b,latex_style,no,no
fancyhdr.sty,20521,b56ec4434b9f4607529a4b23dc68ad8d4b94f1f631c8cddaf7da78140d53a5ea,latex_style,no,no
figs/analysis.pdf,32379,6861a10d1fed14ec731aee470cae756bf3942df1cb725fdca4af621a2f9404f5,active_method_figure,no,no
figs/corr_mat.pdf,4325,1a9bafbe0b7611a1142f5abb7d054f88b2e1771052a65f85d3a8219b41766722,inactive_source_figure,no,no
figs/example_rafa.pdf,587423,67ece1408413807303bdba2ef46a3a86475caefc632f9188c43cd23991ef719c,inactive_source_figure,no,no
figs/ic_self_improving.pdf,19902,a4bdc88938739bf47c1f178ae039f887088d34ec70483d151a39146ccc4d3a52,inactive_source_figure,no,no
figs/inner_loop.pdf,34406,abb3658a5adb6a3ff7ca0e40eeacd376c01058341e481bb09fb7bf57709fec77,inactive_source_figure,no,no
figs/inner_loop_effect.pdf,8797,e38a86f75e9c00f8895ea666c1dbb53b0b9881daaeaf11329b26b1fcb47d3f8a,inactive_source_figure,no,no
figs/mean_accu_model_perf.pdf,22500,4b7f95fdc71566925fc73a033a7f745de31627cceaca07975c3abf8fc10a753b,inactive_source_figure,no,no
figs/mean_grp_ic.pdf,22500,f13c9dac116ceb69d02513bab4d266fbcd7d9de692bff05cb6362eb4517bb8c1,inactive_source_figure,no,no
figs/mean_grp_model_perf.pdf,22500,412dc63365cddc7fb241259dd5b3604e5c301b06fc1c4d103497a464608c26fe,inactive_source_figure,no,no
figs/mean_grp_ret.pdf,22489,b77ddbfa155aade8cb2bcfd0ba608927086432bcb16e52da29ea55720c57aa86,inactive_source_figure,no,no
figs/mean_grp_sp.pdf,22500,d6fd3a97a26c4a4a88f8a1ae8b67ac8c272e3e5a964081459896c66c6df745b6,inactive_source_figure,no,no
figs/mean_grp_valid.pdf,22500,045e3cdc8879128e8d02da7690e4e3fb99afc491a66c7e7301d50179634d1d0e,inactive_source_figure,no,no
