case,primary,missing_return_policy,cost_bps_one_way,full_months,full_arithmetic_annualized_return,full_cagr,full_cumulative_return,full_annualized_volatility,full_annualized_sharpe,full_maximum_drawdown,evaluation_months,evaluation_start,evaluation_end,jkp_residual_mean_annualized,jkp_residual_se_annualized,jkp_residual_t_hac,jkp_residual_p_two_sided,exploratory_bonferroni69_p,hac_lags,average_traded_notional,annualized_linear_cost_drag,cash_months,maximum_missing_forward_gross_weight
zero_cost_0,False,zero,0.0,305,0.016118413840882626,-0.04391178419593633,-0.6806085498366683,0.3442407526122543,0.04682308447959406,-0.9838181466887439,185,2009-08-31,2024-12-31,0.04331405054573574,0.04922702483324551,0.8798835739608534,0.3789223840231394,1.0,4,0.7304112896599461,0.0,0,0.30000000000000004
zero_cost_5,False,zero,5.0,305,0.011735946102922938,-0.048140011858858966,-0.7146361871462981,0.344267137449679,0.03408964965364538,-0.9844959073106258,185,2009-08-31,2024-12-31,0.03766624730389894,0.04919566912052585,0.7656415285585271,0.4438896272052856,1.0,4,0.7304112896599461,0.004382467737959676,0,0.30000000000000004
zero_cost_10,True,zero,10.0,305,0.007353478364963268,-0.052351307765300725,-0.745050639587755,0.3442940991574385,0.021358130688149474,-0.9851455787961186,185,2009-08-31,2024-12-31,0.035219037185664506,0.04958843667623039,0.7102268098430761,0.4775634980562181,1.0,4,0.7304112896599461,0.008764935475919352,0,0.30000000000000004
zero_cost_25,False,zero,25.0,305,-0.0057939248489157665,-0.06488421285755286,-0.8182412592319824,0.34437844413331953,-0.016824295909394257,-0.9869373445297587,185,2009-08-31,2024-12-31,0.02219623724436688,0.04969969388328644,0.4466071218968066,0.6551587525131719,1.0,4,0.7304112896599461,0.02191233868979838,0,0.30000000000000004
zero_cost_50,False,zero,50.0,305,-0.027706263538714138,-0.08543939765941744,-0.8966880028299683,0.3445305432912958,-0.0804174378098283,-0.9894606011744385,185,2009-08-31,2024-12-31,0.0016309493362674842,0.04978357050472951,0.032760794770888155,0.9738653426588053,1.0,4,0.7304112896599461,0.04382467737959676,0,0.30000000000000004
adverse_100_cost_10,False,adverse_100,10.0,305,-0.15783547391589597,-0.21086272210440993,-0.9975680150382081,0.37794908716571274,-0.41761041176081104,-0.9988203104281022,185,2009-08-31,2024-12-31,-0.18168525944266212,0.06769216316000914,-2.683992517910807,0.007274873431976661,0.5019662668063897,4,0.7256655097861976,0.008707986117434372,0,0.30000000000000004
