source_member,bytes,sha256,role,native_pipeline_code,raw_experiment_data_or_result_array,paper_result_credit
acl.sty,11830,f2168b57b2f445aac55af82662c8aa9dbad771f6393da5a154fa163abec2e76a,latex_style,no,no,no
acl_latex.bbl,16764,e7e0cd171006df9af4f5b2d29b5435ed26fb180e45bcc34874a42c67497d3b90,bibliography_source_or_build_product,no,no,no
acl_latex.tex,53510,1cdb5b14dfb4d631f55ed555b34088d5d9e0820d11400cf6140aa4f6a8bfc969,paper_tex_source,no,no,no
acl_natbib.bst,47709,391788478ae013cc539e3e44681e22e8e0f6c4c44fee5af28244dd5ac6a4059b,bibliography_source_or_build_product,no,no,no
anthology.bib,48553834,edfd06581fe486787b8aac5208efa035a89933b583e335ecfa951f9fddf2451c,bibliography_source_or_build_product,no,no,no
casestudy.jpg,786933,8824a792b2111d37942af3e0210fd14993e0225600d82ec482b20e0c60d4bc39,paper_figure_asset,no,no,no
custom.bib,12343,6fb2f61b64c129af90e1f35fd048010995296c9ecf8ed4a3efde8b0cad53c795,bibliography_source_or_build_product,no,no,no
outline.jpg,452741,b7607678fc7a02d5272b4af27d4ce4c4a089624bcc7d31bedffd3c615a23b97d,paper_figure_asset,no,no,no
overall.jpg,1060328,b05474faa46a5cbd1fc3629f71a9328e8b9203f4d7aa4f70b2acab319a35d3c1,paper_figure_asset,no,no,no
