comparison_id,official_pdf_sha256,rebuilt_pdf_sha256,official_pages,rebuilt_pages,official_tokens,rebuilt_tokens,token_multiset_jaccard,token_sequence_ratio,source_relationship,compatibility_patch,document_credit,native_system_or_result_credit
arxiv_v1_source_rebuild,c8100b3c2f4b5bf2e3f033407f2bbb82b262d2fa4c1a0a83faff94c28e371ed8,c01a9e42c69dca0815f22f102c2cafdf5e3e76ec5e043c82cb6675deaf8df1e2,12,12,6944,6938,0.9991359447004609,0.9995677856216684,exact arXiv v1 source archive,none,yes,no
arxiv_v1_source_to_acl_final,a9b0480bfb2387459cae2dcefef8e0d9a499331d0d2cf0efeedec7b0392ef635,c01a9e42c69dca0815f22f102c2cafdf5e3e76ec5e043c82cb6675deaf8df1e2,12,12,6905,6938,0.9641032917139614,0.9805677959979773,arXiv v1 source compared with separately produced ACL final,none,yes,no
