repository,path,source_object_id,bytes,present_in_commit_indices,first_commit_index,last_commit_index,json_shape,top_level_keys,iso_dates,contains_error_marker,content_emitted,native_author_output,paper_result_credit
Kuon12138/SKGP,logs/llm_factor.log,5e16290bf96340053536455fa797e2901a9eb46c,2257,1,1,1,not_json,,2025-04-02,true,no_metadata_only,no,no
Kuon12138/SKGP,logs/llm_factor.log,976778cf2deb22cd3fe0f6f8284f6c45329ca7fd,6126,6|7,6,7,not_json,,,false,no_metadata_only,no,no
Kuon12138/SKGP,logs/llm_factor.log,f28ff660d6ae81e560f75f17b5493c5026ec8044,3166,2|3|4|5,2,5,not_json,,2025-04-02|2025-04-03,true,no_metadata_only,no,no
Kuon12138/SKGP,predictions/600519.SH.json,bb72eb8c72f8cfbbf6508d289489e61a2a6d57ac,751,7,7,7,dict,historical_evaluation,2021-12-20|2021-12-21,false,no_metadata_only,no,no
Kuon12138/SKGP,predictions/AAPL.json,a0681b5c03bc2872fd4fc780dc082f33553970af,756,7,7,7,dict,historical_evaluation,2021-12-20|2021-12-21,false,no_metadata_only,no,no
Kuon12138/SKGP,predictions/CN_600519.SH_20250403.json,ed16f4e18e8807ce3d469fcf81319e846687d62c,12689,4|5|6,4,6,dict,current_prediction|historical_evaluation,2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,predictions/CN_600519.SH_20250404.json,8ca3ab7889fbfe8a1be2386245e4ca01f680ad2c,1613,5|6,5,6,dict,current_prediction|historical_evaluation,2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,predictions/US_AAPL_20250403.json,4ea0ec0476288e2e885f2fc1106a892f4d129a5a,11957,4|5|6,4,6,dict,current_prediction|historical_evaluation,2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,predictions/US_AAPL_20250404.json,70b01fd635fa95b93bc70e6127a373f1f7ae4723,435,5|6,5,6,dict,current_prediction|historical_evaluation,2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,predictions/summary_20250403.json,53f2eb79c11e68d5c95ab103aa59df7f14552e5e,28755,4|5|6,4,6,dict,cn_market|metrics|timestamp|us_market,2021-12-31|2025-04-03,false,no_metadata_only,no,no
Kuon12138/SKGP,predictions/summary_20250404.json,923493d54da3be09157d6b36a6c2636d9ae8d329,2868,5|6,5,6,dict,cn_market|metrics|timestamp|us_market,2021-12-31|2025-04-04,false,no_metadata_only,no,no
Kuon12138/SKGP,result/000001.SZ.json,8cabee0728b50551f7f506bc52005d7177b865e5,238,4|5|6,4,6,dict,confidence|date|factors|knowledge|news_count|prediction|reasoning,,false,no_metadata_only,no,no
Kuon12138/SKGP,result/600519.SH.json,33d2525bc6c22dd5efaf842f232bde9adfc8e1b2,2123,2|3,2,3,dict,confidence|date|features|news_count|prediction|reasoning,2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,result/600519.SH.json,47cddf84710e1c3b15b2550f3cddf1aff3cf8cf2,3251,6,6,6,dict,confidence|date|factors|knowledge|news_count|prediction|reasoning,2021-12-28|2021-12-29|2021-12-30|2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,result/600519.SH.json,d36772fc4b0b4e14575f033cd9a9b829a44bf2f8,1050,4,4,4,dict,confidence|date|factors|knowledge|news_count|prediction|reasoning,2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,result/600519.SH.json,db6cd7f7d32032a4608fdddcae149ee2b9cf9dd0,3474,5,5,5,dict,confidence|date|factors|knowledge|news_count|prediction|reasoning,2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,result/600519.SH.json,de2edd05b9c9ec54569e8bb7e5e8fdc6a6f92a3b,4636,7,7,7,dict,confidence|date|factors|knowledge|news_count|prediction|reasoning,2021-12-22|2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,result/600519.SH_prediction.json,46f03b48b10ae231d444c2a16606ecc3cad905b9,232,7,7,7,dict,confidence|factors|knowledge|market|prediction|reasoning|symbol|timestamp,2025-04-14,true,no_metadata_only,no,no
Kuon12138/SKGP,result/601012.SH.json,8cabee0728b50551f7f506bc52005d7177b865e5,238,4|5|6,4,6,dict,confidence|date|factors|knowledge|news_count|prediction|reasoning,,false,no_metadata_only,no,no
