month,candidate_excess_return
2022-04-30,-0.030671605428725438
2022-05-31,0.015158153177638255
2022-06-30,-0.0405722226337176
2022-07-31,-0.0027439725554978247
2022-08-31,-0.013652113757062795
2022-09-30,-0.017448435217102373
2022-10-31,0.03244098610794974
2022-11-30,0.034557504990256636
2022-12-31,-0.020343104420542008
2023-01-31,0.03741381326480642
2023-02-28,0.0006408147611356729
2023-03-31,0.02880874910184105
2023-04-30,0.0029285935719747143
2023-05-31,0.030417707206900516
2023-06-30,0.01274945182163067
2023-07-31,0.01750779748839833
2023-08-31,-0.0018419937963712015
2023-09-30,-0.019122982145222716
2023-10-31,-0.0039256423305002825
2023-11-30,0.036540791987413605
2023-12-31,0.015515920895987025
2024-01-31,0.003762093207757704
2024-02-29,0.03033911431158344
2024-03-31,0.0028941466102927
2024-04-30,-0.01365144117363768
2024-05-31,0.030339811290968983
2024-06-30,0.018044756183820208
2024-07-31,-0.004989128453335065
2024-08-31,0.00784086053762798
2024-09-30,0.002276080795111564
2024-10-31,-0.0014819453392850672
2024-11-30,0.014350723374375316
2024-12-31,0.004793643024387842
2025-01-31,0.009175232921289106
2025-02-28,-0.011962120646174565
2025-03-31,-0.026355907852383197
