paper_role,ticker,rows,exact_numeric_matches,within_1e_6,reward_regime_matches,reward_regime_mismatches,mean_absolute_error,maximum_absolute_error
paper_train,GOOGL,395,0,0,395,0,0.003107458176356079,0.012612227795290476
paper_train,META,395,0,0,395,0,0.0016901268644212112,0.012591884252040053
paper_train,MSFT,395,0,1,394,1,0.0012532250902529238,0.004356576009924451
paper_train,NVDA,395,0,0,393,2,0.013925141476535723,0.07833480164617068
paper_train,TSLA,395,395,395,395,0,2.0656384479131424e-16,1.7763568394002505e-15
paper_validation_released_as_test,GOOGL,128,0,0,128,0,0.0021472783132949168,0.006180000471641467
paper_validation_released_as_test,META,128,0,0,128,0,0.0007149454351464467,0.0022966927493386358
paper_validation_released_as_test,MSFT,128,0,1,128,0,0.0009007662330634536,0.0026904660880329168
paper_validation_released_as_test,NVDA,128,0,0,128,0,0.002813578689181657,0.009378256726201073
paper_validation_released_as_test,TSLA,128,128,128,128,0,2.9045776200886664e-16,1.7763568394002505e-15
