purpose,ticker,filename,sha256,observations,minimum_date,maximum_date,retrieval_date,interpretation,observations_in_paper_date_bounds,paper_stated_trading_days,rolling_60_observation_windows_step_5
released_reward_label_recomputation,GOOGL,GOOGL.json,037fbef0c710f50179ca215eadcecad8503abc132d97f2903b117f5b4bfc238a,573,2022-08-22,2024-11-29,2026-08-11,current historical retrieval; not the unavailable paper snapshot,,,
released_reward_label_recomputation,META,META.json,c61a58e13d2ea27818a86274056772a9645072d8c73f3f2ef463f3734e06c555,573,2022-08-22,2024-11-29,2026-08-11,current historical retrieval; not the unavailable paper snapshot,,,
released_reward_label_recomputation,MSFT,MSFT.json,e26ad2800ad0653c04ffe9260873aa76534df5434e0465528a6a5fc63cdc7203,573,2022-08-22,2024-11-29,2026-08-11,current historical retrieval; not the unavailable paper snapshot,,,
released_reward_label_recomputation,NVDA,NVDA.json,1973a33df8baf21edf81d07446fb0c824895a5076ba2524f227ca1be63692e9a,573,2022-08-22,2024-11-29,2026-08-11,current historical retrieval; not the unavailable paper snapshot,,,
released_reward_label_recomputation,TSLA,TSLA.json,ac17e753b4a70073d858ecc05003fd538b71e4c7cfdfe23cbc12bbb65e66189a,573,2022-08-22,2024-11-29,2026-08-11,current historical retrieval; not the unavailable paper snapshot,,,
paper_test_buy_and_hold_reconstruction,GOOGL,GOOGL.json,4678d44c049d663ffa0da3e3b2268de13f6549cfe00dcd4d9b13e04317e3d555,,2025-01-02,2025-06-30,2026-08-11,current historical retrieval; not the unavailable paper snapshot,122,122,13
paper_test_buy_and_hold_reconstruction,META,META.json,15d480ceb8ab217ca7f877ee16825d12ffe9eb50a5643cace4304e30745d6a00,,2025-01-02,2025-06-30,2026-08-11,current historical retrieval; not the unavailable paper snapshot,122,122,13
paper_test_buy_and_hold_reconstruction,MSFT,MSFT.json,e8df24829b9fd4408e08634bd21c4c72b2550754788335c8210c8e531bc95b5c,,2025-01-02,2025-06-30,2026-08-11,current historical retrieval; not the unavailable paper snapshot,122,122,13
paper_test_buy_and_hold_reconstruction,NVDA,NVDA.json,b8e5a5f202907d25002bf71ee3e9092520f6bb47c26b795d0b13980ebdd29700,,2025-01-02,2025-06-30,2026-08-11,current historical retrieval; not the unavailable paper snapshot,122,122,13
paper_test_buy_and_hold_reconstruction,TSLA,TSLA.json,14bedddfb21edc67bef3d7067ce56bc96e5806957dbfd7244f1e387cfcf3bd35,,2025-01-02,2025-06-30,2026-08-11,current historical retrieval; not the unavailable paper snapshot,122,122,13
