paper_role,ticker,released_labels,exact_numeric_matches,maximum_absolute_error,scale_interval_lower,scale_interval_upper,scale_interval_midpoint,scale_interval_width,price_path_variables,label_equations,algebraic_nullity_before_market_reference,cent_path_minimum_date,cent_path_maximum_date,cent_path_sha256,current_yahoo_reference_sha256,reconstruction_class,absolute_author_price_level_uniquely_identified,paper_2025_test_snapshot_recovered,native_alphaquanter_result_credit,paper_result_credit
paper_train,GOOGL,395,395,1.7763568394002505e-15,1.002852790625871,1.0028530686312027,1.002852929628537,2.780053316442377e-07,402,395,7,2022-09-02,2024-04-10,2647845d86c263095ba0c6dfc62d461a01f19a86074bc69d199f62746b71ab3f,037fbef0c710f50179ca215eadcecad8503abc132d97f2903b117f5b4bfc238a,constant_adjustment_scale_on_pinned_current_yahoo_reference,False,False,False,False
paper_train,META,395,395,3.552713678800501e-15,1.003277361985582,1.0032776384058608,1.0032775001957215,2.7642027888852283e-07,402,395,7,2022-09-02,2024-04-10,66a9e0eba7e7aa380237be4db3684144ab27cc615b17e6a701f5bee91959f7e4,c61a58e13d2ea27818a86274056772a9645072d8c73f3f2ef463f3734e06c555,constant_adjustment_scale_on_pinned_current_yahoo_reference,False,False,False,False
paper_train,MSFT,395,395,1.7763568394002505e-15,1.007987424387945,1.0079876797405944,1.0079875520642698,2.5535264946974223e-07,402,395,7,2022-09-02,2024-04-10,e083fe78bd31f9f9d899a61c6e6f65e2f4fce17311e83e9db668de745cb3b9cd,e26ad2800ad0653c04ffe9260873aa76534df5434e0465528a6a5fc63cdc7203,constant_adjustment_scale_on_pinned_current_yahoo_reference,False,False,False,False
paper_train,NVDA,395,395,1.7763568394002505e-15,1.0013314801640691,1.0013319379320265,1.0013317090480478,4.577679573181115e-07,402,395,7,2022-09-02,2024-04-10,0e4b7f7d16afb4bceb741e725d40690a8d76b5add4e30cae9e8a1a713a78e65a,1973a33df8baf21edf81d07446fb0c824895a5076ba2524f227ca1be63692e9a,constant_adjustment_scale_on_pinned_current_yahoo_reference,False,False,False,False
paper_train,TSLA,395,395,1.7763568394002505e-15,0.9999858249698538,1.0000141888797394,1.0000000069247965,2.8363909885587013e-05,402,395,7,2022-09-02,2024-04-10,590b65ccaad5b5645332b8a69f26b58ed86d6533e262adea07a6e6943f9e322a,ac17e753b4a70073d858ecc05003fd538b71e4c7cfdfe23cbc12bbb65e66189a,constant_adjustment_scale_on_pinned_current_yahoo_reference,False,False,False,False
paper_validation_released_as_test,GOOGL,128,128,8.881784197001252e-16,1.002852790625871,1.0028530686312027,1.002852929628537,2.780053316442377e-07,135,128,7,2024-05-16,2024-11-26,a12ce04ccd8e3c5d89a12cc924979db8d59e17b8292ecdca65b7f935e5148545,037fbef0c710f50179ca215eadcecad8503abc132d97f2903b117f5b4bfc238a,constant_adjustment_scale_on_pinned_current_yahoo_reference,False,False,False,False
paper_validation_released_as_test,META,128,128,8.881784197001252e-16,1.003277361985582,1.0032776384058608,1.0032775001957215,2.7642027888852283e-07,135,128,7,2024-05-16,2024-11-26,8b9b8ec07c452664e8767fb378782ce03dc672c9f1927374e04557b0d118f08e,c61a58e13d2ea27818a86274056772a9645072d8c73f3f2ef463f3734e06c555,constant_adjustment_scale_on_pinned_current_yahoo_reference,False,False,False,False
paper_validation_released_as_test,MSFT,128,128,8.881784197001252e-16,1.007987424387945,1.0079876797405944,1.0079875520642698,2.5535264946974223e-07,135,128,7,2024-05-16,2024-11-26,21142ca6af135659ed7bdd846eb9cbedc1659d7afe40b1f1f3534b38ee079aed,e26ad2800ad0653c04ffe9260873aa76534df5434e0465528a6a5fc63cdc7203,constant_adjustment_scale_on_pinned_current_yahoo_reference,False,False,False,False
paper_validation_released_as_test,NVDA,128,128,1.7763568394002505e-15,1.0013314801640691,1.0013319379320265,1.0013317090480478,4.577679573181115e-07,135,128,7,2024-05-16,2024-11-26,dfcd4505c38ea34df281ba20443567baf5c337d7699c1c0a59bcc9d661fe98b3,1973a33df8baf21edf81d07446fb0c824895a5076ba2524f227ca1be63692e9a,constant_adjustment_scale_on_pinned_current_yahoo_reference,False,False,False,False
paper_validation_released_as_test,TSLA,128,128,1.7763568394002505e-15,0.9999858249698538,1.0000141888797394,1.0000000069247965,2.8363909885587013e-05,135,128,7,2024-05-16,2024-11-26,f3c764b0a5f6f4e4aab18512b8122e1fcc0a73dd565d378d8ed4935227204cad,ac17e753b4a70073d858ecc05003fd538b71e4c7cfdfe23cbc12bbb65e66189a,constant_adjustment_scale_on_pinned_current_yahoo_reference,False,False,False,False
