formation_month,training_start,training_end,reward_ready_cutoff,training_months,training_observations,ridge_r2,selected_tool_1,selected_tool_2,buy_count,sell_count,hold_count,finite_current_scores,coefficient__market_technical,coefficient__fundamental,coefficient__sentiment_proxy,coefficient__macro_proxy
1999-07-31,1994-02-28,1999-01-31,1999-01-31,60,40587,0.0033282746282996545,sentiment_proxy,market_technical,725,0,0,725,0.005744238519261934,0.0,0.011982402889534744,0.0
1999-08-31,1994-03-31,1999-02-28,1999-02-28,60,40541,0.003696292891306685,sentiment_proxy,market_technical,721,0,0,721,0.005312448356458816,0.0,0.013273820519876816,0.0
1999-09-30,1994-04-30,1999-03-31,1999-03-31,60,40499,0.0035652205152242322,sentiment_proxy,fundamental,720,0,0,720,0.0,0.00498128170480748,0.013356550873482738,0.0
1999-10-31,1994-05-31,1999-04-30,1999-04-30,60,40456,0.0037851932564360036,sentiment_proxy,fundamental,704,0,0,704,0.0,0.005352130875857546,0.013997947271316714,0.0
1999-11-30,1994-06-30,1999-05-31,1999-05-31,60,40398,0.0043394537985746995,sentiment_proxy,market_technical,689,0,0,689,0.006415346500641458,0.0,0.015407928428143544,0.0
1999-12-31,1994-07-31,1999-06-30,1999-06-30,60,40334,0.00522196057493296,sentiment_proxy,market_technical,685,0,0,685,0.007858465197813917,0.0,0.017556615211809623,0.0
2000-01-31,1994-08-31,1999-07-31,1999-07-31,60,40267,0.006030022695776904,sentiment_proxy,market_technical,679,0,0,679,0.008900625872287841,0.0,0.019597500689421763,0.0
2000-02-29,1994-09-30,1999-08-31,1999-08-31,60,40194,0.008058793297091249,sentiment_proxy,market_technical,660,0,0,660,0.011422784572869523,0.0,0.023455688964005846,0.0
2000-03-31,1994-10-31,1999-09-30,1999-09-30,60,40086,0.010749781960163851,sentiment_proxy,market_technical,676,0,0,676,0.014457926796484319,0.0,0.027971591812788927,0.0
2000-04-30,1994-11-30,1999-10-31,1999-10-31,60,39970,0.013268531678607753,sentiment_proxy,market_technical,703,0,0,703,0.017050989206901727,0.0,0.03138688861763278,0.0
2000-05-31,1994-12-31,1999-11-30,1999-11-30,60,39847,0.016234124856004617,sentiment_proxy,market_technical,705,0,3,708,0.019971631283205907,0.0,0.03512935644142296,0.0
2000-06-30,1995-01-31,1999-12-31,1999-12-31,60,39735,0.017170404163539876,sentiment_proxy,market_technical,683,0,4,687,0.02081218783233064,0.0,0.03641729780767459,0.0
2000-07-31,1995-02-28,2000-01-31,2000-01-31,60,39619,0.01874078435287041,sentiment_proxy,market_technical,674,0,16,690,0.021875421050057568,0.0,0.03832023402883834,0.0
2000-08-31,1995-03-31,2000-02-29,2000-02-29,60,39508,0.01461886301319526,sentiment_proxy,market_technical,681,0,2,683,0.019271060680159813,0.0,0.034156557617480585,0.0
2000-09-30,1995-04-30,2000-03-31,2000-03-31,60,39412,0.012976523297372977,sentiment_proxy,market_technical,686,0,3,689,0.017997775876961025,0.0,0.03234542809548886,0.0
2000-10-31,1995-05-31,2000-04-30,2000-04-30,60,39316,0.011478878728998665,sentiment_proxy,market_technical,708,0,0,708,0.016591545382491486,0.0,0.03065817989707401,0.0
2000-11-30,1995-06-30,2000-05-31,2000-05-31,60,39232,0.011744285862587134,sentiment_proxy,market_technical,728,0,0,728,0.01677229524694139,0.0,0.03101201200068815,0.0
2000-12-31,1995-07-31,2000-06-30,2000-06-30,60,39133,0.010586948269133978,sentiment_proxy,market_technical,721,0,0,721,0.016768160528481645,0.0,0.029257402856889794,0.0
2001-01-31,1995-08-31,2000-07-31,2000-07-31,60,39044,0.01066710263011783,sentiment_proxy,market_technical,721,0,0,721,0.016794764344874827,0.0,0.02954416039854219,0.0
2001-02-28,1995-09-30,2000-08-31,2000-08-31,60,38964,0.009343344876380222,sentiment_proxy,market_technical,740,0,0,740,0.0173935443732015,0.0,0.02710972224936645,0.0
2001-03-31,1995-10-31,2000-09-30,2000-09-30,60,38882,0.008200489161773072,sentiment_proxy,market_technical,754,0,0,754,0.01634854385333298,0.0,0.025570703604670914,0.0
2001-04-30,1995-11-30,2000-10-31,2000-10-31,60,38824,0.007572284147500219,sentiment_proxy,market_technical,760,0,0,760,0.016627249074621746,0.0,0.024579500471685122,0.0
2001-05-31,1995-12-31,2000-11-30,2000-11-30,60,38790,0.007021043806051952,sentiment_proxy,market_technical,757,0,0,757,0.015415976140497414,0.0,0.024240817885323805,0.0
2001-06-30,1996-01-31,2000-12-31,2000-12-31,60,38749,0.006363605541922279,sentiment_proxy,market_technical,746,0,0,746,0.013608236797795093,0.0,0.023903894418055505,0.0
2001-07-31,1996-02-29,2001-01-31,2001-01-31,60,38708,0.005887198626456258,sentiment_proxy,market_technical,757,0,0,757,0.015677642316294135,0.0,0.021853428535718863,0.0
2001-08-31,1996-03-31,2001-02-28,2001-02-28,60,38686,0.005598138820354759,sentiment_proxy,market_technical,763,0,0,763,0.016091770296867022,0.0,0.02101528069435607,0.0
2001-09-30,1996-04-30,2001-03-31,2001-03-31,60,38669,0.005351968020805731,sentiment_proxy,market_technical,776,0,0,776,0.01558734602213452,0.0,0.020670237529101763,0.0
2001-10-31,1996-05-31,2001-04-30,2001-04-30,60,38647,0.0051776541959152045,sentiment_proxy,market_technical,765,0,0,765,0.01595722733923947,0.0,0.02008257142779744,0.0
2001-11-30,1996-06-30,2001-05-31,2001-05-31,60,38623,0.005271885586720093,sentiment_proxy,market_technical,770,0,0,770,0.016271645849303448,0.0,0.020344910848542248,0.0
2001-12-31,1996-07-31,2001-06-30,2001-06-30,60,38606,0.005281911051090327,sentiment_proxy,market_technical,764,0,0,764,0.017436420481045285,0.0,0.019578285940033243,0.0
2002-01-31,1996-08-31,2001-07-31,2001-07-31,60,38600,0.005074221789541755,sentiment_proxy,market_technical,775,0,0,775,0.0183259633541481,0.0,0.01858663961902627,0.0
2002-02-28,1996-09-30,2001-08-31,2001-08-31,60,38597,0.00498920954216564,market_technical,sentiment_proxy,789,0,2,791,0.019095608246761545,0.0,0.017768011637258194,0.0
2002-03-31,1996-10-31,2001-09-30,2001-09-30,60,38596,0.004427156919109443,market_technical,sentiment_proxy,790,0,0,790,0.017137077446101514,0.0,0.016736326856767077,0.0
2002-04-30,1996-11-30,2001-10-31,2001-10-31,60,38608,0.004672624691631322,market_technical,sentiment_proxy,791,0,0,791,0.01753228141251799,0.0,0.017060579359195423,0.0
2002-05-31,1996-12-31,2001-11-30,2001-11-30,60,38616,0.004749128062469521,market_technical,sentiment_proxy,794,0,0,794,0.018371665707510917,0.0,0.01681403792427325,0.0
2002-06-30,1997-01-31,2001-12-31,2001-12-31,60,38621,0.004992256171963527,market_technical,sentiment_proxy,793,0,0,793,0.01938112864112762,0.0,0.01642799560952548,0.0
2002-07-31,1997-02-28,2002-01-31,2002-01-31,60,38644,0.005325833971841387,market_technical,sentiment_proxy,802,0,0,802,0.020656395098593988,0.0,0.015928417360955523,0.0
2002-08-31,1997-03-31,2002-02-28,2002-02-28,60,38668,0.005168046385688685,market_technical,sentiment_proxy,799,0,0,799,0.020417526404845524,0.0,0.01540940416036688,0.0
2002-09-30,1997-04-30,2002-03-31,2002-03-31,60,38689,0.005350493989965899,market_technical,sentiment_proxy,785,0,16,801,0.021830187020622928,0.0,0.013506312832871424,0.0
2002-10-31,1997-05-31,2002-04-30,2002-04-30,60,38711,0.005623089807252124,market_technical,sentiment_proxy,786,0,19,805,0.023110689947541882,0.0,0.01215968587076516,0.0
2002-11-30,1997-06-30,2002-05-31,2002-05-31,60,38734,0.005775067068984674,market_technical,sentiment_proxy,769,0,36,805,0.023913188154960883,0.0,0.011016668022903287,0.0
2002-12-31,1997-07-31,2002-06-30,2002-06-30,60,38770,0.005738393165870215,market_technical,fundamental,568,0,238,806,0.024260145092439775,0.010956821410028659,0.0,0.0
2003-01-31,1997-08-31,2002-07-31,2002-07-31,60,38820,0.005799127355584743,market_technical,fundamental,544,0,249,793,0.0244152379041737,0.010982481925797065,0.0,0.0
2003-02-28,1997-09-30,2002-08-31,2002-08-31,60,38866,0.005999250986021165,market_technical,sentiment_proxy,529,0,266,795,0.024552394048258906,0.0,0.0115074457024093,0.0
2003-03-31,1997-10-31,2002-09-30,2002-09-30,60,38908,0.00569993598897689,market_technical,sentiment_proxy,593,0,209,802,0.02305145441691781,0.0,0.012130207676610213,0.0
2003-04-30,1997-11-30,2002-10-31,2002-10-31,60,38956,0.005705630617204527,market_technical,macro_proxy,582,0,217,799,0.02184698280926398,0.0,0.0,-0.013822447006636212
2003-05-31,1997-12-31,2002-11-30,2002-11-30,60,38999,0.00567472508932132,market_technical,macro_proxy,522,0,280,802,0.022407872532759297,0.0,0.0,-0.013526327839592317
2003-06-30,1998-01-31,2002-12-31,2002-12-31,60,39044,0.0058269862733189015,market_technical,macro_proxy,499,0,299,798,0.022357754375814106,0.0,0.0,-0.014271789282206715
2003-07-31,1998-02-28,2003-01-31,2003-01-31,60,39092,0.005638541845815026,market_technical,macro_proxy,509,0,290,799,0.021579998594828495,0.0,0.0,-0.01402888953839907
2003-08-31,1998-03-31,2003-02-28,2003-02-28,60,39147,0.005423485897303015,market_technical,macro_proxy,621,0,180,801,0.019402062543292624,0.0,0.0,-0.014977884053409718
2003-09-30,1998-04-30,2003-03-31,2003-03-31,60,39215,0.004692671633208412,market_technical,sentiment_proxy,672,0,127,799,0.016185128928713155,0.0,0.014684778771609924,0.0
2003-10-31,1998-05-31,2003-04-30,2003-04-30,60,39299,0.00435850051062181,sentiment_proxy,market_technical,723,0,80,803,0.013484899111661907,0.0,0.016837807632594938,0.0
2003-11-30,1998-06-30,2003-05-31,2003-05-31,60,39392,0.004119405361585282,sentiment_proxy,market_technical,764,0,37,801,0.011283354335867808,0.0,0.017600699090105684,0.0
2003-12-31,1998-07-31,2003-06-30,2003-06-30,60,39483,0.003967748048994468,sentiment_proxy,market_technical,791,0,3,794,0.009910987421485107,0.0,0.01786842365801863,0.0
2004-01-31,1998-08-31,2003-07-31,2003-07-31,60,39570,0.004052414257151082,sentiment_proxy,market_technical,796,0,1,797,0.009014878239276151,0.0,0.018889143232499774,0.0
2004-02-29,1998-09-30,2003-08-31,2003-08-31,60,39663,0.0037539125835104326,sentiment_proxy,market_technical,787,0,3,790,0.008819756910974462,0.0,0.01838908971220759,0.0
2004-03-31,1998-10-31,2003-09-30,2003-09-30,60,39747,0.0033610679360470685,sentiment_proxy,market_technical,793,0,4,797,0.009337850767085498,0.0,0.017853899704671435,0.0
2004-04-30,1998-11-30,2003-10-31,2003-10-31,60,39832,0.0027979258439591037,sentiment_proxy,market_technical,801,0,0,801,0.00904145973816143,0.0,0.014962572479445983,0.0
2004-05-31,1998-12-31,2003-11-30,2003-11-30,60,39910,0.0021473481475604572,sentiment_proxy,market_technical,804,0,0,804,0.007250941554874436,0.0,0.012334893534717777,0.0
2004-06-30,1999-01-31,2003-12-31,2003-12-31,60,39987,0.0020357513506273905,sentiment_proxy,market_technical,804,0,0,804,0.0077005957725422,0.0,0.010389370379716803,0.0
2004-07-31,1999-02-28,2004-01-31,2004-01-31,60,40078,0.002209695146381474,sentiment_proxy,market_technical,807,0,0,807,0.009089534525125268,0.0,0.009530296749990202,0.0
2004-08-31,1999-03-31,2004-02-29,2004-02-29,60,40166,0.0022838486415475145,market_technical,macro_proxy,800,0,0,800,0.009928488640096352,0.0,0.0,-0.009030745398185774
2004-09-30,1999-04-30,2004-03-31,2004-03-31,60,40251,0.0025231634372682166,market_technical,macro_proxy,804,0,0,804,0.010613964121145358,0.0,0.0,-0.009834639637302899
2004-10-31,1999-05-31,2004-04-30,2004-04-30,60,40355,0.0024850159252917114,market_technical,macro_proxy,804,0,0,804,0.010221477740575177,0.0,0.0,-0.009942272768500987
2004-11-30,1999-06-30,2004-05-31,2004-05-31,60,40470,0.002460830627990629,macro_proxy,market_technical,808,0,0,808,0.009453300617018646,0.0,0.0,-0.011109249501321422
2004-12-31,1999-07-31,2004-06-30,2004-06-30,60,40597,0.002385944928950945,macro_proxy,fundamental,798,0,10,808,0.0,0.008679412810713225,0.0,-0.011639607110879349
2005-01-31,1999-08-31,2004-07-31,2004-07-31,60,40734,0.002447864374914066,macro_proxy,fundamental,800,0,14,814,0.0,0.009134007423940608,0.0,-0.01203245998025191
2005-02-28,1999-09-30,2004-08-31,2004-08-31,60,40884,0.002958437284063642,macro_proxy,fundamental,800,0,14,814,0.0,0.00982371199733594,0.0,-0.013488529484959934
2005-03-31,1999-10-31,2004-09-30,2004-09-30,60,41070,0.0038190960057598033,macro_proxy,fundamental,785,0,30,815,0.0,0.010572944571101767,0.0,-0.014475602516563343
2005-04-30,1999-11-30,2004-10-31,2004-10-31,60,41258,0.0050887122059645185,macro_proxy,fundamental,758,0,58,816,0.0,0.011030078946460195,0.0,-0.016207270522184247
2005-05-31,1999-12-31,2004-11-30,2004-11-30,60,41451,0.006961595736112658,macro_proxy,sentiment_proxy,745,0,74,819,0.0,0.0,-0.013813154297368483,-0.017531552440820837
2005-06-30,2000-01-31,2004-12-31,2004-12-31,60,41636,0.008220622208919504,macro_proxy,sentiment_proxy,747,0,72,819,0.0,0.0,-0.015605144630993788,-0.01887236901641227
2005-07-31,2000-02-29,2005-01-31,2005-01-31,60,41820,0.00945791290069331,macro_proxy,sentiment_proxy,692,0,123,815,0.0,0.0,-0.017418406742258988,-0.01960160983397361
2005-08-31,2000-03-31,2005-02-28,2005-02-28,60,42001,0.00846351217809993,macro_proxy,sentiment_proxy,712,0,101,813,0.0,0.0,-0.01405239769858165,-0.019917433961233095
2005-09-30,2000-04-30,2005-03-31,2005-03-31,60,42165,0.007958310543921154,macro_proxy,sentiment_proxy,710,0,105,815,0.0,0.0,-0.012776607470140451,-0.01947760168032062
2005-10-31,2000-05-31,2005-04-30,2005-04-30,60,42316,0.007464685807038518,macro_proxy,fundamental,720,0,95,815,0.0,0.012104267801328228,0.0,-0.01870330512274622
2005-11-30,2000-06-30,2005-05-31,2005-05-31,60,42457,0.007987433116182108,macro_proxy,fundamental,719,0,101,820,0.0,0.013180301659458264,0.0,-0.018294254371557527
2005-12-31,2000-07-31,2005-06-30,2005-06-30,60,42608,0.0073788914941390615,macro_proxy,fundamental,741,0,83,824,0.0,0.013625609302794038,0.0,-0.017120252537584306
2006-01-31,2000-08-31,2005-07-31,2005-07-31,60,42759,0.0070607769782286,macro_proxy,fundamental,722,0,99,821,0.0,0.013764872022215104,0.0,-0.01639596815237566
2006-02-28,2000-09-30,2005-08-31,2005-08-31,60,42906,0.0058286916844640935,macro_proxy,fundamental,753,0,69,822,0.0,0.013243456929881147,0.0,-0.014067029262671494
2006-03-31,2000-10-31,2005-09-30,2005-09-30,60,43055,0.004964683906578449,macro_proxy,fundamental,779,0,45,824,0.0,0.012280102337080597,0.0,-0.012686538949833601
2006-04-30,2000-11-30,2005-10-31,2005-10-31,60,43187,0.004524585227098976,macro_proxy,fundamental,801,0,17,818,0.0,0.011274119732912606,0.0,-0.012211692657917805
2006-05-31,2000-12-31,2005-11-30,2005-11-30,60,43300,0.004477049573352931,macro_proxy,fundamental,799,0,15,814,0.0,0.010475124324295277,0.0,-0.012604138210826765
2006-06-30,2001-01-31,2005-12-31,2005-12-31,60,43411,0.004652127419659147,macro_proxy,fundamental,804,0,11,815,0.0,0.00933434408087727,0.0,-0.013447511736529019
2006-07-31,2001-02-28,2006-01-31,2006-01-31,60,43521,0.004192732468942695,macro_proxy,fundamental,819,0,0,819,0.0,0.00876088209080829,0.0,-0.0119556874002287
2006-08-31,2001-03-31,2006-02-28,2006-02-28,60,43613,0.004581551224637215,macro_proxy,fundamental,822,0,2,824,0.0,0.008400394974394121,0.0,-0.012889333891808291
2006-09-30,2001-04-30,2006-03-31,2006-03-31,60,43699,0.0042565312579947445,macro_proxy,fundamental,812,0,5,817,0.0,0.008412428653968749,0.0,-0.012270699016705083
2006-10-31,2001-05-31,2006-04-30,2006-04-30,60,43776,0.00425322036625253,macro_proxy,fundamental,812,0,4,816,0.0,0.008406474168890824,0.0,-0.011908381985205713
2006-11-30,2001-06-30,2006-05-31,2006-05-31,60,43866,0.004194453118368524,macro_proxy,fundamental,808,0,0,808,0.0,0.008090464645227577,0.0,-0.011784047739426953
2006-12-31,2001-07-31,2006-06-30,2006-06-30,60,43942,0.003797448613171328,macro_proxy,fundamental,808,0,0,808,0.0,0.007466904056540352,0.0,-0.010642960235394495
2007-01-31,2001-08-31,2006-07-31,2006-07-31,60,44017,0.004042617208375843,macro_proxy,fundamental,818,0,0,818,0.0,0.006922137783327603,0.0,-0.010956201845276025
2007-02-28,2001-09-30,2006-08-31,2006-08-31,60,44088,0.004589496091628176,macro_proxy,fundamental,824,0,0,824,0.0,0.00661960552001027,0.0,-0.011290664011628504
2007-03-31,2001-10-31,2006-09-30,2006-09-30,60,44158,0.0032081086436926975,macro_proxy,fundamental,827,0,0,827,0.0,0.005329181297892879,0.0,-0.008281450091078982
2007-04-30,2001-11-30,2006-10-31,2006-10-31,60,44212,0.002728559186277124,macro_proxy,sentiment_proxy,809,0,0,809,0.0,0.0,0.004843375294780671,-0.007474894265243529
2007-05-31,2001-12-31,2006-11-30,2006-11-30,60,44271,0.003023537662054099,macro_proxy,sentiment_proxy,814,0,0,814,0.0,0.0,0.005258735052258789,-0.00797435518189651
2007-06-30,2002-01-31,2006-12-31,2006-12-31,60,44329,0.003402536257518851,macro_proxy,sentiment_proxy,818,0,0,818,0.0,0.0,0.0059651663386014655,-0.007630589812863575
2007-07-31,2002-02-28,2007-01-31,2007-01-31,60,44391,0.003952220164879172,sentiment_proxy,macro_proxy,819,0,0,819,0.0,0.0,0.0069847487080950425,-0.0069010308386907755
2007-08-31,2002-03-31,2007-02-28,2007-02-28,60,44449,0.00421283734168354,sentiment_proxy,macro_proxy,816,0,0,816,0.0,0.0,0.007634100397976905,-0.006760443184108348
2007-09-30,2002-04-30,2007-03-31,2007-03-31,60,44507,0.005145219336037399,sentiment_proxy,market_technical,821,0,0,821,-0.006325927302855973,0.0,0.009063348031588288,0.0
2007-10-31,2002-05-31,2007-04-30,2007-04-30,60,44550,0.005653489917072818,sentiment_proxy,market_technical,819,0,0,819,-0.006614528466740781,0.0,0.00947597269504032,0.0
2007-11-30,2002-06-30,2007-05-31,2007-05-31,60,44578,0.006471428397336054,sentiment_proxy,market_technical,807,0,0,807,-0.007279817339263335,0.0,0.010209489459408768,0.0
2007-12-31,2002-07-31,2007-06-30,2007-06-30,60,44589,0.007457100839073583,sentiment_proxy,market_technical,813,0,0,813,-0.007169828304441189,0.0,0.01064567515552356,0.0
2008-01-31,2002-08-31,2007-07-31,2007-07-31,60,44588,0.0075721378281461416,sentiment_proxy,macro_proxy,820,0,0,820,0.0,0.0,0.010942622573749594,-0.0071595619232527885
2008-02-29,2002-09-30,2007-08-31,2007-08-31,60,44592,0.0072481658445068264,sentiment_proxy,macro_proxy,819,0,0,819,0.0,0.0,0.010911873097886748,-0.007256920074918325
2008-03-31,2002-10-31,2007-09-30,2007-09-30,60,44586,0.006085886556715381,sentiment_proxy,macro_proxy,815,0,0,815,0.0,0.0,0.011895218146081745,-0.005447238102825913
2008-04-30,2002-11-30,2007-10-31,2007-10-31,60,44584,0.004725111019594608,sentiment_proxy,macro_proxy,820,0,0,820,0.0,0.0,0.011353218654382932,-0.004548726982410859
2008-05-31,2002-12-31,2007-11-30,2007-11-30,60,44594,0.005753082364353457,sentiment_proxy,macro_proxy,820,0,0,820,0.0,0.0,0.012334322097238577,-0.00546070705768861
2008-06-30,2003-01-31,2007-12-31,2007-12-31,60,44606,0.005526073676410226,sentiment_proxy,macro_proxy,822,0,0,822,0.0,0.0,0.012140754302396708,-0.005233585363975999
2008-07-31,2003-02-28,2008-01-31,2008-01-31,60,44625,0.005029816450240365,sentiment_proxy,macro_proxy,822,0,0,822,0.0,0.0,0.0117673349769214,-0.00553250635521134
2008-08-31,2003-03-31,2008-02-29,2008-02-29,60,44648,0.004481383253168492,sentiment_proxy,macro_proxy,828,0,0,828,0.0,0.0,0.011848728199154685,-0.004309210578672527
2008-09-30,2003-04-30,2008-03-31,2008-03-31,60,44670,0.004317248283660424,sentiment_proxy,macro_proxy,820,0,0,820,0.0,0.0,0.011147238869474487,-0.004720011557020255
2008-10-31,2003-05-31,2008-04-30,2008-04-30,60,44687,0.003724323929133022,sentiment_proxy,macro_proxy,821,0,0,821,0.0,0.0,0.009363978764144515,-0.005009520725285888
2008-11-30,2003-06-30,2008-05-31,2008-05-31,60,44681,0.0033626096353392976,sentiment_proxy,macro_proxy,821,0,0,821,0.0,0.0,0.007922613184941606,-0.006004311166771989
2008-12-31,2003-07-31,2008-06-30,2008-06-30,60,44662,0.0022061270494037055,sentiment_proxy,macro_proxy,822,0,0,822,0.0,0.0,0.005632426686718686,-0.005333639477861096
2009-01-31,2003-08-31,2008-07-31,2008-07-31,60,44639,0.0019490027510981056,macro_proxy,sentiment_proxy,831,0,9,840,0.0,0.0,0.0043792780627288355,-0.005940063636316795
2009-02-28,2003-09-30,2008-08-31,2008-08-31,60,44615,0.0016828937087548512,macro_proxy,sentiment_proxy,623,0,226,849,0.0,0.0,0.004148619601447523,-0.005999427471593244
2009-03-31,2003-10-31,2008-09-30,2008-09-30,60,44603,0.0014047617854876515,sentiment_proxy,macro_proxy,316,0,528,844,0.0,0.0,0.004760415647247961,-0.004667705613019042
2009-04-30,2003-11-30,2008-10-31,2008-10-31,60,44609,0.0013780999650523373,sentiment_proxy,macro_proxy,143,0,703,846,0.0,0.0,0.00515412651416001,-0.00435314921436314
2009-05-31,2003-12-31,2008-11-30,2008-11-30,60,44619,0.0018268187781462775,macro_proxy,sentiment_proxy,159,0,694,853,0.0,0.0,0.005304074004658271,-0.005829211775923325
2009-06-30,2004-01-31,2008-12-31,2008-12-31,60,44645,0.0020222609449552786,macro_proxy,sentiment_proxy,142,0,711,853,0.0,0.0,0.005319847967486737,-0.006172683702666346
2009-07-31,2004-02-29,2009-01-31,2009-01-31,60,44682,0.002970872021767046,macro_proxy,sentiment_proxy,243,0,612,855,0.0,0.0,0.006534550761991816,-0.0076197296478932065
2009-08-31,2004-03-31,2009-02-28,2009-02-28,60,44733,0.004601816873007425,macro_proxy,sentiment_proxy,450,0,404,854,0.0,0.0,0.0063076016186876215,-0.010960205207280577
2009-09-30,2004-04-30,2009-03-31,2009-03-31,60,44789,0.0068526160481166,macro_proxy,sentiment_proxy,564,0,291,855,0.0,0.0,0.007494542467258008,-0.013433195412333726
2009-10-31,2004-05-31,2009-04-30,2009-04-30,60,44843,0.007205938237637932,macro_proxy,market_technical,623,0,236,859,-0.008992135969605167,0.0,0.0,-0.012548846370152052
2009-11-30,2004-06-30,2009-05-31,2009-05-31,60,44898,0.0065919569781830445,macro_proxy,market_technical,652,0,202,854,-0.009772157017112875,0.0,0.0,-0.01083616357065511
2009-12-31,2004-07-31,2009-06-30,2009-06-30,60,44947,0.006666919921855641,market_technical,sentiment_proxy,758,0,91,849,-0.011559977833989715,0.0,0.009024138084920003,0.0
2010-01-31,2004-08-31,2009-07-31,2009-07-31,60,44992,0.006861138844760584,market_technical,sentiment_proxy,746,0,102,848,-0.012503482482511263,0.0,0.009333944994063512,0.0
2010-02-28,2004-09-30,2009-08-31,2009-08-31,60,45035,0.006738346653947014,market_technical,sentiment_proxy,756,0,90,846,-0.013445098698765813,0.0,0.009122085136122466,0.0
2010-03-31,2004-10-31,2009-09-30,2009-09-30,60,45066,0.00634348356358716,market_technical,sentiment_proxy,726,0,120,846,-0.013231096356549895,0.0,0.008540402190673913,0.0
2010-04-30,2004-11-30,2009-10-31,2009-10-31,60,45098,0.006265784877461544,market_technical,sentiment_proxy,742,0,106,848,-0.013585295507330971,0.0,0.008928968048877065,0.0
2010-05-31,2004-12-31,2009-11-30,2009-11-30,60,45127,0.0060727035925118855,market_technical,sentiment_proxy,783,0,65,848,-0.013531987549828055,0.0,0.009189142038038202,0.0
2010-06-30,2005-01-31,2009-12-31,2009-12-31,60,45159,0.0061789413187367526,market_technical,sentiment_proxy,752,0,97,849,-0.014512747468665661,0.0,0.009189230177181967,0.0
2010-07-31,2005-02-28,2010-01-31,2010-01-31,60,45193,0.005893975374985261,market_technical,sentiment_proxy,753,0,100,853,-0.01444022859378574,0.0,0.009127872108690762,0.0
2010-08-31,2005-03-31,2010-02-28,2010-02-28,60,45230,0.005841833678198016,market_technical,sentiment_proxy,769,0,88,857,-0.014585111446596005,0.0,0.00923805849347709,0.0
2010-09-30,2005-04-30,2010-03-31,2010-03-31,60,45273,0.0057101198561739785,market_technical,sentiment_proxy,700,0,157,857,-0.01474573006438764,0.0,0.00890300979111791,0.0
2010-10-31,2005-05-31,2010-04-30,2010-04-30,60,45316,0.005337270521423854,market_technical,sentiment_proxy,704,0,155,859,-0.014432065289317871,0.0,0.007731113732767932,0.0
2010-11-30,2005-06-30,2010-05-31,2010-05-31,60,45368,0.005155808316608224,market_technical,sentiment_proxy,685,0,167,852,-0.014734816691810202,0.0,0.006645092032777788,0.0
