formation_month,training_start,training_end,training_months,eligible_candidates,cluster_count,selected_1,selected_1_mean_rankic,selected_1_rankicir,selected_1_orientation,selected_2,selected_2_mean_rankic,selected_2_rankicir,selected_2_orientation
1999-07-31,1994-07-31,1999-06-30,60,51,7,difference__ret_12_1__ret_1_0,0.051465681901675824,0.5299397582660902,1,identity__ret_1_0,-0.04604616105177137,0.4599623482337878,-1
1999-08-31,1994-08-31,1999-07-31,60,51,7,difference__ret_12_1__ret_1_0,0.050594136384251316,0.5201243987698476,1,product__prc_highprc_252d__rvol_21d,0.02742465012578731,0.49412734623703963,1
1999-09-30,1994-09-30,1999-08-31,60,51,7,difference__ret_12_1__ret_1_0,0.05174768245960252,0.5308808257749805,1,product__prc_highprc_252d__turnover_126d,0.030670948087071458,0.4537375070165471,1
1999-10-31,1994-10-31,1999-09-30,60,51,7,difference__ret_12_1__ret_1_0,0.05284467746368677,0.543499844876739,1,product__prc_highprc_252d__turnover_126d,0.03308417929268119,0.49046998503338324,1
1999-11-30,1994-11-30,1999-10-31,60,51,7,difference__ret_12_1__ret_1_0,0.05953969201344696,0.597897005179976,1,product__prc_highprc_252d__turnover_126d,0.03325017010341001,0.4937378674153284,1
1999-12-31,1994-12-31,1999-11-30,60,51,7,difference__ret_12_1__ret_1_0,0.059329635520573895,0.5964668937495412,1,product__prc_highprc_252d__turnover_126d,0.03446643046276137,0.5092046352449413,1
2000-01-31,1995-01-31,1999-12-31,60,51,7,difference__ret_12_1__ret_1_0,0.06136632999877037,0.6186270252755158,1,difference__ret_12_1__ret_6_1,0.04591607545717257,0.5282114264923264,1
2000-02-29,1995-02-28,2000-01-31,60,51,7,difference__ret_12_1__ret_1_0,0.06256111409451244,0.6226264819375005,1,difference__ret_12_1__ret_6_1,0.04527167349262463,0.5224175109209177,1
2000-03-31,1995-03-31,2000-02-29,60,51,7,difference__ret_12_1__ret_1_0,0.0638825127385808,0.6365822644222204,1,difference__ret_12_1__ret_6_1,0.04374505365168362,0.507849656106542,1
2000-04-30,1995-04-30,2000-03-31,60,51,7,difference__ret_12_1__ret_1_0,0.06068203073799225,0.5831444813875473,1,difference__ret_12_1__ret_6_1,0.0460729009940553,0.5394975052555737,1
2000-05-31,1995-05-31,2000-04-30,60,51,7,difference__ret_12_1__ret_6_1,0.04924092773160294,0.5883526683905774,1,product__prc_highprc_252d__turnover_126d,0.03492942328689716,0.5056031804140353,1
2000-06-30,1995-06-30,2000-05-31,60,51,7,difference__ret_12_1__ret_6_1,0.050667655665284334,0.5960052257494564,1,difference__ret_12_1__ret_1_0,0.060008897900277705,0.49869306517647194,1
2000-07-31,1995-07-31,2000-06-30,60,51,7,difference__ret_12_1__ret_1_0,0.06082550748622501,0.5064716142322804,1,difference__ret_12_1__ret_6_1,0.04613481687112802,0.5039507678150064,1
2000-08-31,1995-08-31,2000-07-31,60,51,7,difference__ret_12_1__ret_6_1,0.04835255515706974,0.527766912772391,1,difference__ret_12_1__ret_1_0,0.06369098364653022,0.5250409934188998,1
2000-09-30,1995-09-30,2000-08-31,60,51,7,difference__ret_12_1__ret_1_0,0.061524776240517075,0.5045839216160984,1,product__prc_highprc_252d__turnover_126d,0.032692519796612765,0.45259186025596326,1
2000-10-31,1995-10-31,2000-09-30,60,51,7,difference__ret_12_1__ret_1_0,0.05956861258209058,0.47602986947013515,1,product__prc_highprc_252d__turnover_126d,0.03400271087709344,0.4737364676380447,1
2000-11-30,1995-11-30,2000-10-31,60,51,7,product__prc_highprc_252d__turnover_126d,0.03406556157470999,0.47425661043663453,1,difference__ret_12_1__ret_1_0,0.0532768826875496,0.3887215849461285,1
2000-12-31,1995-12-31,2000-11-30,60,51,7,product__prc_highprc_252d__turnover_126d,0.032570324748629316,0.4674263111548968,1,difference__ret_12_1__ret_1_0,0.053086068967952586,0.3871353673659852,1
2001-01-31,1996-01-31,2000-12-31,60,51,7,product__prc_highprc_252d__turnover_126d,0.031128055365590535,0.4357824886933638,1,product__ret_6_1__rvol_21d,0.030772820672385435,0.35925804348459955,1
2001-02-28,1996-02-29,2001-01-31,60,51,7,product__prc_highprc_252d__turnover_126d,0.0341658298229118,0.4436009699092434,1,product__ret_6_1__rvol_21d,0.0342079167876077,0.36783536429934743,1
2001-03-31,1996-03-31,2001-02-28,60,51,7,product__prc_highprc_252d__turnover_126d,0.035464806669850794,0.45611575923442294,1,difference__ret_12_1__ret_1_0,0.05266560837832309,0.3575610748315972,1
2001-04-30,1996-04-30,2001-03-31,60,51,7,product__prc_highprc_252d__turnover_126d,0.03488244369696769,0.4433392046108979,1,difference__ret_1_0__prc_highprc_252d,-0.048907661358657845,0.36559519203178353,-1
2001-05-31,1996-05-31,2001-04-30,60,51,7,product__prc_highprc_252d__turnover_126d,0.03468526076126256,0.44171789571417097,1,difference__ret_1_0__prc_highprc_252d,-0.05069522834873296,0.3761596916988903,-1
2001-06-30,1996-06-30,2001-05-31,60,51,7,product__prc_highprc_252d__turnover_126d,0.03191937805278505,0.4081781253483552,1,difference__ret_12_1__ret_1_0,0.05522578775449114,0.3746623508841437,1
2001-07-31,1996-07-31,2001-06-30,60,51,7,product__prc_highprc_252d__turnover_126d,0.03329276860291075,0.42239008016609714,1,difference__ret_12_1__ret_1_0,0.0587704532240366,0.39357293722843834,1
2001-08-31,1996-08-31,2001-07-31,60,51,7,product__prc_highprc_252d__turnover_126d,0.03622042938050029,0.45446492336901945,1,difference__ret_12_1__ret_1_0,0.06003011028709423,0.4018540276418057,1
2001-09-30,1996-09-30,2001-08-31,60,51,7,product__prc_highprc_252d__turnover_126d,0.03915997835844502,0.48972496642407465,1,difference__ret_1_0__prc_highprc_252d,-0.05813668629915381,0.42042883554162097,-1
2001-10-31,1996-10-31,2001-09-30,60,51,7,product__prc_highprc_252d__rvol_21d,0.04045140339711736,0.43456858255533887,1,difference__ret_12_1__ret_1_0,0.060557663782158835,0.40477076674994594,1
2001-11-30,1996-11-30,2001-10-31,60,51,7,product__prc_highprc_252d__rvol_21d,0.04133350598459193,0.44868583210482904,1,product__ret_6_1__rvol_21d,0.035565702462849895,0.3678820421013291,1
2001-12-31,1996-12-31,2001-11-30,60,51,7,product__prc_highprc_252d__rvol_21d,0.04184248548108163,0.45211350789041826,1,product__ret_6_1__rvol_21d,0.03609806819333026,0.3731544460677839,1
2002-01-31,1997-01-31,2001-12-31,60,51,7,product__prc_highprc_252d__rvol_21d,0.04396638203353164,0.47850551209424014,1,product__ret_6_1__rvol_21d,0.03599665746045603,0.3721458277092539,1
2002-02-28,1997-02-28,2002-01-31,60,51,7,product__prc_highprc_252d__turnover_126d,0.040940146854702854,0.5023608450907135,1,difference__ret_12_1__ret_1_0,0.05789170015705661,0.37442674378380286,1
2002-03-31,1997-03-31,2002-02-28,60,51,7,product__prc_highprc_252d__rvol_21d,0.04550002270249583,0.4867917898138903,1,product__ret_6_1__rvol_21d,0.03859386131425096,0.40682614850134524,1
2002-04-30,1997-04-30,2002-03-31,60,51,7,product__prc_highprc_252d__rvol_21d,0.04663637710010092,0.4958580165617721,1,difference__ret_12_1__ret_1_0,0.05684237262636649,0.36844839316133343,1
2002-05-31,1997-05-31,2002-04-30,60,51,7,product__prc_highprc_252d__turnover_126d,0.042785931340455115,0.5267038051488917,1,difference__ret_12_1__ret_1_0,0.0589144073595024,0.38354677999742226,1
2002-06-30,1997-06-30,2002-05-31,60,51,7,product__prc_highprc_252d__rvol_21d,0.051487561427708266,0.5491958417560363,1,product__ret_12_1__rvol_21d,0.03837408124736698,0.3865266187190243,1
2002-07-31,1997-07-31,2002-06-30,60,51,7,product__prc_highprc_252d__rvol_21d,0.0515466147834665,0.5502125793565787,1,product__ret_12_1__rvol_21d,0.03725958931448385,0.3731675734614595,1
