case,month,net_return,factor_replication_return,residual,selected_lambda
zero_cost_0,2009-08-31,-0.015989338491048492,-0.0051394741590109465,-0.010849864332037546,10.0
zero_cost_0,2009-09-30,-0.023347092779711965,0.016329067504578788,-0.03967616028429075,10.0
zero_cost_0,2009-10-31,0.06341905804188971,0.035549927547625614,0.0278691304942641,10.0
zero_cost_0,2009-11-30,0.01935559426396095,0.0325779159487097,-0.01322232168474875,1000.0
zero_cost_0,2009-12-31,0.03357884022320122,0.007045090134824851,0.02653375008837637,1000.0
zero_cost_0,2010-01-31,-0.001810307591083659,-0.012539958138250155,0.010729650547166496,1000.0
zero_cost_0,2010-02-28,-0.016495802153983462,0.024099445463257096,-0.04059524761724056,1000.0
zero_cost_0,2010-03-31,-0.056610627995922196,0.03516401433075819,-0.0917746423266804,1000.0
zero_cost_0,2010-04-30,-0.01591067199930771,0.006035935321941664,-0.021946607321249374,100.0
zero_cost_0,2010-05-31,0.016749979758733782,-0.01215135240669852,0.0289013321654323,10.0
zero_cost_0,2010-06-30,-0.010517307455803515,-0.014466076626266304,0.003948769170462789,1000.0
zero_cost_0,2010-07-31,0.027301020662214032,0.015115152844817735,0.012185867817396298,1000.0
zero_cost_0,2010-08-31,0.021706276828800206,0.001961995138245455,0.01974428169055475,1000.0
zero_cost_0,2010-09-30,0.04162893542401604,0.01671261899372586,0.024916316430290183,1000.0
zero_cost_0,2010-10-31,0.01845155108759192,0.0020994997944624345,0.016352051293129485,1000.0
zero_cost_0,2010-11-30,0.03934392325019821,-0.0023149404753957997,0.04165886372559401,1000.0
zero_cost_0,2010-12-31,-0.059724559971161856,-0.028548447133766707,-0.03117611283739515,1000.0
zero_cost_0,2011-01-31,-0.02646416249453143,0.003966613900226737,-0.030430776394758167,1000.0
zero_cost_0,2011-02-28,-0.006251622083306815,0.02086093368600595,-0.027112555769312766,1000.0
zero_cost_0,2011-03-31,0.0015169358968237414,0.02991593845239782,-0.02839900255557408,100.0
zero_cost_0,2011-04-30,0.020389297685962628,0.024268394274262008,-0.00387909658829938,1000.0
zero_cost_0,2011-05-31,-0.009718708237570945,0.017548134208515045,-0.02726684244608599,1000.0
zero_cost_0,2011-06-30,0.015941407324593076,0.010229785538898535,0.005711621785694541,1000.0
zero_cost_0,2011-07-31,0.015240718875112672,0.029454717408459487,-0.014213998533346815,1000.0
zero_cost_0,2011-08-31,-0.0019594232673046056,0.022307978156356913,-0.024267401423661517,1000.0
zero_cost_0,2011-09-30,-0.02724665476476701,0.0005305026764582451,-0.027777157441225254,1000.0
zero_cost_0,2011-10-31,0.03297631455240352,0.008744116942786921,0.024232197609616597,1000.0
zero_cost_0,2011-11-30,0.0062015353617312155,0.03362707377158427,-0.027425538409853054,1000.0
zero_cost_0,2011-12-31,0.015027655585854355,-0.0002360717891857917,0.015263727375040148,1000.0
zero_cost_0,2012-01-31,0.05876638345631437,-0.003524025276899093,0.06229040873321346,1000.0
zero_cost_0,2012-02-29,0.047765249114455025,0.0030404885151037392,0.044724760599351286,1000.0
zero_cost_0,2012-03-31,0.045997621712342965,0.005475285333234911,0.040522336379108057,1000.0
zero_cost_0,2012-04-30,-0.0006974272886741804,0.016763200443856877,-0.017460627732531056,1000.0
zero_cost_0,2012-05-31,-0.021560040046202857,-0.0074420908647669605,-0.014117949181435895,1000.0
zero_cost_0,2012-06-30,-0.024029028013752497,-0.011511080191166416,-0.01251794782258608,1000.0
zero_cost_0,2012-07-31,-0.026927960715155495,0.010104344685614924,-0.03703230540077042,1000.0
zero_cost_0,2012-08-31,0.07720546728242093,0.0016900239827624607,0.07551544329965847,1000.0
zero_cost_0,2012-09-30,-0.010178129373799357,-0.003358854694132086,-0.0068192746796672706,1000.0
zero_cost_0,2012-10-31,-0.02146232313044588,-0.04755502366208849,0.02609270053164261,1000.0
zero_cost_0,2012-11-30,0.01266069509091538,0.005327959347672488,0.0073327357432428925,1000.0
zero_cost_0,2012-12-31,0.03400334595281749,-0.02215301521715804,0.05615636116997553,1000.0
zero_cost_0,2013-01-31,0.04634682369427471,-0.019943105013682023,0.06628992870795673,1000.0
zero_cost_0,2013-02-28,-0.00046700868282910043,0.005451067011471626,-0.005918075694300726,1000.0
zero_cost_0,2013-03-31,-0.006154309171132006,0.008546121399900321,-0.014700430571032328,1000.0
zero_cost_0,2013-04-30,0.004256749016256483,0.000964003172387826,0.003292745843868657,1000.0
zero_cost_0,2013-05-31,0.008773556780241545,7.2648164312811864e-06,0.008766291963810263,1000.0
zero_cost_0,2013-06-30,-0.01298822835139556,-0.009471002773372988,-0.0035172255780225713,1000.0
zero_cost_0,2013-07-31,-0.002673664197510436,0.011620017045421429,-0.014293681242931865,1000.0
