formation_month,training_start,training_end,training_months,training_observations,eligible_candidates,selected_factors,model_r2,high_risk_count,finite_scores,factor_1,factor_1_rankicir,factor_1_mean_rankic,factor_1_coefficient,factor_2,factor_2_rankicir,factor_2_mean_rankic,factor_2_coefficient,factor_3,factor_3_rankicir,factor_3_mean_rankic,factor_3_coefficient,factor_4,factor_4_rankicir,factor_4_mean_rankic,factor_4_coefficient,factor_5,factor_5_rankicir,factor_5_mean_rankic,factor_5_coefficient
1999-07-31,1994-07-31,1999-06-30,60,55421,51,5,0.0029872411172291446,146,893,difference__ret_1_0__ret_12_1,0.5299383915951023,0.05146559880280718,-0.003364777034088132,identity__ret_1_0,0.4599623482337878,0.04604616105177137,0.0007916908110321388,difference__ret_6_1__ret_12_1,0.4371592347191412,0.03876065518566307,0.0063352117913911665,difference__ret_12_1__prc_highprc_252d,0.42277088890776776,-0.05084270603368632,-0.005317053754586473,difference__ret_1_0__resff3_6_1,0.3903693929149929,0.032077430393746505,0.007552208465812568
1999-08-31,1994-08-31,1999-07-31,60,55379,51,5,0.002751192167895433,148,886,difference__ret_1_0__ret_12_1,0.5201230486117598,0.05059405328538267,-0.002331962044678015,identity__ret_1_0,0.42435182534022464,0.04367907399771025,-3.098763004681722e-05,difference__ret_6_1__ret_12_1,0.42433962901065586,0.0363931803063511,0.005815322355316091,difference__ret_12_1__prc_highprc_252d,0.4104502458960159,-0.0485970345442697,-0.0051919619592309075,difference__ret_1_0__resff3_6_1,0.36647219050254504,0.03047605713822314,0.007055350069267101
1999-09-30,1994-09-30,1999-08-31,60,55339,51,5,0.0028400794135965413,142,880,difference__ret_1_0__ret_12_1,0.5308794637809925,0.05174759936073388,-0.0012690259326646194,identity__ret_1_0,0.42833460533617285,0.04394803377987167,-0.0006639392565394403,difference__ret_6_1__ret_12_1,0.4258015823171479,0.036616938895428656,0.005689220862303955,difference__ret_12_1__prc_highprc_252d,0.41327329366938537,-0.048991099373351735,-0.005205235572601311,difference__ret_1_0__resff3_6_1,0.3673026147628069,0.03053182064600983,0.006658372622468048
1999-10-31,1994-10-31,1999-09-30,60,55288,51,5,0.003005307325251838,137,855,difference__ret_1_0__ret_12_1,0.5434984606667769,0.05284459436481812,-0.0007371640640973963,difference__ret_6_1__ret_12_1,0.45312725479700566,0.03977892204079368,0.006275820235756138,difference__ret_12_1__prc_highprc_252d,0.42034237521156975,-0.04986405206882264,-0.005261343529897212,identity__ret_1_0,0.4041508402772045,0.04186820078734387,-0.0015742307292284795,difference__ret_1_0__resff3_6_1,0.34612001487486493,0.02926656500025194,0.006827250483725695
1999-11-30,1994-11-30,1999-10-31,60,57391,51,5,0.003575908642200698,145,872,difference__ret_1_0__ret_12_1,0.5978955812261484,0.0595396089145783,0.0064205566158612335,difference__ret_6_1__ret_12_1,0.4794108994203895,0.041748494497651834,0.003257991659665909,difference__ret_12_1__prc_highprc_252d,0.45726926284560265,-0.05629016771230247,-0.006337098301817113,identity__ret_1_0,0.4071362973895299,0.04212462625504906,-0.0019562403104154517,difference__ret_3_1__ret_12_1,0.37784686066317047,0.03555353817886299,-0.0020090643253269504
1999-12-31,1994-12-31,1999-11-30,60,55107,51,5,0.003965326049294893,132,825,difference__ret_1_0__ret_12_1,0.5964654699827203,0.05932955242170524,0.0035173297319350777,difference__ret_6_1__ret_12_1,0.50007260563669,0.044516672927397284,0.0025453943773665797,difference__ret_12_1__prc_highprc_252d,0.47084382935480523,-0.0593986482409724,-0.007802969901321782,difference__ret_3_1__ret_12_1,0.3978722327564735,0.03962410713363755,-0.0009465997493231093,difference__ret_12_1__resff3_6_1,0.3606820330807819,-0.039600237479898194,-0.0013129255961583795
2000-01-31,1995-01-31,1999-12-31,60,55000,51,5,0.004157898839607044,131,822,difference__ret_1_0__ret_12_1,0.6186251167418939,0.061366063878361,0.0036173461948079584,difference__ret_6_1__ret_12_1,0.5282137410415083,0.04591630813802239,0.002015335080525707,difference__ret_12_1__prc_highprc_252d,0.49534898937431454,-0.06183614115154519,-0.008004079739943146,difference__ret_3_1__ret_12_1,0.45045231457540214,0.04298550951702341,-0.0006089042370056061,difference__ret_12_1__resff3_6_1,0.3974785159804596,-0.042360369782639226,-0.0018756611164799778
2000-02-29,1995-02-28,2000-01-31,60,57077,51,5,0.007711483408620046,145,843,difference__ret_1_0__ret_12_1,0.622624572937457,0.06256084797410306,-0.006945393498708948,difference__ret_6_1__ret_12_1,0.5224198249263842,0.045271906173474444,0.0007910807439538037,difference__ret_12_1__prc_highprc_252d,0.49672602132108423,-0.062257462922042976,-0.01226498908150518,difference__ret_3_1__ret_12_1,0.43695359342311696,0.04170963423715474,-0.005621385878459855,identity__ret_12_1,0.41881287530527794,-0.0644582455850913,-0.016956926587569848
2000-03-31,1995-03-31,2000-02-29,60,56953,51,5,0.004605881455454708,148,865,difference__ret_1_0__ret_12_1,0.6365803479552437,0.0638822466181714,-0.00038200586196493946,difference__ret_6_1__ret_12_1,0.5078519675797589,0.043745286332533447,0.00598086330101755,difference__ret_12_1__prc_highprc_252d,0.4855552397001755,-0.06091222670520888,-0.009381003415379298,difference__ret_3_1__ret_12_1,0.4231337904758576,0.04024075555946644,-0.0008867108691400071,difference__ret_1_0__ret_6_1,0.38734970750356634,0.03839448680065427,0.005709923347636125
2000-04-30,1995-04-30,2000-03-31,60,54631,51,5,0.004077695771461665,130,851,difference__ret_1_0__ret_12_1,0.5831443685699929,0.06068184834499533,0.004584823143686745,difference__ret_6_1__ret_12_1,0.5394998493441157,0.04607313367490513,0.004329583601740786,difference__ret_12_1__prc_highprc_252d,0.4468012220117369,-0.05722885822732575,-0.008378914867964141,difference__ret_3_1__ret_12_1,0.4076010105367071,0.03922942357254455,-0.0018294792113197629,difference__ret_1_0__resff3_6_1,0.3228665999601333,0.029961566277017335,0.00022541624427322197
